:Data_list: 20091025_ace_swepam_1m.txt
:Created: 2009 Oct 26 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2009 10 25  0000   55129       0    0        1.0      414.5     1.64e+05
2009 10 25  0001   55129      60    9    -9999.9    -9999.9    -1.00e+05
2009 10 25  0002   55129     120    0        1.5      409.9     1.65e+05
2009 10 25  0003   55129     180    0        1.6      413.1     1.56e+05
2009 10 25  0004   55129     240    0        1.7      413.0     1.31e+05
2009 10 25  0005   55129     300    0        1.4      411.3     1.44e+05
2009 10 25  0006   55129     360    0        1.5      406.8     1.37e+05
2009 10 25  0007   55129     420    0        1.1      403.8     1.61e+05
2009 10 25  0008   55129     480    0        1.5      404.4     1.30e+05
2009 10 25  0009   55129     540    0        1.4      406.7     1.34e+05
2009 10 25  0010   55129     600    0        1.6      412.1     1.25e+05
2009 10 25  0011   55129     660    0        1.5      412.7     1.34e+05
2009 10 25  0012   55129     720    1        1.3      403.0     1.42e+05
2009 10 25  0013   55129     780    0        1.5      411.5     1.41e+05
2009 10 25  0014   55129     840    0        1.5      409.8     1.27e+05
2009 10 25  0015   55129     900    0        1.5      403.6     1.33e+05
2009 10 25  0016   55129     960    0        1.3      400.6     1.42e+05
2009 10 25  0017   55129    1020    0        1.2      397.6     1.52e+05
2009 10 25  0018   55129    1080    0        1.2      396.9     1.39e+05
2009 10 25  0019   55129    1140    0        1.4      403.0     1.35e+05
2009 10 25  0020   55129    1200    1        1.1      401.0     1.59e+05
2009 10 25  0021   55129    1260    0        1.1      402.2     1.47e+05
2009 10 25  0022   55129    1320    1        1.0      404.2     1.55e+05
2009 10 25  0023   55129    1380    0        1.2      401.0     1.65e+05
2009 10 25  0024   55129    1440    0        1.1      400.4     1.59e+05
2009 10 25  0025   55129    1500    0        1.4      407.0     1.40e+05
2009 10 25  0026   55129    1560    0        1.4      406.4     1.52e+05
2009 10 25  0027   55129    1620    1        1.1      402.9     1.57e+05
2009 10 25  0028   55129    1680    0        1.4      406.6     1.47e+05
2009 10 25  0029   55129    1740    0        1.1      400.0     1.52e+05
2009 10 25  0030   55129    1800    0        1.2      399.6     1.47e+05
2009 10 25  0031   55129    1860    1        1.4      402.0     1.32e+05
2009 10 25  0032   55129    1920    1        1.2      401.9     1.43e+05
2009 10 25  0033   55129    1980    1        1.1      401.7     1.54e+05
2009 10 25  0034   55129    2040    1    -9999.9    -9999.9    -1.00e+05
2009 10 25  0035   55129    2100    1        0.9      403.7     1.69e+05
2009 10 25  0036   55129    2160    1        1.0      403.6     1.49e+05
2009 10 25  0037   55129    2220    0        1.2      400.4     1.34e+05
2009 10 25  0038   55129    2280    1        1.0      395.4     1.18e+05
2009 10 25  0039   55129    2340    0        1.1      399.1     1.57e+05
2009 10 25  0040   55129    2400    1        1.0      397.7     1.43e+05
2009 10 25  0041   55129    2460    0        1.3      395.7     1.47e+05
2009 10 25  0042   55129    2520    0        0.9      397.3     1.71e+05
2009 10 25  0043   55129    2580    1        1.0      396.6     1.44e+05
2009 10 25  0044   55129    2640    0        1.1      398.6     1.37e+05
2009 10 25  0045   55129    2700    0        1.1      400.8     1.21e+05
2009 10 25  0046   55129    2760    0        1.0      398.0     1.41e+05
2009 10 25  0047   55129    2820    0        0.9      399.7     1.48e+05
2009 10 25  0048   55129    2880    0        1.0      399.4     1.59e+05
2009 10 25  0049   55129    2940    0        1.1      399.0     1.70e+05
2009 10 25  0050   55129    3000    0        1.1      402.3     1.57e+05
2009 10 25  0051   55129    3060    0        1.2      408.1     1.20e+05
2009 10 25  0052   55129    3120    0        1.3      402.2     1.20e+05
2009 10 25  0053   55129    3180    0        0.9      405.0     1.46e+05
2009 10 25  0054   55129    3240    0        1.3      404.8     1.28e+05
2009 10 25  0055   55129    3300    0        1.2      404.8     1.35e+05
2009 10 25  0056   55129    3360    0        1.4      403.8     1.33e+05
2009 10 25  0057   55129    3420    0        1.2      404.7     1.44e+05
2009 10 25  0058   55129    3480    0        1.0      413.1     1.20e+05
2009 10 25  0059   55129    3540    0        1.0      410.0     1.28e+05
2009 10 25  0100   55129    3600    0        1.1      405.9     1.22e+05
2009 10 25  0101   55129    3660    0        0.9      407.9     1.25e+05
2009 10 25  0102   55129    3720    0        1.0      407.9     1.25e+05
2009 10 25  0103   55129    3780    0        1.1      408.8     1.35e+05
2009 10 25  0104   55129    3840    1        1.1      406.6     1.36e+05
2009 10 25  0105   55129    3900    1        1.1      404.4     1.36e+05
2009 10 25  0106   55129    3960    0        1.0      408.6     1.35e+05
2009 10 25  0107   55129    4020    9    -9999.9    -9999.9    -1.00e+05
2009 10 25  0108   55129    4080    0        1.0      409.0     1.24e+05
2009 10 25  0109   55129    4140    0        1.2      407.5     1.25e+05
2009 10 25  0110   55129    4200    1        0.9      406.8     1.50e+05
2009 10 25  0111   55129    4260    0        1.3      409.5     1.18e+05
2009 10 25  0112   55129    4320    0        0.9      403.6     1.51e+05
2009 10 25  0113   55129    4380    0        1.1      413.9     1.08e+05
2009 10 25  0114   55129    4440    0        0.9      412.7     1.18e+05
2009 10 25  0115   55129    4500    0        1.2      408.0     1.16e+05
2009 10 25  0116   55129    4560    1        0.8      407.4     1.32e+05
2009 10 25  0117   55129    4620    0        0.9      407.9     1.37e+05
2009 10 25  0118   55129    4680    0        1.1      419.0     1.57e+05
2009 10 25  0119   55129    4740    0        0.9      407.1     1.17e+05
2009 10 25  0120   55129    4800    1        0.9      408.2     1.22e+05
2009 10 25  0121   55129    4860    1        0.8      409.3     1.28e+05
2009 10 25  0122   55129    4920    0        0.8      408.0     1.21e+05
2009 10 25  0123   55129    4980    0        0.8      404.7     1.43e+05
2009 10 25  0124   55129    5040    0        1.0      408.7     1.19e+05
2009 10 25  0125   55129    5100    0        0.9      409.0     1.27e+05
2009 10 25  0126   55129    5160    1        1.0      411.2     9.04e+04
2009 10 25  0127   55129    5220    0        0.4      411.0     9.59e+04
2009 10 25  0128   55129    5280    0        0.8      414.0     9.83e+04
2009 10 25  0129   55129    5340    0        1.1      406.5     1.24e+05
2009 10 25  0130   55129    5400    0        1.2      407.2     1.24e+05
2009 10 25  0131   55129    5460    0        0.9      407.0     1.16e+05
2009 10 25  0132   55129    5520    0        1.0      405.5     1.13e+05
2009 10 25  0133   55129    5580    0        0.7      397.0     1.32e+05
2009 10 25  0134   55129    5640    0        0.9      403.6     9.87e+04
2009 10 25  0135   55129    5700    1        0.7      396.0     8.86e+04
2009 10 25  0136   55129    5760    0        0.8      399.0     9.99e+04
2009 10 25  0137   55129    5820    0        0.9      401.9     1.11e+05
2009 10 25  0138   55129    5880    0        0.7      403.4     1.27e+05
2009 10 25  0139   55129    5940    0        0.6      408.3     9.28e+04
2009 10 25  0140   55129    6000    9    -9999.9    -9999.9    -1.00e+05
2009 10 25  0141   55129    6060    0        0.6      398.1     1.34e+05
2009 10 25  0142   55129    6120    0        0.7      408.4     1.48e+05
2009 10 25  0143   55129    6180    0        0.6      415.0     8.64e+04
2009 10 25  0144   55129    6240    0        0.6      411.7     9.52e+04
2009 10 25  0145   55129    6300    0        0.5      410.6     8.78e+04
2009 10 25  0146   55129    6360    9    -9999.9    -9999.9    -1.00e+05
2009 10 25  0147   55129    6420    0        0.5      407.8     9.85e+04
2009 10 25  0148   55129    6480    0        0.5      404.6     1.01e+05
2009 10 25  0149   55129    6540    0        0.5      408.2     9.84e+04
2009 10 25  0150   55129    6600    0        0.5      404.0     9.79e+04
2009 10 25  0151   55129    6660    0        0.5      404.8     8.43e+04
2009 10 25  0152   55129    6720    0        0.5      400.6     1.06e+05
2009 10 25  0153   55129    6780    0        0.5      396.5     1.28e+05
2009 10 25  0154   55129    6840    0        0.5      400.1     1.00e+05
2009 10 25  0155   55129    6900    0        0.5      413.2     9.80e+04
2009 10 25  0156   55129    6960    0        0.7      404.1     9.89e+04
2009 10 25  0157   55129    7020    0        0.6      400.0     1.06e+05
2009 10 25  0158   55129    7080    0        0.6      402.9     8.66e+04
2009 10 25  0159   55129    7140    0        0.6      399.7     1.04e+05
2009 10 25  0200   55129    7200    0        0.8      400.2     1.04e+05
2009 10 25  0201   55129    7260    0        0.7      399.5     1.12e+05
2009 10 25  0202   55129    7320    0        0.7      403.6     9.68e+04
2009 10 25  0203   55129    7380    0        0.6      404.2     1.15e+05
2009 10 25  0204   55129    7440    0        0.7      407.9     9.34e+04
2009 10 25  0205   55129    7500    0        0.7      408.7     9.24e+04
2009 10 25  0206   55129    7560    0        0.8      410.2     9.69e+04
2009 10 25  0207   55129    7620    1        0.8      404.9     1.28e+05
2009 10 25  0208   55129    7680    0        0.8      407.1     1.32e+05
2009 10 25  0209   55129    7740    0        0.8      409.3     1.36e+05
2009 10 25  0210   55129    7800    0        0.6      418.8     1.12e+05
2009 10 25  0211   55129    7860    0        0.7      417.1     1.29e+05
2009 10 25  0212   55129    7920    0        0.8      411.9     1.48e+05
2009 10 25  0213   55129    7980    9    -9999.9    -9999.9    -1.00e+05
2009 10 25  0214   55129    8040    0        0.7      406.3     1.96e+05
2009 10 25  0215   55129    8100    0        0.6      410.4     1.32e+05
2009 10 25  0216   55129    8160    1        0.7      408.3     1.54e+05
2009 10 25  0217   55129    8220    1        0.7      410.0     1.51e+05
2009 10 25  0218   55129    8280    0        0.6      422.0     1.35e+05
