:Data_list: 20100402_ace_sis_5m.txt
:Created: 2010 Apr 03 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2010 04 02  0000    55288       0      0    2.07e+00    0    1.43e+00
2010 04 02  0005    55288     300      0    2.09e+00    0    1.45e+00
2010 04 02  0010    55288     600      0    2.09e+00    0    1.47e+00
2010 04 02  0015    55288     900      0    2.04e+00    0    1.43e+00
2010 04 02  0020    55288    1200      0    2.09e+00    0    1.46e+00
2010 04 02  0025    55288    1500      0    2.07e+00    0    1.45e+00
2010 04 02  0030    55288    1800      0    2.04e+00    0    1.42e+00
2010 04 02  0035    55288    2100      0    2.12e+00    0    1.48e+00
2010 04 02  0040    55288    2400      0    2.04e+00    0    1.41e+00
2010 04 02  0045    55288    2700      0    2.05e+00    0    1.43e+00
2010 04 02  0050    55288    3000      0    2.06e+00    0    1.45e+00
2010 04 02  0055    55288    3300      0    2.10e+00    0    1.47e+00
2010 04 02  0100    55288    3600      0    2.13e+00    0    1.47e+00
2010 04 02  0105    55288    3900      0    2.07e+00    0    1.44e+00
2010 04 02  0110    55288    4200      0    2.09e+00    0    1.47e+00
2010 04 02  0115    55288    4500      0    2.07e+00    0    1.44e+00
2010 04 02  0120    55288    4800      0    2.07e+00    0    1.45e+00
2010 04 02  0125    55288    5100      0    2.06e+00    0    1.43e+00
2010 04 02  0130    55288    5400      0    2.04e+00    0    1.42e+00
2010 04 02  0135    55288    5700      0    2.06e+00    0    1.45e+00
2010 04 02  0140    55288    6000      0    2.04e+00    0    1.42e+00
2010 04 02  0145    55288    6300      0    2.10e+00    0    1.47e+00
2010 04 02  0150    55288    6600      0    2.04e+00    0    1.43e+00
2010 04 02  0155    55288    6900      0    2.06e+00    0    1.44e+00
2010 04 02  0200    55288    7200      0    2.06e+00    0    1.43e+00
2010 04 02  0205    55288    7500      0    2.04e+00    0    1.41e+00
2010 04 02  0210    55288    7800      0    2.05e+00    0    1.45e+00
2010 04 02  0215    55288    8100      0    2.09e+00    0    1.46e+00
2010 04 02  0220    55288    8400      0    2.06e+00    0    1.45e+00
2010 04 02  0225    55288    8700      0    2.08e+00    0    1.45e+00
2010 04 02  0230    55288    9000      0    2.10e+00    0    1.47e+00
2010 04 02  0235    55288    9300      0    2.04e+00    0    1.43e+00
2010 04 02  0240    55288    9600      0    2.07e+00    0    1.45e+00
2010 04 02  0245    55288    9900      0    2.05e+00    0    1.43e+00
2010 04 02  0250    55288   10200      0    2.08e+00    0    1.44e+00
2010 04 02  0255    55288   10500      0    2.10e+00    0    1.47e+00
2010 04 02  0300    55288   10800      0    2.09e+00    0    1.48e+00
2010 04 02  0305    55288   11100      0    2.08e+00    0    1.47e+00
2010 04 02  0310    55288   11400      0    2.09e+00    0    1.45e+00
2010 04 02  0315    55288   11700      0    2.10e+00    0    1.47e+00
2010 04 02  0320    55288   12000      0    2.08e+00    0    1.46e+00
2010 04 02  0325    55288   12300      0    2.04e+00    0    1.42e+00
2010 04 02  0330    55288   12600      0    2.04e+00    0    1.42e+00
2010 04 02  0335    55288   12900      0    2.11e+00    0    1.47e+00
2010 04 02  0340    55288   13200      0    2.07e+00    0    1.44e+00
2010 04 02  0345    55288   13500      0    2.06e+00    0    1.43e+00
2010 04 02  0350    55288   13800      0    2.04e+00    0    1.42e+00
2010 04 02  0355    55288   14100      0    2.07e+00    0    1.45e+00
2010 04 02  0400    55288   14400      0    2.08e+00    0    1.45e+00
2010 04 02  0405    55288   14700      0    2.12e+00    0    1.48e+00
