:Data_list: 20130131_ace_sis_5m.txt
:Created: 2013 Feb 01 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2013 01 31  0000    56323       0      0    1.30e+00    0    9.11e-01
2013 01 31  0005    56323     300      0    1.33e+00    0    9.37e-01
2013 01 31  0010    56323     600      0    1.30e+00    0    9.17e-01
2013 01 31  0015    56323     900      0    1.30e+00    0    9.19e-01
2013 01 31  0020    56323    1200      0    1.28e+00    0    9.09e-01
2013 01 31  0025    56323    1500      0    1.31e+00    0    9.20e-01
2013 01 31  0030    56323    1800      0    1.30e+00    0    9.20e-01
2013 01 31  0035    56323    2100      0    1.28e+00    0    9.08e-01
2013 01 31  0040    56323    2400      0    1.29e+00    0    9.00e-01
2013 01 31  0045    56323    2700      0    1.29e+00    0    9.09e-01
2013 01 31  0050    56323    3000      0    1.30e+00    0    9.26e-01
2013 01 31  0055    56323    3300      0    1.31e+00    0    9.32e-01
2013 01 31  0100    56323    3600      0    1.31e+00    0    9.25e-01
2013 01 31  0105    56323    3900      0    1.30e+00    0    9.23e-01
2013 01 31  0110    56323    4200      0    1.31e+00    0    9.29e-01
2013 01 31  0115    56323    4500      0    1.33e+00    0    9.38e-01
2013 01 31  0120    56323    4800      0    1.32e+00    0    9.22e-01
2013 01 31  0125    56323    5100      0    1.35e+00    0    9.45e-01
2013 01 31  0130    56323    5400      0    1.29e+00    0    9.07e-01
2013 01 31  0135    56323    5700      0    1.31e+00    0    9.11e-01
2013 01 31  0140    56323    6000      0    1.31e+00    0    9.28e-01
2013 01 31  0145    56323    6300      0    1.26e+00    0    8.79e-01
2013 01 31  0150    56323    6600      0    1.28e+00    0    9.01e-01
2013 01 31  0155    56323    6900      0    1.31e+00    0    9.09e-01
2013 01 31  0200    56323    7200      0    1.32e+00    0    9.25e-01
2013 01 31  0205    56323    7500      0    1.31e+00    0    9.16e-01
2013 01 31  0210    56323    7800      0    1.33e+00    0    9.51e-01
2013 01 31  0215    56323    8100      0    1.33e+00    0    9.36e-01
2013 01 31  0220    56323    8400      0    1.28e+00    0    9.00e-01
2013 01 31  0225    56323    8700      0    1.33e+00    0    9.34e-01
2013 01 31  0230    56323    9000      0    1.29e+00    0    9.06e-01
2013 01 31  0235    56323    9300      0    1.29e+00    0    9.06e-01
2013 01 31  0240    56323    9600      0    1.31e+00    0    9.14e-01
2013 01 31  0245    56323    9900      0    1.28e+00    0    9.06e-01
2013 01 31  0250    56323   10200      0    1.31e+00    0    9.20e-01
2013 01 31  0255    56323   10500      0    1.30e+00    0    9.08e-01
2013 01 31  0300    56323   10800      0    1.29e+00    0    9.12e-01
2013 01 31  0305    56323   11100      0    1.30e+00    0    9.25e-01
2013 01 31  0310    56323   11400      0    1.27e+00    0    8.95e-01
2013 01 31  0315    56323   11700      0    1.34e+00    0    9.44e-01
2013 01 31  0320    56323   12000      0    1.28e+00    0    8.98e-01
2013 01 31  0325    56323   12300      0    1.29e+00    0    9.10e-01
2013 01 31  0330    56323   12600      0    1.31e+00    0    9.20e-01
2013 01 31  0335    56323   12900      0    1.32e+00    0    9.30e-01
2013 01 31  0340    56323   13200      0    1.32e+00    0    9.26e-01
2013 01 31  0345    56323   13500      0    1.31e+00    0    9.19e-01
2013 01 31  0350    56323   13800      0    1.28e+00    0    8.91e-01
2013 01 31  0355    56323   14100      0    1.31e+00    0    9.20e-01
2013 01 31  0400    56323   14400      0    1.32e+00    0    9.34e-01
2013 01 31  0405    56323   14700      0    1.29e+00    0    8.97e-01
2013 01 31  0410    56323   15000      0    1.29e+00    0    9.06e-01
2013 01 31  0415    56323   15300      0    1.33e+00    0    9.35e-01
2013 01 31  0420    56323   15600      0    1.31e+00    0    9.22e-01
2013 01 31  0425    56323   15900      0    1.29e+00    0    9.05e-01
2013 01 31  0430    56323   16200      0    1.29e+00    0    8.99e-01
2013 01 31  0435    56323   16500      0    1.32e+00    0    9.34e-01
2013 01 31  0440    56323   16800      0    1.32e+00    0    9.44e-01
2013 01 31  0445    56323   17100      0    1.32e+00    0    9.32e-01
2013 01 31  0450    56323   17400      0    1.29e+00    0    9.10e-01
2013 01 31  0455    56323   17700      0    1.29e+00    0    8.95e-01
2013 01 31  0500    56323   18000      0    1.33e+00    0    9.36e-01
2013 01 31  0505    56323   18300      0    1.29e+00    0    9.09e-01
2013 01 31  0510    56323   18600      0    1.29e+00    0    9.06e-01
2013 01 31  0515    56323   18900      0    1.32e+00    0    9.38e-01
2013 01 31  0520    56323   19200      0    1.30e+00    0    9.09e-01
2013 01 31  0525    56323   19500      0    1.29e+00    0    9.10e-01
2013 01 31  0530    56323   19800      0    1.31e+00    0    9.30e-01
2013 01 31  0535    56323   20100      0    1.30e+00    0    9.04e-01
2013 01 31  0540    56323   20400      0    1.27e+00    0    8.89e-01
2013 01 31  0545    56323   20700      0    1.33e+00    0    9.41e-01
2013 01 31  0550    56323   21000      0    1.29e+00    0    9.11e-01
2013 01 31  0555    56323   21300      0    1.31e+00    0    9.25e-01
2013 01 31  0600    56323   21600      0    1.28e+00    0    8.98e-01
2013 01 31  0605    56323   21900      0    1.29e+00    0    9.08e-01
2013 01 31  0610    56323   22200      0    1.28e+00    0    9.01e-01
2013 01 31  0615    56323   22500      0    1.29e+00    0    9.12e-01
2013 01 31  0620    56323   22800      0    1.30e+00    0    9.14e-01
2013 01 31  0625    56323   23100      0    1.28e+00    0    8.99e-01
2013 01 31  0630    56323   23400      0    1.30e+00    0    9.18e-01
2013 01 31  0635    56323   23700      0    1.27e+00    0    9.06e-01
2013 01 31  0640    56323   24000      0    1.31e+00    0    9.26e-01
2013 01 31  0645    56323   24300      0    1.32e+00    0    9.42e-01
2013 01 31  0650    56323   24600      0    1.32e+00    0    9.21e-01
2013 01 31  0655    56323   24900      0    1.30e+00    0    9.28e-01
2013 01 31  0700    56323   25200      0    1.33e+00    0    9.43e-01
2013 01 31  0705    56323   25500      0    1.32e+00    0    9.47e-01
2013 01 31  0710    56323   25800      0    1.23e+00    0    8.37e-01
2013 01 31  0715    56323   26100      0    1.28e+00    0    8.85e-01
2013 01 31  0720    56323   26400      0    1.29e+00    0    9.11e-01
2013 01 31  0725    56323   26700      0    1.30e+00    0    9.09e-01
2013 01 31  0730    56323   27000      0    1.33e+00    0    9.47e-01
2013 01 31  0735    56323   27300      0    1.32e+00    0    9.26e-01
2013 01 31  0740    56323   27600      0    1.27e+00    0    8.97e-01
2013 01 31  0745    56323   27900      0    1.27e+00    0    8.94e-01
2013 01 31  0750    56323   28200      0    1.29e+00    0    9.06e-01
2013 01 31  0755    56323   28500      0    1.33e+00    0    9.43e-01
2013 01 31  0800    56323   28800      0    1.29e+00    0    9.14e-01
2013 01 31  0805    56323   29100      0    1.30e+00    0    9.17e-01
2013 01 31  0810    56323   29400      0    1.31e+00    0    9.15e-01
2013 01 31  0815    56323   29700      0    1.31e+00    0    9.21e-01
2013 01 31  0820    56323   30000      0    1.33e+00    0    9.24e-01
2013 01 31  0825    56323   30300      0    1.27e+00    0    8.96e-01
2013 01 31  0830    56323   30600      0    1.31e+00    0    9.24e-01
2013 01 31  0835    56323   30900      0    1.28e+00    0    9.05e-01
2013 01 31  0840    56323   31200      0    1.28e+00    0    9.06e-01
2013 01 31  0845    56323   31500      0    1.32e+00    0    9.35e-01
2013 01 31  0850    56323   31800      0    1.30e+00    0    9.27e-01
2013 01 31  0855    56323   32100      0    1.31e+00    0    9.24e-01
2013 01 31  0900    56323   32400      0    1.28e+00    0    8.97e-01
2013 01 31  0905    56323   32700      0    1.27e+00    0    8.93e-01
2013 01 31  0910    56323   33000      0    1.29e+00    0    9.05e-01
2013 01 31  0915    56323   33300      0    1.31e+00    0    9.28e-01
2013 01 31  0920    56323   33600      0    1.31e+00    0    9.16e-01
2013 01 31  0925    56323   33900      0    1.32e+00    0    9.30e-01
2013 01 31  0930    56323   34200      0    1.31e+00    0    9.21e-01
2013 01 31  0935    56323   34500      0    1.32e+00    0    9.37e-01
2013 01 31  0940    56323   34800      0    1.30e+00    0    9.09e-01
2013 01 31  0945    56323   35100      0    1.32e+00    0    9.24e-01
2013 01 31  0950    56323   35400      0    1.30e+00    0    9.18e-01
2013 01 31  0955    56323   35700      0    1.31e+00    0    9.09e-01
2013 01 31  1000    56323   36000      0    1.31e+00    0    9.18e-01
2013 01 31  1005    56323   36300      0    1.28e+00    0    8.96e-01
2013 01 31  1010    56323   36600      0    1.28e+00    0    8.98e-01
2013 01 31  1015    56323   36900      0    1.32e+00    0    9.32e-01
2013 01 31  1020    56323   37200      0    1.32e+00    0    9.19e-01
2013 01 31  1025    56323   37500      0    1.31e+00    0    9.19e-01
2013 01 31  1030    56323   37800      0    1.32e+00    0    9.30e-01
2013 01 31  1035    56323   38100      0    1.31e+00    0    9.22e-01
