:Data_list: 20130605_ace_sis_5m.txt
:Created: 2013 Jun 06 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2013 06 05  0000    56448       0      0    1.07e+00    0    7.46e-01
2013 06 05  0005    56448     300      0    1.06e+00    0    7.39e-01
2013 06 05  0010    56448     600      0    1.07e+00    0    7.51e-01
2013 06 05  0015    56448     900      0    1.08e+00    0    7.61e-01
2013 06 05  0020    56448    1200      0    1.07e+00    0    7.53e-01
2013 06 05  0025    56448    1500      0    1.05e+00    0    7.50e-01
2013 06 05  0030    56448    1800      0    1.06e+00    0    7.50e-01
2013 06 05  0035    56448    2100      0    1.07e+00    0    7.49e-01
2013 06 05  0040    56448    2400      0    1.06e+00    0    7.43e-01
2013 06 05  0045    56448    2700      0    1.08e+00    0    7.60e-01
2013 06 05  0050    56448    3000      0    1.07e+00    0    7.51e-01
2013 06 05  0055    56448    3300      0    1.09e+00    0    7.71e-01
2013 06 05  0100    56448    3600      0    1.06e+00    0    7.50e-01
2013 06 05  0105    56448    3900      0    1.05e+00    0    7.38e-01
2013 06 05  0110    56448    4200      0    1.11e+00    0    7.75e-01
2013 06 05  0115    56448    4500      0    1.10e+00    0    7.79e-01
2013 06 05  0120    56448    4800      0    1.09e+00    0    7.62e-01
2013 06 05  0125    56448    5100      0    1.11e+00    0    7.81e-01
2013 06 05  0130    56448    5400      0    1.06e+00    0    7.42e-01
2013 06 05  0135    56448    5700      0    1.07e+00    0    7.49e-01
2013 06 05  0140    56448    6000      0    1.07e+00    0    7.46e-01
2013 06 05  0145    56448    6300      0    1.07e+00    0    7.52e-01
2013 06 05  0150    56448    6600      0    1.10e+00    0    7.73e-01
2013 06 05  0155    56448    6900      0    1.07e+00    0    7.65e-01
2013 06 05  0200    56448    7200      0    1.07e+00    0    7.54e-01
2013 06 05  0205    56448    7500      0    1.09e+00    0    7.63e-01
2013 06 05  0210    56448    7800      0    1.09e+00    0    7.67e-01
2013 06 05  0215    56448    8100      0    1.09e+00    0    7.82e-01
2013 06 05  0220    56448    8400      0    1.06e+00    0    7.51e-01
2013 06 05  0225    56448    8700      0    1.08e+00    0    7.67e-01
2013 06 05  0230    56448    9000      0    1.05e+00    0    7.42e-01
2013 06 05  0235    56448    9300      0    1.07e+00    0    7.47e-01
2013 06 05  0240    56448    9600      0    1.06e+00    0    7.39e-01
2013 06 05  0245    56448    9900      0    1.08e+00    0    7.56e-01
2013 06 05  0250    56448   10200      0    1.10e+00    0    7.71e-01
2013 06 05  0255    56448   10500      0    1.06e+00    0    7.50e-01
2013 06 05  0300    56448   10800      0    1.10e+00    0    7.69e-01
2013 06 05  0305    56448   11100      0    1.07e+00    0    7.55e-01
2013 06 05  0310    56448   11400      0    1.10e+00    0    7.75e-01
2013 06 05  0315    56448   11700      0    1.08e+00    0    7.54e-01
2013 06 05  0320    56448   12000      0    1.07e+00    0    7.49e-01
2013 06 05  0325    56448   12300      0    1.09e+00    0    7.64e-01
2013 06 05  0330    56448   12600      0    1.08e+00    0    7.61e-01
2013 06 05  0335    56448   12900      0    1.11e+00    0    7.81e-01
2013 06 05  0340    56448   13200      0    1.06e+00    0    7.39e-01
2013 06 05  0345    56448   13500      0    1.05e+00    0    7.32e-01
2013 06 05  0350    56448   13800      0    1.02e+00    0    7.12e-01
2013 06 05  0355    56448   14100      0    1.09e+00    0    7.66e-01
2013 06 05  0400    56448   14400      0    1.11e+00    0    7.72e-01
2013 06 05  0405    56448   14700      0    1.11e+00    0    7.85e-01
2013 06 05  0410    56448   15000      0    1.10e+00    0    7.74e-01
2013 06 05  0415    56448   15300      0    1.05e+00    0    7.41e-01
2013 06 05  0420    56448   15600      0    1.07e+00    0    7.66e-01
2013 06 05  0425    56448   15900      0    1.09e+00    0    7.63e-01
2013 06 05  0430    56448   16200      0    1.02e+00    0    7.12e-01
2013 06 05  0435    56448   16500      0    1.10e+00    0    7.75e-01
2013 06 05  0440    56448   16800      0    1.12e+00    0    7.97e-01
2013 06 05  0445    56448   17100      0    1.05e+00    0    7.45e-01
2013 06 05  0450    56448   17400      0    1.08e+00    0    7.48e-01
2013 06 05  0455    56448   17700      0    1.05e+00    0    7.26e-01
2013 06 05  0500    56448   18000      0    1.08e+00    0    7.51e-01
2013 06 05  0505    56448   18300      0    1.08e+00    0    7.56e-01
2013 06 05  0510    56448   18600      0    1.08e+00    0    7.67e-01
2013 06 05  0515    56448   18900      0    1.09e+00    0    7.63e-01
2013 06 05  0520    56448   19200      0    1.05e+00    0    7.37e-01
2013 06 05  0525    56448   19500      0    1.08e+00    0    7.69e-01
2013 06 05  0530    56448   19800      0    1.09e+00    0    7.56e-01
2013 06 05  0535    56448   20100      0    1.09e+00    0    7.67e-01
2013 06 05  0540    56448   20400      0    1.08e+00    0    7.52e-01
2013 06 05  0545    56448   20700      0    1.08e+00    0    7.49e-01
2013 06 05  0550    56448   21000      0    1.08e+00    0    7.70e-01
2013 06 05  0555    56448   21300      0    1.10e+00    0    7.91e-01
2013 06 05  0600    56448   21600      0    1.08e+00    0    7.59e-01
2013 06 05  0605    56448   21900      0    1.11e+00    0    7.73e-01
2013 06 05  0610    56448   22200      0    1.03e+00    0    7.15e-01
2013 06 05  0615    56448   22500      0    1.10e+00    0    7.91e-01
2013 06 05  0620    56448   22800      0    1.09e+00    0    7.67e-01
2013 06 05  0625    56448   23100      0    1.03e+00    0    7.30e-01
2013 06 05  0630    56448   23400      0    1.08e+00    0    7.45e-01
2013 06 05  0635    56448   23700      0    1.08e+00    0    7.59e-01
2013 06 05  0640    56448   24000      0    1.10e+00    0    7.82e-01
2013 06 05  0645    56448   24300      0    1.07e+00    0    7.48e-01
2013 06 05  0650    56448   24600      0    1.02e+00    0    7.07e-01
2013 06 05  0655    56448   24900      0    1.08e+00    0    7.65e-01
2013 06 05  0700    56448   25200      0    1.07e+00    0    7.54e-01
2013 06 05  0705    56448   25500      0    1.09e+00    0    7.61e-01
2013 06 05  0710    56448   25800      0    1.03e+00    0    7.29e-01
2013 06 05  0715    56448   26100      0    1.06e+00    0    7.50e-01
2013 06 05  0720    56448   26400      0    1.03e+00    0    7.20e-01
2013 06 05  0725    56448   26700      0    1.07e+00    0    7.35e-01
2013 06 05  0730    56448   27000      0    9.92e-01    0    6.94e-01
2013 06 05  0735    56448   27300      0    1.09e+00    0    7.79e-01
2013 06 05  0740    56448   27600      0    1.07e+00    0    7.48e-01
2013 06 05  0745    56448   27900      0    1.05e+00    0    7.38e-01
2013 06 05  0750    56448   28200      0    1.04e+00    0    7.28e-01
2013 06 05  0755    56448   28500      0    1.06e+00    0    7.50e-01
2013 06 05  0800    56448   28800      0    1.03e+00    0    7.21e-01
2013 06 05  0805    56448   29100      0    1.04e+00    0    7.26e-01
2013 06 05  0810    56448   29400      0    1.05e+00    0    7.42e-01
2013 06 05  0815    56448   29700      0    1.03e+00    0    7.24e-01
2013 06 05  0820    56448   30000      0    1.07e+00    0    7.60e-01
2013 06 05  0825    56448   30300      0    1.06e+00    0    7.45e-01
2013 06 05  0830    56448   30600      0    1.03e+00    0    7.43e-01
2013 06 05  0835    56448   30900      0    1.07e+00    0    7.62e-01
2013 06 05  0840    56448   31200      0    1.08e+00    0    7.58e-01
2013 06 05  0845    56448   31500      0    1.11e+00    0    7.92e-01
2013 06 05  0850    56448   31800      0    1.05e+00    0    7.41e-01
2013 06 05  0855    56448   32100      0    1.08e+00    0    7.60e-01
2013 06 05  0900    56448   32400      0    1.06e+00    0    7.49e-01
2013 06 05  0905    56448   32700      0    1.04e+00    0    7.33e-01
2013 06 05  0910    56448   33000      0    1.06e+00    0    7.56e-01
2013 06 05  0915    56448   33300      0    1.06e+00    0    7.42e-01
2013 06 05  0920    56448   33600      0    1.04e+00    0    7.25e-01
2013 06 05  0925    56448   33900      0    1.10e+00    0    7.75e-01
2013 06 05  0930    56448   34200      0    1.09e+00    0    7.57e-01
2013 06 05  0935    56448   34500      0    1.05e+00    0    7.28e-01
2013 06 05  0940    56448   34800      0    1.08e+00    0    7.60e-01
2013 06 05  0945    56448   35100      0    1.08e+00    0    7.61e-01
2013 06 05  0950    56448   35400      0    1.09e+00    0    7.73e-01
2013 06 05  0955    56448   35700      0    1.07e+00    0    7.62e-01
2013 06 05  1000    56448   36000      0    9.95e-01    0    6.88e-01
2013 06 05  1005    56448   36300      0    1.11e+00    0    7.95e-01
2013 06 05  1010    56448   36600      0    1.04e+00    0    7.27e-01
2013 06 05  1015    56448   36900      0    1.07e+00    0    7.54e-01
2013 06 05  1020    56448   37200      0    1.07e+00    0    7.50e-01
2013 06 05  1025    56448   37500      0    1.05e+00    0    7.34e-01
2013 06 05  1030    56448   37800      0    1.09e+00    0    7.75e-01
2013 06 05  1035    56448   38100      0    1.04e+00    0    7.23e-01
2013 06 05  1040    56448   38400      0    1.05e+00    0    7.40e-01
2013 06 05  1045    56448   38700      0    1.05e+00    0    7.37e-01
2013 06 05  1050    56448   39000      0    1.09e+00    0    7.68e-01
2013 06 05  1055    56448   39300      0    1.09e+00    0    7.66e-01
2013 06 05  1100    56448   39600      0    1.08e+00    0    7.62e-01
2013 06 05  1105    56448   39900      0    1.06e+00    0    7.47e-01
2013 06 05  1110    56448   40200      0    1.08e+00    0    7.70e-01
2013 06 05  1115    56448   40500      0    1.07e+00    0    7.58e-01
2013 06 05  1120    56448   40800      0    1.07e+00    0    7.58e-01
2013 06 05  1125    56448   41100      0    1.07e+00    0    7.42e-01
2013 06 05  1130    56448   41400      0    1.06e+00    0    7.47e-01
2013 06 05  1135    56448   41700      0    1.07e+00    0    7.52e-01
2013 06 05  1140    56448   42000      0    1.07e+00    0    7.63e-01
2013 06 05  1145    56448   42300      0    1.04e+00    0    7.31e-01
2013 06 05  1150    56448   42600      0    1.08e+00    0    7.70e-01
2013 06 05  1155    56448   42900      0    1.06e+00    0    7.51e-01
2013 06 05  1200    56448   43200      0    1.05e+00    0    7.32e-01
2013 06 05  1205    56448   43500      0    1.08e+00    0    7.65e-01
2013 06 05  1210    56448   43800      0    1.06e+00    0    7.42e-01
2013 06 05  1215    56448   44100      0    1.08e+00    0    7.53e-01
2013 06 05  1220    56448   44400      0    1.08e+00    0    7.49e-01
2013 06 05  1225    56448   44700      0    1.06e+00    0    7.37e-01
2013 06 05  1230    56448   45000      0    1.08e+00    0    7.58e-01
2013 06 05  1235    56448   45300      0    1.04e+00    0    7.24e-01
2013 06 05  1240    56448   45600      0    1.07e+00    0    7.55e-01
2013 06 05  1245    56448   45900      0    1.05e+00    0    7.34e-01
2013 06 05  1250    56448   46200      0    1.06e+00    0    7.52e-01
2013 06 05  1255    56448   46500      0    1.07e+00    0    7.50e-01
2013 06 05  1300    56448   46800      0    1.10e+00    0    7.67e-01
2013 06 05  1305    56448   47100      0    1.06e+00    0    7.48e-01
2013 06 05  1310    56448   47400      0    1.05e+00    0    7.40e-01
2013 06 05  1315    56448   47700      0    1.08e+00    0    7.67e-01
2013 06 05  1320    56448   48000      0    1.03e+00    0    7.31e-01
2013 06 05  1325    56448   48300      0    1.09e+00    0    7.69e-01
2013 06 05  1330    56448   48600      0    1.06e+00    0    7.46e-01
2013 06 05  1335    56448   48900      0    1.09e+00    0    7.71e-01
2013 06 05  1340    56448   49200      0    1.07e+00    0    7.56e-01
2013 06 05  1345    56448   49500      0    1.08e+00    0    7.66e-01
2013 06 05  1350    56448   49800      0    1.09e+00    0    7.78e-01
2013 06 05  1355    56448   50100      0    1.06e+00    0    7.47e-01
2013 06 05  1400    56448   50400      0    1.05e+00    0    7.26e-01
2013 06 05  1405    56448   50700      0    1.06e+00    0    7.42e-01
2013 06 05  1410    56448   51000      0    1.05e+00    0    7.34e-01
2013 06 05  1415    56448   51300      0    1.03e+00    0    7.31e-01
2013 06 05  1420    56448   51600      0    1.09e+00    0    7.56e-01
2013 06 05  1425    56448   51900      0    1.04e+00    0    7.28e-01
2013 06 05  1430    56448   52200      0    1.06e+00    0    7.48e-01
2013 06 05  1435    56448   52500      0    1.11e+00    0    7.79e-01
2013 06 05  1440    56448   52800      0    1.07e+00    0    7.48e-01
2013 06 05  1445    56448   53100      0    1.08e+00    0    7.67e-01
2013 06 05  1450    56448   53400      0    1.07e+00    0    7.49e-01
2013 06 05  1455    56448   53700      0    1.09e+00    0    7.72e-01
2013 06 05  1500    56448   54000      0    1.08e+00    0    7.55e-01
2013 06 05  1505    56448   54300      0    1.08e+00    0    7.48e-01
2013 06 05  1510    56448   54600      0    1.02e+00    0    6.97e-01
2013 06 05  1515    56448   54900      0    1.07e+00    0    7.39e-01
2013 06 05  1520    56448   55200      0    1.09e+00    0    7.61e-01
2013 06 05  1525    56448   55500      0    1.08e+00    0    7.69e-01
2013 06 05  1530    56448   55800      0    1.06e+00    0    7.40e-01
2013 06 05  1535    56448   56100      0    1.05e+00    0    7.38e-01
2013 06 05  1540    56448   56400      0    1.09e+00    0    7.58e-01
2013 06 05  1545    56448   56700      0    1.06e+00    0    7.44e-01
2013 06 05  1550    56448   57000      0    1.04e+00    0    7.31e-01
2013 06 05  1555    56448   57300      0    1.08e+00    0    7.39e-01
2013 06 05  1600    56448   57600      0    1.08e+00    0    7.66e-01
2013 06 05  1605    56448   57900      0    1.06e+00    0    7.50e-01
2013 06 05  1610    56448   58200      0    1.06e+00    0    7.52e-01
2013 06 05  1615    56448   58500      0    1.05e+00    0    7.28e-01
2013 06 05  1620    56448   58800      0    1.01e+00    0    7.10e-01
2013 06 05  1625    56448   59100      0    1.07e+00    0    7.47e-01
2013 06 05  1630    56448   59400      0    1.06e+00    0    7.41e-01
2013 06 05  1635    56448   59700      0    1.06e+00    0    7.43e-01
2013 06 05  1640    56448   60000      0    1.10e+00    0    7.59e-01
2013 06 05  1645    56448   60300      0    1.05e+00    0    7.27e-01
2013 06 05  1650    56448   60600      0    1.05e+00    0    7.36e-01
2013 06 05  1655    56448   60900      0    1.07e+00    0    7.50e-01
2013 06 05  1700    56448   61200      0    1.05e+00    0    7.40e-01
2013 06 05  1705    56448   61500      0    1.08e+00    0    7.61e-01
2013 06 05  1710    56448   61800      0    1.08e+00    0    7.56e-01
2013 06 05  1715    56448   62100      0    1.04e+00    0    7.26e-01
2013 06 05  1720    56448   62400      0    1.09e+00    0    7.61e-01
2013 06 05  1725    56448   62700      0    1.04e+00    0    7.28e-01
2013 06 05  1730    56448   63000      0    1.06e+00    0    7.41e-01
2013 06 05  1735    56448   63300      0    1.05e+00    0    7.32e-01
2013 06 05  1740    56448   63600      0    1.07e+00    0    7.49e-01
2013 06 05  1745    56448   63900      0    1.08e+00    0    7.61e-01
2013 06 05  1750    56448   64200      0    1.08e+00    0    7.55e-01
