:Data_list: 20130927_ace_sis_5m.txt
:Created: 2013 Sep 28 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2013 09 27  0000    56562       0      0    1.09e+00    0    7.61e-01
2013 09 27  0005    56562     300      0    1.05e+00    0    7.22e-01
2013 09 27  0010    56562     600      0    1.13e+00    0    7.97e-01
2013 09 27  0015    56562     900      0    1.11e+00    0    7.66e-01
2013 09 27  0020    56562    1200      0    1.11e+00    0    7.79e-01
2013 09 27  0025    56562    1500      0    1.05e+00    0    7.36e-01
2013 09 27  0030    56562    1800      0    1.05e+00    0    7.41e-01
2013 09 27  0035    56562    2100      0    1.09e+00    0    7.78e-01
2013 09 27  0040    56562    2400      0    1.09e+00    0    7.81e-01
2013 09 27  0045    56562    2700      0    1.06e+00    0    7.41e-01
2013 09 27  0050    56562    3000      0    1.06e+00    0    7.62e-01
2013 09 27  0055    56562    3300      0    1.07e+00    0    7.68e-01
2013 09 27  0100    56562    3600      0    1.08e+00    0    7.62e-01
2013 09 27  0105    56562    3900      0    1.10e+00    0    7.63e-01
2013 09 27  0110    56562    4200      0    1.05e+00    0    7.41e-01
2013 09 27  0115    56562    4500      0    1.08e+00    0    7.68e-01
2013 09 27  0120    56562    4800      0    1.04e+00    0    7.30e-01
2013 09 27  0125    56562    5100      0    1.08e+00    0    7.59e-01
2013 09 27  0130    56562    5400      0    1.10e+00    0    7.71e-01
2013 09 27  0135    56562    5700      0    1.06e+00    0    7.34e-01
2013 09 27  0140    56562    6000      0    1.10e+00    0    7.75e-01
2013 09 27  0145    56562    6300      0    1.09e+00    0    7.78e-01
2013 09 27  0150    56562    6600      0    1.03e+00    0    7.26e-01
2013 09 27  0155    56562    6900      0    1.05e+00    0    7.48e-01
2013 09 27  0200    56562    7200      0    1.07e+00    0    7.34e-01
2013 09 27  0205    56562    7500      0    1.11e+00    0    7.76e-01
2013 09 27  0210    56562    7800      0    1.08e+00    0    7.45e-01
2013 09 27  0215    56562    8100      0    1.07e+00    0    7.49e-01
2013 09 27  0220    56562    8400      0    1.11e+00    0    8.04e-01
2013 09 27  0225    56562    8700      0    1.04e+00    0    7.25e-01
2013 09 27  0230    56562    9000      0    1.03e+00    0    6.99e-01
2013 09 27  0235    56562    9300      0    1.01e+00    0    7.04e-01
2013 09 27  0240    56562    9600      0    1.05e+00    0    7.33e-01
2013 09 27  0245    56562    9900      0    1.08e+00    0    7.61e-01
2013 09 27  0250    56562   10200      0    1.09e+00    0    7.77e-01
2013 09 27  0255    56562   10500      0    1.02e+00    0    7.27e-01
2013 09 27  0300    56562   10800      0    1.05e+00    0    7.45e-01
2013 09 27  0305    56562   11100      0    1.06e+00    0    7.49e-01
2013 09 27  0310    56562   11400      0    1.04e+00    0    7.36e-01
2013 09 27  0315    56562   11700      0    1.07e+00    0    7.48e-01
2013 09 27  0320    56562   12000      0    1.06e+00    0    7.31e-01
2013 09 27  0325    56562   12300      0    1.06e+00    0    7.50e-01
2013 09 27  0330    56562   12600      0    1.06e+00    0    7.31e-01
2013 09 27  0335    56562   12900      0    1.03e+00    0    7.27e-01
2013 09 27  0340    56562   13200      0    1.03e+00    0    7.15e-01
2013 09 27  0345    56562   13500      0    1.08e+00    0    7.47e-01
2013 09 27  0350    56562   13800      0    1.11e+00    0    7.95e-01
2013 09 27  0355    56562   14100      0    1.05e+00    0    7.38e-01
2013 09 27  0400    56562   14400      0    1.06e+00    0    7.41e-01
2013 09 27  0405    56562   14700      0    1.05e+00    0    7.46e-01
2013 09 27  0410    56562   15000      0    1.06e+00    0    7.35e-01
2013 09 27  0415    56562   15300      0    1.01e+00    0    7.01e-01
2013 09 27  0420    56562   15600      0    1.05e+00    0    7.32e-01
2013 09 27  0425    56562   15900      0    1.09e+00    0    7.64e-01
2013 09 27  0430    56562   16200      0    1.07e+00    0    7.55e-01
2013 09 27  0435    56562   16500      0    1.05e+00    0    7.46e-01
2013 09 27  0440    56562   16800      0    1.05e+00    0    7.42e-01
2013 09 27  0445    56562   17100      0    1.04e+00    0    7.40e-01
2013 09 27  0450    56562   17400      0    1.12e+00    0    7.93e-01
2013 09 27  0455    56562   17700      0    1.03e+00    0    7.19e-01
2013 09 27  0500    56562   18000      0    1.07e+00    0    7.64e-01
2013 09 27  0505    56562   18300      0    1.08e+00    0    7.68e-01
2013 09 27  0510    56562   18600      0    1.07e+00    0    7.50e-01
2013 09 27  0515    56562   18900      0    1.03e+00    0    7.23e-01
2013 09 27  0520    56562   19200      0    1.06e+00    0    7.53e-01
2013 09 27  0525    56562   19500      0    1.05e+00    0    7.38e-01
2013 09 27  0530    56562   19800      0    1.09e+00    0    7.65e-01
2013 09 27  0535    56562   20100      0    1.07e+00    0    7.52e-01
2013 09 27  0540    56562   20400      0    1.05e+00    0    7.44e-01
2013 09 27  0545    56562   20700      0    1.09e+00    0    7.71e-01
2013 09 27  0550    56562   21000      0    1.06e+00    0    7.46e-01
2013 09 27  0555    56562   21300      0    1.07e+00    0    7.58e-01
2013 09 27  0600    56562   21600      0    1.06e+00    0    7.45e-01
2013 09 27  0605    56562   21900      0    1.07e+00    0    7.49e-01
2013 09 27  0610    56562   22200      0    1.05e+00    0    7.42e-01
2013 09 27  0615    56562   22500      0    1.08e+00    0    7.60e-01
2013 09 27  0620    56562   22800      0    1.06e+00    0    7.42e-01
2013 09 27  0625    56562   23100      0    1.06e+00    0    7.44e-01
2013 09 27  0630    56562   23400      0    1.06e+00    0    7.49e-01
2013 09 27  0635    56562   23700      0    1.08e+00    0    7.54e-01
2013 09 27  0640    56562   24000      0    1.07e+00    0    7.51e-01
2013 09 27  0645    56562   24300      0    1.08e+00    0    7.58e-01
2013 09 27  0650    56562   24600      0    1.08e+00    0    7.59e-01
2013 09 27  0655    56562   24900      0    1.04e+00    0    7.24e-01
2013 09 27  0700    56562   25200      0    1.05e+00    0    7.41e-01
2013 09 27  0705    56562   25500      0    1.06e+00    0    7.50e-01
2013 09 27  0710    56562   25800      0    1.00e+00    0    7.07e-01
2013 09 27  0715    56562   26100      0    1.08e+00    0    7.66e-01
2013 09 27  0720    56562   26400      0    1.06e+00    0    7.48e-01
2013 09 27  0725    56562   26700      0    1.08e+00    0    7.69e-01
2013 09 27  0730    56562   27000      0    1.04e+00    0    7.34e-01
2013 09 27  0735    56562   27300      0    1.06e+00    0    7.41e-01
2013 09 27  0740    56562   27600      0    1.05e+00    0    7.43e-01
2013 09 27  0745    56562   27900      0    1.07e+00    0    7.55e-01
2013 09 27  0750    56562   28200      0    1.07e+00    0    7.51e-01
2013 09 27  0755    56562   28500      0    1.07e+00    0    7.48e-01
2013 09 27  0800    56562   28800      0    1.07e+00    0    7.52e-01
2013 09 27  0805    56562   29100      0    1.04e+00    0    7.34e-01
2013 09 27  0810    56562   29400      0    1.07e+00    0    7.51e-01
2013 09 27  0815    56562   29700      0    1.06e+00    0    7.44e-01
2013 09 27  0820    56562   30000      0    1.07e+00    0    7.59e-01
2013 09 27  0825    56562   30300      0    1.06e+00    0    7.51e-01
2013 09 27  0830    56562   30600      0    1.05e+00    0    7.46e-01
2013 09 27  0835    56562   30900      0    1.08e+00    0    7.68e-01
2013 09 27  0840    56562   31200      0    1.04e+00    0    7.31e-01
2013 09 27  0845    56562   31500      0    1.06e+00    0    7.44e-01
2013 09 27  0850    56562   31800      0    1.06e+00    0    7.49e-01
2013 09 27  0855    56562   32100      0    1.07e+00    0    7.50e-01
2013 09 27  0900    56562   32400      0    1.09e+00    0    7.64e-01
2013 09 27  0905    56562   32700      0    1.06e+00    0    7.51e-01
2013 09 27  0910    56562   33000      0    1.08e+00    0    7.68e-01
2013 09 27  0915    56562   33300      0    1.07e+00    0    7.54e-01
2013 09 27  0920    56562   33600      0    1.07e+00    0    7.55e-01
2013 09 27  0925    56562   33900      0    1.06e+00    0    7.56e-01
2013 09 27  0930    56562   34200      0    1.07e+00    0    7.57e-01
2013 09 27  0935    56562   34500      0    1.09e+00    0    7.77e-01
