:Data_list: 20131019_ace_sis_5m.txt
:Created: 2013 Oct 20 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2013 10 19  0000    56584       0      0    1.10e+00    0    7.51e-01
2013 10 19  0005    56584     300      0    1.09e+00    0    7.44e-01
2013 10 19  0010    56584     600      0    1.13e+00    0    7.75e-01
2013 10 19  0015    56584     900      0    1.12e+00    0    7.59e-01
2013 10 19  0020    56584    1200      0    1.13e+00    0    7.68e-01
2013 10 19  0025    56584    1500      0    1.12e+00    0    7.71e-01
2013 10 19  0030    56584    1800      0    1.14e+00    0    7.80e-01
2013 10 19  0035    56584    2100      0    1.13e+00    0    7.71e-01
2013 10 19  0040    56584    2400      0    1.14e+00    0    7.86e-01
2013 10 19  0045    56584    2700      0    1.14e+00    0    7.80e-01
2013 10 19  0050    56584    3000      0    1.10e+00    0    7.45e-01
2013 10 19  0055    56584    3300      0    1.11e+00    0    7.59e-01
2013 10 19  0100    56584    3600      0    1.10e+00    0    7.49e-01
2013 10 19  0105    56584    3900      0    1.13e+00    0    7.75e-01
2013 10 19  0110    56584    4200      0    1.10e+00    0    7.52e-01
2013 10 19  0115    56584    4500      0    1.12e+00    0    7.59e-01
2013 10 19  0120    56584    4800      0    1.10e+00    0    7.50e-01
2013 10 19  0125    56584    5100      0    1.12e+00    0    7.76e-01
2013 10 19  0130    56584    5400      0    1.12e+00    0    7.70e-01
2013 10 19  0135    56584    5700      0    1.13e+00    0    7.80e-01
2013 10 19  0140    56584    6000      0    1.11e+00    0    7.61e-01
2013 10 19  0145    56584    6300      0    1.13e+00    0    7.71e-01
2013 10 19  0150    56584    6600      0    1.12e+00    0    7.75e-01
2013 10 19  0155    56584    6900      0    1.12e+00    0    7.72e-01
2013 10 19  0200    56584    7200      0    1.10e+00    0    7.49e-01
2013 10 19  0205    56584    7500      0    1.11e+00    0    7.66e-01
2013 10 19  0210    56584    7800      0    1.12e+00    0    7.70e-01
2013 10 19  0215    56584    8100      0    1.13e+00    0    7.74e-01
2013 10 19  0220    56584    8400      0    1.12e+00    0    7.58e-01
2013 10 19  0225    56584    8700      0    1.15e+00    0    7.97e-01
2013 10 19  0230    56584    9000      0    1.13e+00    0    7.80e-01
2013 10 19  0235    56584    9300      0    1.11e+00    0    7.51e-01
2013 10 19  0240    56584    9600      0    1.14e+00    0    7.93e-01
2013 10 19  0245    56584    9900      0    1.10e+00    0    7.57e-01
2013 10 19  0250    56584   10200      0    1.12e+00    0    7.62e-01
2013 10 19  0255    56584   10500      0    1.11e+00    0    7.58e-01
2013 10 19  0300    56584   10800      0    1.12e+00    0    7.71e-01
2013 10 19  0305    56584   11100      0    1.12e+00    0    7.70e-01
2013 10 19  0310    56584   11400      0    1.12e+00    0    7.62e-01
2013 10 19  0315    56584   11700      0    1.10e+00    0    7.49e-01
2013 10 19  0320    56584   12000      0    1.13e+00    0    7.71e-01
2013 10 19  0325    56584   12300      0    1.13e+00    0    7.82e-01
2013 10 19  0330    56584   12600      0    1.12e+00    0    7.64e-01
2013 10 19  0335    56584   12900      0    1.11e+00    0    7.66e-01
2013 10 19  0340    56584   13200      0    1.12e+00    0    7.72e-01
2013 10 19  0345    56584   13500      0    1.10e+00    0    7.51e-01
2013 10 19  0350    56584   13800      0    1.13e+00    0    7.67e-01
2013 10 19  0355    56584   14100      0    1.13e+00    0    7.74e-01
2013 10 19  0400    56584   14400      0    1.12e+00    0    7.65e-01
2013 10 19  0405    56584   14700      0    1.09e+00    0    7.53e-01
2013 10 19  0410    56584   15000      0    1.11e+00    0    7.57e-01
2013 10 19  0415    56584   15300      0    1.13e+00    0    7.79e-01
2013 10 19  0420    56584   15600      0    1.12e+00    0    7.62e-01
2013 10 19  0425    56584   15900      0    1.12e+00    0    7.65e-01
2013 10 19  0430    56584   16200      0    1.08e+00    0    7.36e-01
2013 10 19  0435    56584   16500      0    1.15e+00    0    7.95e-01
2013 10 19  0440    56584   16800      0    1.13e+00    0    7.70e-01
2013 10 19  0445    56584   17100      0    1.08e+00    0    7.57e-01
2013 10 19  0450    56584   17400      0    1.10e+00    0    7.45e-01
2013 10 19  0455    56584   17700      0    1.12e+00    0    7.64e-01
2013 10 19  0500    56584   18000      0    1.14e+00    0    7.86e-01
2013 10 19  0505    56584   18300      0    1.14e+00    0    7.90e-01
2013 10 19  0510    56584   18600      0    1.12e+00    0    7.63e-01
2013 10 19  0515    56584   18900      0    1.12e+00    0    7.62e-01
2013 10 19  0520    56584   19200      0    1.11e+00    0    7.55e-01
2013 10 19  0525    56584   19500      0    1.13e+00    0    7.82e-01
2013 10 19  0530    56584   19800      0    1.11e+00    0    7.52e-01
2013 10 19  0535    56584   20100      0    1.15e+00    0    7.95e-01
2013 10 19  0540    56584   20400      0    1.13e+00    0    7.71e-01
2013 10 19  0545    56584   20700      0    1.10e+00    0    7.45e-01
2013 10 19  0550    56584   21000      0    1.10e+00    0    7.51e-01
2013 10 19  0555    56584   21300      0    1.09e+00    0    7.46e-01
2013 10 19  0600    56584   21600      0    1.09e+00    0    7.40e-01
2013 10 19  0605    56584   21900      0    1.14e+00    0    7.70e-01
2013 10 19  0610    56584   22200      0    1.10e+00    0    7.53e-01
2013 10 19  0615    56584   22500      0    1.10e+00    0    7.60e-01
2013 10 19  0620    56584   22800      0    1.13e+00    0    7.76e-01
2013 10 19  0625    56584   23100      0    1.14e+00    0    7.96e-01
2013 10 19  0630    56584   23400      0    1.08e+00    0    7.35e-01
2013 10 19  0635    56584   23700      0    1.14e+00    0    7.88e-01
2013 10 19  0640    56584   24000      0    1.12e+00    0    7.76e-01
2013 10 19  0645    56584   24300      0    1.11e+00    0    7.53e-01
2013 10 19  0650    56584   24600      0    1.11e+00    0    7.65e-01
2013 10 19  0655    56584   24900      0    1.10e+00    0    7.64e-01
2013 10 19  0700    56584   25200      0    1.09e+00    0    7.51e-01
2013 10 19  0705    56584   25500      0    1.11e+00    0    7.68e-01
2013 10 19  0710    56584   25800      0    1.10e+00    0    7.56e-01
2013 10 19  0715    56584   26100      0    1.11e+00    0    7.65e-01
2013 10 19  0720    56584   26400      0    1.09e+00    0    7.54e-01
2013 10 19  0725    56584   26700      0    1.12e+00    0    7.78e-01
2013 10 19  0730    56584   27000      0    1.12e+00    0    7.72e-01
2013 10 19  0735    56584   27300      0    1.12e+00    0    7.63e-01
2013 10 19  0740    56584   27600      0    1.14e+00    0    7.93e-01
2013 10 19  0745    56584   27900      0    1.12e+00    0    7.57e-01
2013 10 19  0750    56584   28200      0    1.10e+00    0    7.51e-01
2013 10 19  0755    56584   28500      0    1.11e+00    0    7.64e-01
2013 10 19  0800    56584   28800      0    1.09e+00    0    7.47e-01
2013 10 19  0805    56584   29100      0    1.14e+00    0    7.80e-01
2013 10 19  0810    56584   29400      0    1.09e+00    0    7.57e-01
2013 10 19  0815    56584   29700      0    1.12e+00    0    7.72e-01
2013 10 19  0820    56584   30000      0    1.12e+00    0    7.64e-01
2013 10 19  0825    56584   30300      0    1.12e+00    0    7.70e-01
2013 10 19  0830    56584   30600      0    1.13e+00    0    7.67e-01
2013 10 19  0835    56584   30900      0    1.11e+00    0    7.62e-01
2013 10 19  0840    56584   31200      0    1.11e+00    0    7.64e-01
2013 10 19  0845    56584   31500      0    1.12e+00    0    7.65e-01
2013 10 19  0850    56584   31800      0    1.11e+00    0    7.57e-01
2013 10 19  0855    56584   32100      0    1.12e+00    0    7.67e-01
2013 10 19  0900    56584   32400      0    1.13e+00    0    7.76e-01
2013 10 19  0905    56584   32700      0    1.12e+00    0    7.62e-01
2013 10 19  0910    56584   33000      0    1.11e+00    0    7.64e-01
2013 10 19  0915    56584   33300      0    1.15e+00    0    7.89e-01
2013 10 19  0920    56584   33600      0    1.11e+00    0    7.63e-01
2013 10 19  0925    56584   33900      0    1.11e+00    0    7.66e-01
2013 10 19  0930    56584   34200      0    1.10e+00    0    7.51e-01
2013 10 19  0935    56584   34500      0    1.10e+00    0    7.59e-01
2013 10 19  0940    56584   34800      0    1.11e+00    0    7.60e-01
2013 10 19  0945    56584   35100      0    1.10e+00    0    7.49e-01
2013 10 19  0950    56584   35400      0    1.12e+00    0    7.70e-01
2013 10 19  0955    56584   35700      0    1.14e+00    0    7.88e-01
2013 10 19  1000    56584   36000      0    1.12e+00    0    7.74e-01
2013 10 19  1005    56584   36300      0    1.09e+00    0    7.55e-01
2013 10 19  1010    56584   36600      0    1.11e+00    0    7.67e-01
2013 10 19  1015    56584   36900      0    1.13e+00    0    7.83e-01
2013 10 19  1020    56584   37200      0    1.10e+00    0    7.65e-01
2013 10 19  1025    56584   37500      0    1.09e+00    0    7.45e-01
2013 10 19  1030    56584   37800      0    1.11e+00    0    7.65e-01
2013 10 19  1035    56584   38100      0    1.12e+00    0    7.71e-01
2013 10 19  1040    56584   38400      0    1.12e+00    0    7.75e-01
2013 10 19  1045    56584   38700      0    1.12e+00    0    7.64e-01
2013 10 19  1050    56584   39000      0    1.14e+00    0    7.82e-01
2013 10 19  1055    56584   39300      0    1.12e+00    0    7.71e-01
2013 10 19  1100    56584   39600      0    1.09e+00    0    7.58e-01
2013 10 19  1105    56584   39900      0    1.09e+00    0    7.46e-01
2013 10 19  1110    56584   40200      0    1.11e+00    0    7.69e-01
2013 10 19  1115    56584   40500      0    1.13e+00    0    7.77e-01
2013 10 19  1120    56584   40800      0    1.12e+00    0    7.78e-01
2013 10 19  1125    56584   41100      0    1.09e+00    0    7.49e-01
2013 10 19  1130    56584   41400      0    1.11e+00    0    7.63e-01
2013 10 19  1135    56584   41700      0    1.12e+00    0    7.79e-01
2013 10 19  1140    56584   42000      0    1.11e+00    0    7.58e-01
2013 10 19  1145    56584   42300      0    1.08e+00    0    7.49e-01
2013 10 19  1150    56584   42600      0    1.10e+00    0    7.61e-01
2013 10 19  1155    56584   42900      0    1.13e+00    0    7.83e-01
2013 10 19  1200    56584   43200      0    1.12e+00    0    7.76e-01
2013 10 19  1205    56584   43500      0    1.11e+00    0    7.62e-01
2013 10 19  1210    56584   43800      0    1.10e+00    0    7.65e-01
2013 10 19  1215    56584   44100      0    1.12e+00    0    7.77e-01
2013 10 19  1220    56584   44400      0    1.12e+00    0    7.71e-01
2013 10 19  1225    56584   44700      0    1.14e+00    0    7.77e-01
2013 10 19  1230    56584   45000      0    1.12e+00    0    7.73e-01
2013 10 19  1235    56584   45300      0    1.10e+00    0    7.56e-01
2013 10 19  1240    56584   45600      0    1.12e+00    0    7.56e-01
2013 10 19  1245    56584   45900      0    1.10e+00    0    7.60e-01
2013 10 19  1250    56584   46200      0    1.13e+00    0    7.80e-01
2013 10 19  1255    56584   46500      0    1.08e+00    0    7.34e-01
2013 10 19  1300    56584   46800      0    1.10e+00    0    7.62e-01
2013 10 19  1305    56584   47100      0    1.12e+00    0    7.70e-01
2013 10 19  1310    56584   47400      0    1.13e+00    0    7.86e-01
2013 10 19  1315    56584   47700      0    1.09e+00    0    7.48e-01
2013 10 19  1320    56584   48000      0    1.13e+00    0    7.68e-01
2013 10 19  1325    56584   48300      0    1.12e+00    0    7.70e-01
2013 10 19  1330    56584   48600      0    1.11e+00    0    7.68e-01
2013 10 19  1335    56584   48900      0    1.11e+00    0    7.61e-01
2013 10 19  1340    56584   49200      0    1.11e+00    0    7.67e-01
2013 10 19  1345    56584   49500      0    1.09e+00    0    7.39e-01
2013 10 19  1350    56584   49800      0    1.09e+00    0    7.53e-01
2013 10 19  1355    56584   50100      0    1.13e+00    0    7.76e-01
2013 10 19  1400    56584   50400      0    1.12e+00    0    7.74e-01
2013 10 19  1405    56584   50700      0    1.12e+00    0    7.80e-01
2013 10 19  1410    56584   51000      0    1.11e+00    0    7.60e-01
2013 10 19  1415    56584   51300      0    1.13e+00    0    7.72e-01
2013 10 19  1420    56584   51600      0    1.10e+00    0    7.55e-01
2013 10 19  1425    56584   51900      0    1.11e+00    0    7.65e-01
2013 10 19  1430    56584   52200      0    1.13e+00    0    7.90e-01
2013 10 19  1435    56584   52500      0    1.13e+00    0    7.85e-01
2013 10 19  1440    56584   52800      0    1.11e+00    0    7.63e-01
2013 10 19  1445    56584   53100      0    1.11e+00    0    7.59e-01
2013 10 19  1450    56584   53400      0    1.07e+00    0    7.32e-01
2013 10 19  1455    56584   53700      0    1.10e+00    0    7.59e-01
