:Data_list: 20141202_ace_sis_5m.txt
:Created: 2014 Dec 02 1001 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2014 12 02  0000    56993       0      0    1.28e+00    0    8.62e-01
2014 12 02  0005    56993     300      0    1.31e+00    0    8.77e-01
2014 12 02  0010    56993     600      0    1.26e+00    0    8.41e-01
2014 12 02  0015    56993     900      0    1.25e+00    0    8.42e-01
2014 12 02  0020    56993    1200      0    1.26e+00    0    8.49e-01
2014 12 02  0025    56993    1500      0    1.31e+00    0    8.89e-01
2014 12 02  0030    56993    1800      0    1.28e+00    0    8.60e-01
2014 12 02  0035    56993    2100      0    1.30e+00    0    8.76e-01
2014 12 02  0040    56993    2400      0    1.30e+00    0    8.74e-01
2014 12 02  0045    56993    2700      0    1.28e+00    0    8.62e-01
2014 12 02  0050    56993    3000      0    1.27e+00    0    8.69e-01
2014 12 02  0055    56993    3300      0    1.28e+00    0    8.67e-01
2014 12 02  0100    56993    3600      0    1.28e+00    0    8.68e-01
2014 12 02  0105    56993    3900      0    1.25e+00    0    8.46e-01
2014 12 02  0110    56993    4200      0    1.27e+00    0    8.56e-01
2014 12 02  0115    56993    4500      0    1.29e+00    0    8.81e-01
2014 12 02  0120    56993    4800      0    1.28e+00    0    8.60e-01
2014 12 02  0125    56993    5100      0    1.25e+00    0    8.44e-01
2014 12 02  0130    56993    5400      0    1.26e+00    0    8.59e-01
2014 12 02  0135    56993    5700      0    1.28e+00    0    8.75e-01
2014 12 02  0140    56993    6000      0    1.29e+00    0    8.77e-01
2014 12 02  0145    56993    6300      0    1.24e+00    0    8.35e-01
2014 12 02  0150    56993    6600      0    1.26e+00    0    8.46e-01
2014 12 02  0155    56993    6900      0    1.25e+00    0    8.43e-01
2014 12 02  0200    56993    7200      0    1.24e+00    0    8.43e-01
2014 12 02  0205    56993    7500      0    1.24e+00    0    8.40e-01
2014 12 02  0210    56993    7800      0    1.26e+00    0    8.51e-01
2014 12 02  0215    56993    8100      0    1.25e+00    0    8.54e-01
2014 12 02  0220    56993    8400      0    1.25e+00    0    8.51e-01
2014 12 02  0225    56993    8700      0    1.31e+00    0    9.07e-01
2014 12 02  0230    56993    9000      0    1.28e+00    0    8.69e-01
2014 12 02  0235    56993    9300      0    1.24e+00    0    8.44e-01
2014 12 02  0240    56993    9600      0    1.26e+00    0    8.54e-01
2014 12 02  0245    56993    9900      0    1.28e+00    0    8.76e-01
2014 12 02  0250    56993   10200      0    1.27e+00    0    8.61e-01
2014 12 02  0255    56993   10500      0    1.25e+00    0    8.48e-01
2014 12 02  0300    56993   10800      0    1.24e+00    0    8.35e-01
