:Data_list: 20151224_ace_mag_1m.txt
:Created: 2015 Dec 24 1001 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2015 12 24  0000   57380       0    0     4.0    -7.4    -0.2     8.4    -1.2   298.3
2015 12 24  0001   57380      60    0     2.4    -8.0     1.1     8.4     7.2   286.9
2015 12 24  0002   57380     120    0     0.9    -8.4     0.1     8.4     0.5   276.1
2015 12 24  0003   57380     180    0     1.2    -8.1     0.1     8.2     0.6   278.7
2015 12 24  0004   57380     240    0     3.6    -7.0    -0.2     7.9    -1.2   296.9
2015 12 24  0005   57380     300    0     3.3    -6.8     0.7     7.6     5.6   295.9
2015 12 24  0006   57380     360    0     4.4    -6.5    -1.1     8.0    -8.1   304.2
2015 12 24  0007   57380     420    0     4.5    -6.4    -1.2     7.9    -8.6   304.9
2015 12 24  0008   57380     480    0     4.4    -7.4     0.3     8.6     1.8   300.7
2015 12 24  0009   57380     540    0     4.3    -7.4     1.5     8.6    10.3   300.1
2015 12 24  0010   57380     600    0     5.0    -7.1     0.9     8.7     5.8   305.1
2015 12 24  0011   57380     660    0     5.0    -7.2     0.8     8.8     5.3   304.7
2015 12 24  0012   57380     720    0     5.0    -6.9     0.9     8.6     6.0   305.7
2015 12 24  0013   57380     780    0     5.0    -6.4     2.2     8.4    14.8   308.0
2015 12 24  0014   57380     840    0     3.9    -6.7     3.2     8.4    22.1   300.0
2015 12 24  0015   57380     900    0     2.8    -5.9     4.2     7.7    33.0   295.2
2015 12 24  0016   57380     960    0     2.6    -7.4     2.4     8.2    17.4   289.1
2015 12 24  0017   57380    1020    0     2.9    -7.3     2.9     8.4    20.3   291.7
2015 12 24  0018   57380    1080    0     2.6    -7.1     3.5     8.3    25.0   290.1
2015 12 24  0019   57380    1140    0     3.3    -6.7     3.4     8.2    24.2   295.8
2015 12 24  0020   57380    1200    0     2.4    -7.4     2.8     8.2    20.1   288.3
2015 12 24  0021   57380    1260    0     2.5    -7.7     1.7     8.3    11.8   288.2
2015 12 24  0022   57380    1320    0     4.2    -6.9     2.8     8.5    19.2   301.0
2015 12 24  0023   57380    1380    0     3.9    -6.7     3.5     8.5    24.3   300.0
2015 12 24  0024   57380    1440    0     3.8    -6.1     4.3     8.4    31.0   301.9
2015 12 24  0025   57380    1500    0     3.5    -6.3     4.2     8.4    30.6   299.1
2015 12 24  0026   57380    1560    0     2.9    -6.6     4.2     8.4    30.2   293.8
2015 12 24  0027   57380    1620    0     3.1    -6.2     4.3     8.2    31.5   296.8
2015 12 24  0028   57380    1680    0     3.0    -6.4     4.2     8.2    30.8   294.9
2015 12 24  0029   57380    1740    0     2.5    -6.6     4.1     8.1    30.4   290.5
2015 12 24  0030   57380    1800    0     3.5    -6.2     3.6     8.0    26.6   299.7
2015 12 24  0031   57380    1860    0     2.0    -5.1     1.6     5.7    16.0   291.4
2015 12 24  0032   57380    1920    0     1.5    -5.2     3.5     6.5    33.0   285.5
2015 12 24  0033   57380    1980    0     2.3    -5.6     2.8     6.7    25.2   292.7
2015 12 24  0034   57380    2040    0     3.3    -6.7    -0.5     7.5    -3.8   296.0
2015 12 24  0035   57380    2100    0     0.7    -6.6     3.2     7.4    25.4   276.0
2015 12 24  0036   57380    2160    0     1.8    -7.2    -0.3     7.5    -2.4   284.2
2015 12 24  0037   57380    2220    0     2.5    -6.9    -2.5     7.7   -18.8   289.6
2015 12 24  0038   57380    2280    0     2.6    -7.1    -3.4     8.3   -24.4   289.8
2015 12 24  0039   57380    2340    0     2.2    -6.8    -4.3     8.3   -31.1   287.7
2015 12 24  0040   57380    2400    0     1.1    -6.7    -4.2     8.0   -31.7   279.5
2015 12 24  0041   57380    2460    0     0.6    -6.9    -3.1     7.6   -24.0   274.8
2015 12 24  0042   57380    2520    0     1.8    -6.4    -4.5     8.1   -34.0   285.8
2015 12 24  0043   57380    2580    0     1.4    -5.1    -5.5     7.6   -45.7   285.6
2015 12 24  0044   57380    2640    0    -0.1    -4.0    -5.9     7.2   -55.8   268.9
2015 12 24  0045   57380    2700    0     1.7    -5.7    -3.4     6.8   -29.5   286.2
2015 12 24  0046   57380    2760    0     2.4    -6.3    -1.4     6.9   -12.0   290.8
2015 12 24  0047   57380    2820    0     2.9    -6.6    -0.1     7.2    -1.2   293.4
2015 12 24  0048   57380    2880    0     3.2    -6.9    -0.5     7.6    -3.9   294.8
2015 12 24  0049   57380    2940    0     2.3    -6.6    -1.1     7.1    -9.3   289.0
2015 12 24  0050   57380    3000    0     0.7    -6.3    -2.9     6.9   -24.6   275.9
2015 12 24  0051   57380    3060    0     2.2    -5.3    -3.3     6.6   -29.9   292.7
2015 12 24  0052   57380    3120    0     2.6    -6.5    -0.5     7.0    -3.7   292.2
2015 12 24  0053   57380    3180    0     3.0    -4.5    -3.5     6.4   -33.1   304.1
2015 12 24  0054   57380    3240    0     3.1    -4.5    -2.0     5.8   -20.2   304.5
2015 12 24  0055   57380    3300    0     1.4    -4.6    -2.0     5.2   -22.0   287.1
2015 12 24  0056   57380    3360    0    -1.4    -5.4     1.8     5.9    17.7   255.2
2015 12 24  0057   57380    3420    0     0.2    -6.1     2.1     6.5    19.3   271.7
2015 12 24  0058   57380    3480    0     0.4    -4.4    -2.7     5.2   -31.4   274.6
2015 12 24  0059   57380    3540    0    -1.4    -1.9    -5.7     6.2   -67.9   233.5
2015 12 24  0100   57380    3600    0     4.9    -1.7    -3.0     5.9   -30.3   341.2
2015 12 24  0101   57380    3660    0     5.8    -1.3    -2.0     6.3   -18.4   347.5
2015 12 24  0102   57380    3720    0     5.3    -3.0    -1.3     6.2   -11.6   330.0
2015 12 24  0103   57380    3780    0     3.2    -5.2     0.2     6.1     1.9   301.9
2015 12 24  0104   57380    3840    0     3.5    -5.1    -1.1     6.3    -9.9   304.8
2015 12 24  0105   57380    3900    0     4.1    -4.8    -0.9     6.4    -8.0   310.5
2015 12 24  0106   57380    3960    0     4.6    -4.4    -1.5     6.5   -13.0   316.2
2015 12 24  0107   57380    4020    0     4.1    -4.8    -1.6     6.5   -14.5   310.7
2015 12 24  0108   57380    4080    0     4.1    -4.7    -1.5     6.5   -13.7   311.2
2015 12 24  0109   57380    4140    0     4.3    -3.8     1.7     6.0    16.1   318.4
2015 12 24  0110   57380    4200    0     3.4    -2.3     4.2     5.9    45.7   326.0
2015 12 24  0111   57380    4260    0     3.9    -3.1     4.5     6.7    42.2   321.5
2015 12 24  0112   57380    4320    0     4.9    -2.3     4.8     7.3    41.5   334.9
2015 12 24  0113   57380    4380    0     4.6    -4.2     4.1     7.4    33.3   317.6
2015 12 24  0114   57380    4440    0     5.0    -4.5     3.2     7.4    25.5   317.7
2015 12 24  0115   57380    4500    0     5.3    -4.3     2.6     7.4    21.1   320.9
2015 12 24  0116   57380    4560    0     5.6    -3.8     2.8     7.4    22.5   325.8
2015 12 24  0117   57380    4620    0     5.6    -3.8     2.6     7.2    21.4   325.9
2015 12 24  0118   57380    4680    0     5.6    -4.3     1.3     7.2    10.6   322.3
2015 12 24  0119   57380    4740    0     5.4    -3.9     0.6     6.7     5.0   323.8
2015 12 24  0120   57380    4800    0     5.9    -3.1     1.9     6.9    16.1   332.4
2015 12 24  0121   57380    4860    0     6.1    -4.2    -0.3     7.4    -2.6   325.1
2015 12 24  0122   57380    4920    0     6.2    -4.1    -0.9     7.5    -6.6   326.2
2015 12 24  0123   57380    4980    0     5.7    -4.9     0.4     7.5     3.1   319.4
