:Data_list: 20160102_ace_swepam_1m.txt
:Created: 2016 Jan 03 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2016 01 02  0000   57389       0    0        6.4      436.4     1.28e+05
2016 01 02  0001   57389      60    0        6.1      430.3     6.31e+04
2016 01 02  0002   57389     120    0        6.6      419.7     2.77e+04
2016 01 02  0003   57389     180    0        8.8      431.7     3.61e+04
2016 01 02  0004   57389     240    0        9.4      441.8     4.01e+04
2016 01 02  0005   57389     300    0        8.4      423.8     3.37e+04
2016 01 02  0006   57389     360    0        5.6      429.8     5.54e+04
2016 01 02  0007   57389     420    0        5.3      430.4     5.74e+04
2016 01 02  0008   57389     480    0        6.4      433.4     7.04e+04
2016 01 02  0009   57389     540    0        5.3      427.0     5.94e+04
2016 01 02  0010   57389     600    0        2.9      408.7     4.12e+04
2016 01 02  0011   57389     660    0        2.3      410.1     4.20e+04
2016 01 02  0012   57389     720    0        3.1      417.4     3.61e+04
2016 01 02  0013   57389     780    1        5.6      434.4     1.08e+05
2016 01 02  0014   57389     840    0        7.9      454.4     2.05e+05
2016 01 02  0015   57389     900    0        6.4      444.2     1.52e+05
2016 01 02  0016   57389     960    0        4.3      425.2     5.27e+04
2016 01 02  0017   57389    1020    0        5.5      429.4     5.50e+04
2016 01 02  0018   57389    1080    0        3.4      423.5     4.77e+04
2016 01 02  0019   57389    1140    0        2.6      413.7     3.87e+04
2016 01 02  0020   57389    1200    0        4.1      426.7     5.21e+04
2016 01 02  0021   57389    1260    0        4.1      430.6     7.27e+04
2016 01 02  0022   57389    1320    0        6.5      442.4     9.15e+04
2016 01 02  0023   57389    1380    1        7.4      445.3     9.63e+04
2016 01 02  0024   57389    1440    0        5.0      427.0     5.49e+04
2016 01 02  0025   57389    1500    0        3.7      422.2     5.17e+04
2016 01 02  0026   57389    1560    0        4.1      422.4     5.39e+04
2016 01 02  0027   57389    1620    0        4.5      426.4     5.37e+04
2016 01 02  0028   57389    1680    0        4.5      431.9     6.54e+04
2016 01 02  0029   57389    1740    0        5.1      433.2     7.58e+04
2016 01 02  0030   57389    1800    0        6.4      429.5     6.91e+04
2016 01 02  0031   57389    1860    0        6.8      426.3     5.90e+04
2016 01 02  0032   57389    1920    0        5.2      420.6     6.19e+04
2016 01 02  0033   57389    1980    0        7.3      424.6     5.73e+04
2016 01 02  0034   57389    2040    0       15.8      442.2     4.12e+04
2016 01 02  0035   57389    2100    0       10.9      439.8     7.27e+04
