:Data_list: 20170427_ace_swepam_1m.txt
:Created: 2017 Apr 28 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2017 04 27  0000   57870       0    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0001   57870      60    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0002   57870     120    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0003   57870     180    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0004   57870     240    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0005   57870     300    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0006   57870     360    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0007   57870     420    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0008   57870     480    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0009   57870     540    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0010   57870     600    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0011   57870     660    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0012   57870     720    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0013   57870     780    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0014   57870     840    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0015   57870     900    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0016   57870     960    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0017   57870    1020    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0018   57870    1080    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0019   57870    1140    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0020   57870    1200    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0021   57870    1260    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0022   57870    1320    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0023   57870    1380    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0024   57870    1440    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0025   57870    1500    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0026   57870    1560    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0027   57870    1620    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0028   57870    1680    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0029   57870    1740    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0030   57870    1800    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0031   57870    1860    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0032   57870    1920    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0033   57870    1980    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0034   57870    2040    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0035   57870    2100    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0036   57870    2160    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0037   57870    2220    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0038   57870    2280    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0039   57870    2340    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0040   57870    2400    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0041   57870    2460    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0042   57870    2520    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0043   57870    2580    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0044   57870    2640    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0045   57870    2700    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0046   57870    2760    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0047   57870    2820    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0048   57870    2880    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0049   57870    2940    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0050   57870    3000    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0051   57870    3060    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0052   57870    3120    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0053   57870    3180    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0054   57870    3240    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0055   57870    3300    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0056   57870    3360    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0057   57870    3420    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0058   57870    3480    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0059   57870    3540    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0100   57870    3600    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0101   57870    3660    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0102   57870    3720    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0103   57870    3780    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0104   57870    3840    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0105   57870    3900    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0106   57870    3960    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0107   57870    4020    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0108   57870    4080    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0109   57870    4140    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0110   57870    4200    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0111   57870    4260    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0112   57870    4320    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0113   57870    4380    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0114   57870    4440    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0115   57870    4500    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0116   57870    4560    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0117   57870    4620    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0118   57870    4680    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0119   57870    4740    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0120   57870    4800    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0121   57870    4860    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0122   57870    4920    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0123   57870    4980    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0124   57870    5040    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0125   57870    5100    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0126   57870    5160    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0127   57870    5220    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0128   57870    5280    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0129   57870    5340    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0130   57870    5400    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0131   57870    5460    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0132   57870    5520    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0133   57870    5580    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0134   57870    5640    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0135   57870    5700    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0136   57870    5760    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0137   57870    5820    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0138   57870    5880    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0139   57870    5940    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0140   57870    6000    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0141   57870    6060    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0142   57870    6120    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0143   57870    6180    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0144   57870    6240    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0145   57870    6300    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0146   57870    6360    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0147   57870    6420    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0148   57870    6480    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0149   57870    6540    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0150   57870    6600    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0151   57870    6660    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0152   57870    6720    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0153   57870    6780    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0154   57870    6840    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0155   57870    6900    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0156   57870    6960    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0157   57870    7020    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0158   57870    7080    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0159   57870    7140    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0200   57870    7200    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0201   57870    7260    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0202   57870    7320    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0203   57870    7380    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0204   57870    7440    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0205   57870    7500    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0206   57870    7560    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0207   57870    7620    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0208   57870    7680    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0209   57870    7740    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0210   57870    7800    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0211   57870    7860    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0212   57870    7920    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0213   57870    7980    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0214   57870    8040    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0215   57870    8100    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0216   57870    8160    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0217   57870    8220    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0218   57870    8280    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0219   57870    8340    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0220   57870    8400    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0221   57870    8460    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0222   57870    8520    9    -9999.9    -9999.9    -1.00e+05
2017 04 27  0223   57870    8580    9    -9999.9    -9999.9    -1.00e+05
