:Data_list: 20170522_ace_sis_5m.txt
:Created: 2017 May 23 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2017 05 22  0000    57895       0      9   -1.00e+05    9   -1.00e+05
2017 05 22  0005    57895     300      9   -1.00e+05    9   -1.00e+05
2017 05 22  0010    57895     600      9   -1.00e+05    9   -1.00e+05
2017 05 22  0015    57895     900      9   -1.00e+05    9   -1.00e+05
2017 05 22  0020    57895    1200      9   -1.00e+05    9   -1.00e+05
2017 05 22  0025    57895    1500      9   -1.00e+05    9   -1.00e+05
2017 05 22  0030    57895    1800      9   -1.00e+05    9   -1.00e+05
2017 05 22  0035    57895    2100      9   -1.00e+05    9   -1.00e+05
2017 05 22  0040    57895    2400      9   -1.00e+05    9   -1.00e+05
2017 05 22  0045    57895    2700      9   -1.00e+05    9   -1.00e+05
2017 05 22  0050    57895    3000      9   -1.00e+05    9   -1.00e+05
2017 05 22  0055    57895    3300      9   -1.00e+05    9   -1.00e+05
2017 05 22  0100    57895    3600      9   -1.00e+05    9   -1.00e+05
2017 05 22  0105    57895    3900      9   -1.00e+05    9   -1.00e+05
2017 05 22  0110    57895    4200      9   -1.00e+05    9   -1.00e+05
2017 05 22  0115    57895    4500      9   -1.00e+05    9   -1.00e+05
2017 05 22  0120    57895    4800      9   -1.00e+05    9   -1.00e+05
2017 05 22  0125    57895    5100      9   -1.00e+05    9   -1.00e+05
2017 05 22  0130    57895    5400      9   -1.00e+05    9   -1.00e+05
2017 05 22  0135    57895    5700      9   -1.00e+05    9   -1.00e+05
2017 05 22  0140    57895    6000      9   -1.00e+05    9   -1.00e+05
2017 05 22  0145    57895    6300      9   -1.00e+05    9   -1.00e+05
2017 05 22  0150    57895    6600      9   -1.00e+05    9   -1.00e+05
2017 05 22  0155    57895    6900      9   -1.00e+05    9   -1.00e+05
2017 05 22  0200    57895    7200      9   -1.00e+05    9   -1.00e+05
2017 05 22  0205    57895    7500      9   -1.00e+05    9   -1.00e+05
