:Data_list: 20171123_ace_sis_5m.txt
:Created: 2017 Nov 23 1001 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2017 11 23  0000    58080       0      9   -1.00e+05    9   -1.00e+05
2017 11 23  0005    58080     300      9   -1.00e+05    9   -1.00e+05
2017 11 23  0010    58080     600      9   -1.00e+05    9   -1.00e+05
2017 11 23  0015    58080     900      9   -1.00e+05    9   -1.00e+05
2017 11 23  0020    58080    1200      9   -1.00e+05    9   -1.00e+05
2017 11 23  0025    58080    1500      9   -1.00e+05    9   -1.00e+05
2017 11 23  0030    58080    1800      9   -1.00e+05    9   -1.00e+05
2017 11 23  0035    58080    2100      9   -1.00e+05    9   -1.00e+05
2017 11 23  0040    58080    2400      9   -1.00e+05    9   -1.00e+05
2017 11 23  0045    58080    2700      9   -1.00e+05    9   -1.00e+05
2017 11 23  0050    58080    3000      9   -1.00e+05    9   -1.00e+05
2017 11 23  0055    58080    3300      9   -1.00e+05    9   -1.00e+05
2017 11 23  0100    58080    3600      9   -1.00e+05    9   -1.00e+05
2017 11 23  0105    58080    3900      9   -1.00e+05    9   -1.00e+05
2017 11 23  0110    58080    4200      9   -1.00e+05    9   -1.00e+05
2017 11 23  0115    58080    4500      9   -1.00e+05    9   -1.00e+05
2017 11 23  0120    58080    4800      9   -1.00e+05    9   -1.00e+05
2017 11 23  0125    58080    5100      9   -1.00e+05    9   -1.00e+05
2017 11 23  0130    58080    5400      9   -1.00e+05    9   -1.00e+05
2017 11 23  0135    58080    5700      9   -1.00e+05    9   -1.00e+05
2017 11 23  0140    58080    6000      9   -1.00e+05    9   -1.00e+05
2017 11 23  0145    58080    6300      9   -1.00e+05    9   -1.00e+05
2017 11 23  0150    58080    6600      9   -1.00e+05    9   -1.00e+05
2017 11 23  0155    58080    6900      9   -1.00e+05    9   -1.00e+05
2017 11 23  0200    58080    7200      9   -1.00e+05    9   -1.00e+05
2017 11 23  0205    58080    7500      9   -1.00e+05    9   -1.00e+05
2017 11 23  0210    58080    7800      9   -1.00e+05    9   -1.00e+05
2017 11 23  0215    58080    8100      9   -1.00e+05    9   -1.00e+05
2017 11 23  0220    58080    8400      9   -1.00e+05    9   -1.00e+05
2017 11 23  0225    58080    8700      9   -1.00e+05    9   -1.00e+05
2017 11 23  0230    58080    9000      9   -1.00e+05    9   -1.00e+05
2017 11 23  0235    58080    9300      9   -1.00e+05    9   -1.00e+05
2017 11 23  0240    58080    9600      9   -1.00e+05    9   -1.00e+05
2017 11 23  0245    58080    9900      9   -1.00e+05    9   -1.00e+05
2017 11 23  0250    58080   10200      9   -1.00e+05    9   -1.00e+05
2017 11 23  0255    58080   10500      9   -1.00e+05    9   -1.00e+05
2017 11 23  0300    58080   10800      9   -1.00e+05    9   -1.00e+05
2017 11 23  0305    58080   11100      9   -1.00e+05    9   -1.00e+05
2017 11 23  0310    58080   11400      9   -1.00e+05    9   -1.00e+05
2017 11 23  0315    58080   11700      9   -1.00e+05    9   -1.00e+05
2017 11 23  0320    58080   12000      9   -1.00e+05    9   -1.00e+05
2017 11 23  0325    58080   12300      9   -1.00e+05    9   -1.00e+05
2017 11 23  0330    58080   12600      9   -1.00e+05    9   -1.00e+05
2017 11 23  0335    58080   12900      9   -1.00e+05    9   -1.00e+05
2017 11 23  0340    58080   13200      9   -1.00e+05    9   -1.00e+05
2017 11 23  0345    58080   13500      9   -1.00e+05    9   -1.00e+05
2017 11 23  0350    58080   13800      9   -1.00e+05    9   -1.00e+05
2017 11 23  0355    58080   14100      9   -1.00e+05    9   -1.00e+05
2017 11 23  0400    58080   14400      9   -1.00e+05    9   -1.00e+05
2017 11 23  0405    58080   14700      9   -1.00e+05    9   -1.00e+05
2017 11 23  0410    58080   15000      9   -1.00e+05    9   -1.00e+05
2017 11 23  0415    58080   15300      9   -1.00e+05    9   -1.00e+05
2017 11 23  0420    58080   15600      9   -1.00e+05    9   -1.00e+05
2017 11 23  0425    58080   15900      9   -1.00e+05    9   -1.00e+05
2017 11 23  0430    58080   16200      9   -1.00e+05    9   -1.00e+05
2017 11 23  0435    58080   16500      9   -1.00e+05    9   -1.00e+05
2017 11 23  0440    58080   16800      9   -1.00e+05    9   -1.00e+05
2017 11 23  0445    58080   17100      9   -1.00e+05    9   -1.00e+05
2017 11 23  0450    58080   17400      9   -1.00e+05    9   -1.00e+05
2017 11 23  0455    58080   17700      9   -1.00e+05    9   -1.00e+05
2017 11 23  0500    58080   18000      9   -1.00e+05    9   -1.00e+05
2017 11 23  0505    58080   18300      9   -1.00e+05    9   -1.00e+05
2017 11 23  0510    58080   18600      9   -1.00e+05    9   -1.00e+05
2017 11 23  0515    58080   18900      9   -1.00e+05    9   -1.00e+05
2017 11 23  0520    58080   19200      9   -1.00e+05    9   -1.00e+05
2017 11 23  0525    58080   19500      9   -1.00e+05    9   -1.00e+05
2017 11 23  0530    58080   19800      9   -1.00e+05    9   -1.00e+05
2017 11 23  0535    58080   20100      9   -1.00e+05    9   -1.00e+05
2017 11 23  0540    58080   20400      9   -1.00e+05    9   -1.00e+05
2017 11 23  0545    58080   20700      9   -1.00e+05    9   -1.00e+05
2017 11 23  0550    58080   21000      9   -1.00e+05    9   -1.00e+05
2017 11 23  0555    58080   21300      9   -1.00e+05    9   -1.00e+05
2017 11 23  0600    58080   21600      9   -1.00e+05    9   -1.00e+05
2017 11 23  0605    58080   21900      9   -1.00e+05    9   -1.00e+05
2017 11 23  0610    58080   22200      9   -1.00e+05    9   -1.00e+05
2017 11 23  0615    58080   22500      9   -1.00e+05    9   -1.00e+05
2017 11 23  0620    58080   22800      9   -1.00e+05    9   -1.00e+05
2017 11 23  0625    58080   23100      9   -1.00e+05    9   -1.00e+05
2017 11 23  0630    58080   23400      9   -1.00e+05    9   -1.00e+05
2017 11 23  0635    58080   23700      9   -1.00e+05    9   -1.00e+05
2017 11 23  0640    58080   24000      0    2.36e+00    0    1.66e+00
2017 11 23  0645    58080   24300      0    2.39e+00    0    1.68e+00
2017 11 23  0650    58080   24600      0    2.46e+00    0    1.75e+00
2017 11 23  0655    58080   24900      0    2.37e+00    0    1.66e+00
2017 11 23  0700    58080   25200      0    2.36e+00    0    1.67e+00
2017 11 23  0705    58080   25500      0    2.34e+00    0    1.64e+00
2017 11 23  0710    58080   25800      0    2.34e+00    0    1.65e+00
2017 11 23  0715    58080   26100      0    2.32e+00    0    1.66e+00
2017 11 23  0720    58080   26400      0    2.33e+00    0    1.66e+00
2017 11 23  0725    58080   26700      0    2.34e+00    0    1.64e+00
2017 11 23  0730    58080   27000      0    2.36e+00    0    1.67e+00
2017 11 23  0735    58080   27300      0    2.37e+00    0    1.68e+00
2017 11 23  0740    58080   27600      0    2.31e+00    0    1.64e+00
2017 11 23  0745    58080   27900      0    2.36e+00    0    1.67e+00
2017 11 23  0750    58080   28200      0    2.35e+00    0    1.65e+00
2017 11 23  0755    58080   28500      0    2.37e+00    0    1.66e+00
2017 11 23  0800    58080   28800      0    2.35e+00    0    1.64e+00
2017 11 23  0805    58080   29100      0    2.34e+00    0    1.66e+00
2017 11 23  0810    58080   29400      0    2.33e+00    0    1.66e+00
2017 11 23  0815    58080   29700      0    2.30e+00    0    1.60e+00
2017 11 23  0820    58080   30000      0    2.31e+00    0    1.60e+00
2017 11 23  0825    58080   30300      0    2.34e+00    0    1.65e+00
2017 11 23  0830    58080   30600      0    2.36e+00    0    1.66e+00
2017 11 23  0835    58080   30900      0    2.29e+00    0    1.62e+00
2017 11 23  0840    58080   31200      0    2.35e+00    0    1.65e+00
2017 11 23  0845    58080   31500      0    2.31e+00    0    1.61e+00
2017 11 23  0850    58080   31800      0    2.32e+00    0    1.61e+00
2017 11 23  0855    58080   32100      0    2.32e+00    0    1.62e+00
2017 11 23  0900    58080   32400      0    2.33e+00    0    1.64e+00
2017 11 23  0905    58080   32700      0    2.51e+00    0    1.77e+00
2017 11 23  0910    58080   33000      0    2.40e+00    0    1.69e+00
2017 11 23  0915    58080   33300      0    2.31e+00    0    1.64e+00
2017 11 23  0920    58080   33600      0    2.34e+00    0    1.65e+00
2017 11 23  0925    58080   33900      0    2.38e+00    0    1.66e+00
2017 11 23  0930    58080   34200      0    2.36e+00    0    1.66e+00
2017 11 23  0935    58080   34500      0    2.36e+00    0    1.66e+00
2017 11 23  0940    58080   34800      0    2.36e+00    0    1.67e+00
2017 11 23  0945    58080   35100      0    2.38e+00    0    1.67e+00
2017 11 23  0950    58080   35400      0    2.36e+00    0    1.66e+00
2017 11 23  0955    58080   35700      0    2.33e+00    0    1.63e+00
