:Data_list: 20180207_ace_swepam_1m.txt
:Created: 2018 Feb 08 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2018 02 07  0000   58156       0    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0001   58156      60    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0002   58156     120    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0003   58156     180    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0004   58156     240    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0005   58156     300    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0006   58156     360    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0007   58156     420    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0008   58156     480    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0009   58156     540    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0010   58156     600    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0011   58156     660    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0012   58156     720    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0013   58156     780    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0014   58156     840    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0015   58156     900    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0016   58156     960    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0017   58156    1020    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0018   58156    1080    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0019   58156    1140    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0020   58156    1200    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0021   58156    1260    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0022   58156    1320    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0023   58156    1380    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0024   58156    1440    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0025   58156    1500    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0026   58156    1560    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0027   58156    1620    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0028   58156    1680    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0029   58156    1740    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0030   58156    1800    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0031   58156    1860    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0032   58156    1920    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0033   58156    1980    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0034   58156    2040    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0035   58156    2100    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0036   58156    2160    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0037   58156    2220    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0038   58156    2280    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0039   58156    2340    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0040   58156    2400    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0041   58156    2460    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0042   58156    2520    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0043   58156    2580    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0044   58156    2640    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0045   58156    2700    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0046   58156    2760    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0047   58156    2820    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0048   58156    2880    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0049   58156    2940    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0050   58156    3000    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0051   58156    3060    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0052   58156    3120    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0053   58156    3180    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0054   58156    3240    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0055   58156    3300    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0056   58156    3360    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0057   58156    3420    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0058   58156    3480    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0059   58156    3540    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0100   58156    3600    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0101   58156    3660    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0102   58156    3720    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0103   58156    3780    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0104   58156    3840    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0105   58156    3900    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0106   58156    3960    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0107   58156    4020    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0108   58156    4080    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0109   58156    4140    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0110   58156    4200    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0111   58156    4260    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0112   58156    4320    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0113   58156    4380    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0114   58156    4440    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0115   58156    4500    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0116   58156    4560    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0117   58156    4620    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0118   58156    4680    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0119   58156    4740    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0120   58156    4800    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0121   58156    4860    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0122   58156    4920    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0123   58156    4980    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0124   58156    5040    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0125   58156    5100    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0126   58156    5160    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0127   58156    5220    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0128   58156    5280    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0129   58156    5340    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0130   58156    5400    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0131   58156    5460    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0132   58156    5520    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0133   58156    5580    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0134   58156    5640    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0135   58156    5700    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0136   58156    5760    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0137   58156    5820    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0138   58156    5880    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0139   58156    5940    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0140   58156    6000    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0141   58156    6060    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0142   58156    6120    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0143   58156    6180    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0144   58156    6240    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0145   58156    6300    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0146   58156    6360    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0147   58156    6420    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0148   58156    6480    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0149   58156    6540    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0150   58156    6600    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0151   58156    6660    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0152   58156    6720    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0153   58156    6780    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0154   58156    6840    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0155   58156    6900    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0156   58156    6960    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0157   58156    7020    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0158   58156    7080    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0159   58156    7140    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0200   58156    7200    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0201   58156    7260    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0202   58156    7320    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0203   58156    7380    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0204   58156    7440    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0205   58156    7500    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0206   58156    7560    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0207   58156    7620    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0208   58156    7680    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0209   58156    7740    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0210   58156    7800    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0211   58156    7860    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0212   58156    7920    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0213   58156    7980    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0214   58156    8040    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0215   58156    8100    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0216   58156    8160    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0217   58156    8220    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0218   58156    8280    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0219   58156    8340    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0220   58156    8400    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0221   58156    8460    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0222   58156    8520    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0223   58156    8580    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0224   58156    8640    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0225   58156    8700    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0226   58156    8760    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0227   58156    8820    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0228   58156    8880    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0229   58156    8940    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0230   58156    9000    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0231   58156    9060    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0232   58156    9120    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0233   58156    9180    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0234   58156    9240    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0235   58156    9300    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0236   58156    9360    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0237   58156    9420    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0238   58156    9480    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0239   58156    9540    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0240   58156    9600    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0241   58156    9660    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0242   58156    9720    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0243   58156    9780    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0244   58156    9840    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0245   58156    9900    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0246   58156    9960    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0247   58156   10020    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0248   58156   10080    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0249   58156   10140    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0250   58156   10200    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0251   58156   10260    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0252   58156   10320    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0253   58156   10380    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0254   58156   10440    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0255   58156   10500    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0256   58156   10560    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0257   58156   10620    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0258   58156   10680    9    -9999.9    -9999.9    -1.00e+05
2018 02 07  0259   58156   10740    9    -9999.9    -9999.9    -1.00e+05
