:Data_list: 20180806_ace_swepam_1m.txt
:Created: 2018 Aug 06 0901 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2018 08 06  0000   58336       0    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0001   58336      60    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0002   58336     120    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0003   58336     180    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0004   58336     240    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0005   58336     300    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0006   58336     360    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0007   58336     420    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0008   58336     480    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0009   58336     540    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0010   58336     600    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0011   58336     660    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0012   58336     720    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0013   58336     780    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0014   58336     840    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0015   58336     900    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0016   58336     960    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0017   58336    1020    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0018   58336    1080    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0019   58336    1140    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0020   58336    1200    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0021   58336    1260    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0022   58336    1320    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0023   58336    1380    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0024   58336    1440    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0025   58336    1500    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0026   58336    1560    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0027   58336    1620    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0028   58336    1680    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0029   58336    1740    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0030   58336    1800    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0031   58336    1860    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0032   58336    1920    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0033   58336    1980    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0034   58336    2040    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0035   58336    2100    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0036   58336    2160    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0037   58336    2220    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0038   58336    2280    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0039   58336    2340    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0040   58336    2400    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0041   58336    2460    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0042   58336    2520    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0043   58336    2580    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0044   58336    2640    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0045   58336    2700    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0046   58336    2760    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0047   58336    2820    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0048   58336    2880    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0049   58336    2940    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0050   58336    3000    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0051   58336    3060    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0052   58336    3120    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0053   58336    3180    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0054   58336    3240    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0055   58336    3300    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0056   58336    3360    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0057   58336    3420    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0058   58336    3480    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0059   58336    3540    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0100   58336    3600    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0101   58336    3660    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0102   58336    3720    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0103   58336    3780    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0104   58336    3840    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0105   58336    3900    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0106   58336    3960    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0107   58336    4020    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0108   58336    4080    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0109   58336    4140    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0110   58336    4200    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0111   58336    4260    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0112   58336    4320    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0113   58336    4380    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0114   58336    4440    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0115   58336    4500    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0116   58336    4560    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0117   58336    4620    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0118   58336    4680    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0119   58336    4740    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0120   58336    4800    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0121   58336    4860    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0122   58336    4920    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0123   58336    4980    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0124   58336    5040    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0125   58336    5100    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0126   58336    5160    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0127   58336    5220    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0128   58336    5280    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0129   58336    5340    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0130   58336    5400    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0131   58336    5460    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0132   58336    5520    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0133   58336    5580    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0134   58336    5640    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0135   58336    5700    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0136   58336    5760    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0137   58336    5820    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0138   58336    5880    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0139   58336    5940    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0140   58336    6000    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0141   58336    6060    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0142   58336    6120    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0143   58336    6180    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0144   58336    6240    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0145   58336    6300    9    -9999.9    -9999.9    -1.00e+05
2018 08 06  0146   58336    6360    9    -9999.9    -9999.9    -1.00e+05
