:Data_list: 20190306_ace_swepam_1m.txt
:Created: 2019 Mar 07 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2019 03 06  0000   58548       0    0        3.4      368.8     1.16e+05
2019 03 06  0001   58548      60    0        3.6      369.3     1.14e+05
2019 03 06  0002   58548     120    0        3.5      375.1     1.25e+05
2019 03 06  0003   58548     180    0        3.6      375.5     1.23e+05
2019 03 06  0004   58548     240    0        4.1      378.4     1.05e+05
2019 03 06  0005   58548     300    1        3.6      367.2     1.06e+05
2019 03 06  0006   58548     360    0        2.9      361.5     6.51e+04
2019 03 06  0007   58548     420    1        2.6      360.6     5.37e+04
2019 03 06  0008   58548     480    1        2.5      362.0     6.56e+04
2019 03 06  0009   58548     540    0        2.7      361.1     6.83e+04
2019 03 06  0010   58548     600    0        3.5      368.5     1.00e+05
2019 03 06  0011   58548     660    0        3.1      370.0     1.30e+05
2019 03 06  0012   58548     720    1        3.1      367.9     1.25e+05
2019 03 06  0013   58548     780    1        3.3      364.2     7.76e+04
2019 03 06  0014   58548     840    0        3.1      362.3     5.84e+04
2019 03 06  0015   58548     900    0        3.5      363.4     7.86e+04
2019 03 06  0016   58548     960    0        3.6      365.8     9.48e+04
2019 03 06  0017   58548    1020    1        3.1      368.9     1.17e+05
2019 03 06  0018   58548    1080    0        3.5      367.5     1.02e+05
2019 03 06  0019   58548    1140    1        3.3      368.3     1.15e+05
2019 03 06  0020   58548    1200    1        2.7      364.1     7.21e+04
2019 03 06  0021   58548    1260    0        3.6      373.8     1.24e+05
2019 03 06  0022   58548    1320    0        3.6      369.8     1.29e+05
2019 03 06  0023   58548    1380    0        3.5      368.0     1.28e+05
2019 03 06  0024   58548    1440    1        3.7      369.4     1.28e+05
2019 03 06  0025   58548    1500    0        3.6      372.2     1.24e+05
2019 03 06  0026   58548    1560    1        3.2      372.0     1.31e+05
2019 03 06  0027   58548    1620    0        3.3      371.2     1.30e+05
2019 03 06  0028   58548    1680    0        3.5      372.0     1.33e+05
2019 03 06  0029   58548    1740    0        3.3      370.5     1.32e+05
2019 03 06  0030   58548    1800    0        3.2      367.7     1.21e+05
2019 03 06  0031   58548    1860    0        3.3      363.8     9.39e+04
2019 03 06  0032   58548    1920    1        2.9      360.4     7.89e+04
2019 03 06  0033   58548    1980    0        2.9      363.0     9.93e+04
2019 03 06  0034   58548    2040    1        2.6      359.2     6.28e+04
2019 03 06  0035   58548    2100    0        2.7      368.1     1.19e+05
2019 03 06  0036   58548    2160    0        2.7      367.6     1.15e+05
2019 03 06  0037   58548    2220    0        2.9      359.4     5.25e+04
2019 03 06  0038   58548    2280    1        2.7      361.6     5.36e+04
2019 03 06  0039   58548    2340    1        3.0      357.8     4.23e+04
