:Data_list: 20200506_ace_epam_5m.txt
:Created: 2020 May 06 0901 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Differential Flux particles/cm2-s-ster-MeV
# Units: Anisotropy Index 0.0 - 2.0
# Status(S): 0 = nominal, 4,6,7,8 = bad data, unable to process, 9 = no data
# Missing data values: -1.00e+05, index = -1.00
# Source: ACE Satellite - Electron, Proton, and Alpha Monitor
#
#
#                      5-minute averaged Real-time Differential Electron and Proton Flux 
# 
#                Modified Seconds ---------------------------- Differential Flux ---------------------------
# UT Date   Time  Julian  of the  ----- Electron -----   ------------------- Protons keV -------------------   Anis.
# YR MO DA  HHMM    Day    Day    S    38-53   175-315   S    47-68   115-195   310-580   795-1193 1060-1900   Index
#-------------------------------------------------------------------------------------------------------------------
2020 05 06  0000   58975       0  0  4.25e+02  2.26e-23  0  2.13e+03 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2020 05 06  0005   58975     300  0  4.21e+02  4.52e-23  0  2.08e+03 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2020 05 06  0010   58975     600  0  3.37e+02  2.14e+01  0  1.98e+03 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2020 05 06  0015   58975     900  0  7.15e+02  1.62e-23  0  2.12e+03 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2020 05 06  0020   58975    1200  0  3.82e+02  2.26e-23  0  2.08e+03 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2020 05 06  0025   58975    1500  0  3.69e+02  1.31e-23  0  1.98e+03 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2020 05 06  0030   58975    1800  0  7.31e+02  2.26e-23  0  2.09e+03 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2020 05 06  0035   58975    2100  0  4.41e+02  2.49e-23  0  2.13e+03 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2020 05 06  0040   58975    2400  0  3.88e+02  2.37e-23  0  2.05e+03 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2020 05 06  0045   58975    2700  0  4.43e+02 -1.00e+05  0  1.93e+03 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2020 05 06  0050   58975    3000  0  5.55e+02  3.84e-23  0  2.20e+03 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2020 05 06  0055   58975    3300  0  5.06e+02  1.82e+01  0  2.14e+03 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2020 05 06  0100   58975    3600  0  2.78e+02  3.69e-23  0  1.90e+03 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2020 05 06  0105   58975    3900  0  4.94e+02  2.26e-23  0  2.10e+03 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2020 05 06  0110   58975    4200  0  3.12e+02  1.72e-23  0  2.06e+03 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
