:Data_list: 20200724_ace_swepam_1m.txt
:Created: 2020 Jul 24 0901 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2020 07 24  0000   59054       0    1        3.6      299.0     1.52e+04
2020 07 24  0001   59054      60    1        3.4      299.4     1.45e+04
2020 07 24  0002   59054     120    0        3.9      298.6     1.88e+04
2020 07 24  0003   59054     180    0        3.7      299.0     1.85e+04
2020 07 24  0004   59054     240    0        3.7      298.3     1.62e+04
2020 07 24  0005   59054     300    0        3.7      297.3     1.45e+04
2020 07 24  0006   59054     360    0        3.5      297.2     1.60e+04
2020 07 24  0007   59054     420    0        3.6      296.7     1.71e+04
2020 07 24  0008   59054     480    0        3.0      299.0     1.68e+04
2020 07 24  0009   59054     540    0        3.2      299.3     1.37e+04
2020 07 24  0010   59054     600    0        3.2      299.4     1.60e+04
2020 07 24  0011   59054     660    0        3.4      298.2     1.36e+04
2020 07 24  0012   59054     720    0        3.1      298.5     1.82e+04
2020 07 24  0013   59054     780    0        3.6      297.8     1.76e+04
2020 07 24  0014   59054     840    0        3.5      298.2     1.70e+04
2020 07 24  0015   59054     900    1        3.3      298.0     1.51e+04
2020 07 24  0016   59054     960    0        3.5      297.9     1.61e+04
2020 07 24  0017   59054    1020    0        3.1      297.9     1.75e+04
2020 07 24  0018   59054    1080    0        3.0      298.3     1.61e+04
2020 07 24  0019   59054    1140    0        3.0      298.3     1.48e+04
2020 07 24  0020   59054    1200    0        3.2      297.7     1.58e+04
2020 07 24  0021   59054    1260    0        3.3      297.1     1.71e+04
2020 07 24  0022   59054    1320    0        3.3      297.2     1.91e+04
2020 07 24  0023   59054    1380    0        3.4      297.1     2.03e+04
2020 07 24  0024   59054    1440    0        3.3      295.8     1.39e+04
2020 07 24  0025   59054    1500    0        2.9      298.2     2.09e+04
2020 07 24  0026   59054    1560    1        3.2      295.9     1.69e+04
2020 07 24  0027   59054    1620    1        3.3      297.9     1.81e+04
2020 07 24  0028   59054    1680    1        3.4      298.3     1.84e+04
