:Data_list: 20210327_ace_mag_1m.txt
:Created: 2021 Mar 27 0901 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2021 03 27  0000   59300       0    0     5.0     1.5     2.4     5.7    24.9    16.9
2021 03 27  0001   59300      60    0     5.1     1.3     2.3     5.8    23.6    14.7
2021 03 27  0002   59300     120    0     5.0     1.6     2.1     5.7    22.2    17.7
2021 03 27  0003   59300     180    0     5.0     1.5     2.2     5.7    22.9    16.7
2021 03 27  0004   59300     240    0     5.1     1.3     2.4     5.8    24.3    14.3
2021 03 27  0005   59300     300    0     5.3     0.9     2.1     5.8    20.8     9.9
2021 03 27  0006   59300     360    0     5.3     1.1     2.1     5.8    21.5    12.0
2021 03 27  0007   59300     420    0     5.3     1.0     2.1     5.8    21.0    10.6
2021 03 27  0008   59300     480    0     5.2     1.0     2.4     5.8    24.1    11.2
2021 03 27  0009   59300     540    0     5.2     0.9     2.5     5.8    25.4    10.1
2021 03 27  0010   59300     600    0     5.1     1.0     2.6     5.8    26.9    10.7
2021 03 27  0011   59300     660    0     5.1     0.8     2.7     5.8    27.6     8.6
2021 03 27  0012   59300     720    0     5.2     0.8     2.6     5.9    26.7     8.3
2021 03 27  0013   59300     780    0     5.2     1.1     2.4     5.8    24.7    12.1
2021 03 27  0014   59300     840    0     5.3     0.8     2.4     5.8    24.6     8.4
2021 03 27  0015   59300     900    0     5.3     0.6     2.3     5.9    23.6     6.8
2021 03 27  0016   59300     960    0     5.3     0.6     2.3     5.8    23.2     6.4
2021 03 27  0017   59300    1020    0     5.4     0.2     2.0     5.8    20.6     2.6
2021 03 27  0018   59300    1080    0     5.5     0.1     2.1     5.9    20.7     1.3
2021 03 27  0019   59300    1140    0     5.3     0.5     2.4     5.9    23.9     5.7
2021 03 27  0020   59300    1200    0     5.4     0.3     2.3     5.9    23.1     2.9
2021 03 27  0021   59300    1260    0     5.5     0.0     2.3     6.0    22.6     0.4
2021 03 27  0022   59300    1320    0     5.5     0.1     2.3     5.9    22.6     1.4
2021 03 27  0023   59300    1380    0     5.3     0.8     2.5     5.9    24.8     8.1
2021 03 27  0024   59300    1440    0     5.3     0.7     2.5     5.9    24.6     7.4
2021 03 27  0025   59300    1500    0     5.2     0.9     2.5     5.9    25.7     9.8
2021 03 27  0026   59300    1560    0     5.4     0.2     2.3     5.9    22.8     2.1
2021 03 27  0027   59300    1620    0     5.4     0.5     2.4     5.9    23.5     5.3
2021 03 27  0028   59300    1680    0     5.2     1.2     2.6     5.9    25.5    13.0
2021 03 27  0029   59300    1740    0     5.2     1.2     2.6     5.9    26.3    12.7
2021 03 27  0030   59300    1800    0     5.1     1.6     2.6     6.0    26.3    17.1
2021 03 27  0031   59300    1860    0     4.9     2.0     2.7     6.0    26.7    22.5
2021 03 27  0032   59300    1920    0     4.9     1.7     2.9     5.9    28.9    18.8
2021 03 27  0033   59300    1980    0     5.0     1.3     2.8     5.9    28.8    14.9
2021 03 27  0034   59300    2040    0     3.9     2.2     2.5     5.1    29.6    29.4
2021 03 27  0035   59300    2100    0     5.0     0.8     3.0     5.9    30.3     9.5
2021 03 27  0036   59300    2160    0     4.9     1.6     2.9     5.9    29.8    18.1
2021 03 27  0037   59300    2220    0     4.8     2.0     2.8     5.9    27.7    22.8
2021 03 27  0038   59300    2280    0     4.8     1.9     2.9     5.9    29.4    21.3
2021 03 27  0039   59300    2340    0     5.0     1.5     2.8     5.9    28.7    16.5
2021 03 27  0040   59300    2400    0     5.0     1.3     2.8     5.9    28.6    15.0
2021 03 27  0041   59300    2460    0     5.0     1.5     2.8     5.9    28.6    16.7
2021 03 27  0042   59300    2520    0     5.0     1.5     2.8     5.9    28.4    16.5
2021 03 27  0043   59300    2580    0     5.0     1.5     2.8     5.9    28.2    16.1
2021 03 27  0044   59300    2640    0     5.1     1.2     2.8     5.9    28.4    13.6
2021 03 27  0045   59300    2700    0     5.1     1.3     2.8     5.9    28.2    14.3
2021 03 27  0046   59300    2760    0     5.1     1.1     2.9     6.0    28.9    11.6
2021 03 27  0047   59300    2820    0     5.2     0.8     2.9     6.0    28.7     8.8
2021 03 27  0048   59300    2880    0     5.2     0.8     2.9     6.0    28.8     8.6
2021 03 27  0049   59300    2940    0     5.2     0.4     3.0     6.0    29.7     4.9
2021 03 27  0050   59300    3000    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 03 27  0051   59300    3060    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 03 27  0052   59300    3120    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 03 27  0053   59300    3180    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 03 27  0054   59300    3240    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 03 27  0055   59300    3300    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 03 27  0056   59300    3360    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 03 27  0057   59300    3420    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 03 27  0058   59300    3480    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 03 27  0059   59300    3540    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 03 27  0100   59300    3600    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 03 27  0101   59300    3660    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 03 27  0102   59300    3720    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 03 27  0103   59300    3780    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
