:Data_list: 20211107_ace_swepam_1m.txt
:Created: 2021 Nov 08 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2021 11 07  0000   59525       0    0        0.9      519.1     3.14e+04
2021 11 07  0001   59525      60    0        1.1      521.1     3.22e+04
2021 11 07  0002   59525     120    0        0.8      523.9     3.68e+04
2021 11 07  0003   59525     180    0        0.8      525.7     3.27e+04
2021 11 07  0004   59525     240    0        0.8      525.1     3.40e+04
2021 11 07  0005   59525     300    0        0.8      524.5     3.33e+04
2021 11 07  0006   59525     360    0        0.8      523.5     3.43e+04
2021 11 07  0007   59525     420    0        1.0      520.5     3.03e+04
2021 11 07  0008   59525     480    0        1.2      519.3     2.72e+04
2021 11 07  0009   59525     540    0        1.3      519.9     2.79e+04
2021 11 07  0010   59525     600    0        1.0      521.2     2.82e+04
2021 11 07  0011   59525     660    0        1.0      520.2     2.83e+04
2021 11 07  0012   59525     720    0        1.0      518.2     2.96e+04
2021 11 07  0013   59525     780    0        0.8      519.4     3.38e+04
2021 11 07  0014   59525     840    0        0.7      517.2     3.71e+04
2021 11 07  0015   59525     900    0        0.8      520.5     3.52e+04
2021 11 07  0016   59525     960    0        0.6      517.1     3.32e+04
2021 11 07  0017   59525    1020    0        0.7      517.5     3.60e+04
2021 11 07  0018   59525    1080    0        0.6      517.2     3.52e+04
2021 11 07  0019   59525    1140    0        0.6      517.6     3.55e+04
2021 11 07  0020   59525    1200    0        0.8      516.8     3.69e+04
2021 11 07  0021   59525    1260    0        1.0      517.0     3.37e+04
2021 11 07  0022   59525    1320    0        0.9      514.9     3.60e+04
2021 11 07  0023   59525    1380    0        0.7      514.3     4.01e+04
2021 11 07  0024   59525    1440    0        0.8      512.7     3.72e+04
2021 11 07  0025   59525    1500    0        1.4      509.1     3.08e+04
2021 11 07  0026   59525    1560    0        2.1      507.0     2.46e+04
2021 11 07  0027   59525    1620    0        2.3      506.3     2.02e+04
2021 11 07  0028   59525    1680    0        1.9      505.7     2.31e+04
2021 11 07  0029   59525    1740    0        2.5      504.7     2.05e+04
2021 11 07  0030   59525    1800    0        2.4      505.1     2.38e+04
2021 11 07  0031   59525    1860    0        2.3      505.8     1.79e+04
2021 11 07  0032   59525    1920    0        2.6      516.6     4.56e+04
2021 11 07  0033   59525    1980    0        1.8      505.5     2.19e+04
2021 11 07  0034   59525    2040    0        1.9      503.0     2.50e+04
2021 11 07  0035   59525    2100    0        2.3      503.6     2.08e+04
2021 11 07  0036   59525    2160    0        1.7      505.0     2.56e+04
2021 11 07  0037   59525    2220    0        2.0      505.4     2.20e+04
2021 11 07  0038   59525    2280    0        2.3      505.4     2.25e+04
2021 11 07  0039   59525    2340    0        2.1      504.8     2.05e+04
2021 11 07  0040   59525    2400    0        1.6      503.8     2.22e+04
2021 11 07  0041   59525    2460    0        1.3      504.5     2.63e+04
2021 11 07  0042   59525    2520    0        1.4      506.0     2.60e+04
2021 11 07  0043   59525    2580    0        1.0      509.5     2.91e+04
2021 11 07  0044   59525    2640    0        0.9      510.2     3.01e+04
2021 11 07  0045   59525    2700    0        0.6      511.7     3.14e+04
2021 11 07  0046   59525    2760    0        0.7      508.4     2.18e+04
2021 11 07  0047   59525    2820    0        0.6      511.0     2.27e+04
2021 11 07  0048   59525    2880    0        1.3      506.1     1.68e+04
2021 11 07  0049   59525    2940    0        0.6      505.4     2.37e+04
2021 11 07  0050   59525    3000    0        0.5      505.5     2.12e+04
2021 11 07  0051   59525    3060    0        0.4      504.9     2.59e+04
2021 11 07  0052   59525    3120    0        0.6      505.9     2.06e+04
2021 11 07  0053   59525    3180    0        0.7      507.3     2.12e+04
2021 11 07  0054   59525    3240    0        1.1      505.6     2.37e+04
2021 11 07  0055   59525    3300    0        0.9      511.4     3.37e+04
2021 11 07  0056   59525    3360    0        0.8      515.8     4.28e+04
2021 11 07  0057   59525    3420    0        0.9      514.9     4.49e+04
2021 11 07  0058   59525    3480    9    -9999.9    -9999.9    -1.00e+05
2021 11 07  0059   59525    3540    9    -9999.9    -9999.9    -1.00e+05
2021 11 07  0100   59525    3600    9    -9999.9    -9999.9    -1.00e+05
2021 11 07  0101   59525    3660    9    -9999.9    -9999.9    -1.00e+05
2021 11 07  0102   59525    3720    9    -9999.9    -9999.9    -1.00e+05
2021 11 07  0103   59525    3780    0        1.0    -9999.9    -1.00e+05
2021 11 07  0104   59525    3840    0        1.0      527.1     5.08e+04
2021 11 07  0105   59525    3900    0        1.0      525.9     5.53e+04
2021 11 07  0106   59525    3960    0        1.0      523.9     5.02e+04
2021 11 07  0107   59525    4020    0        0.9      519.4     5.20e+04
2021 11 07  0108   59525    4080    0        0.9      518.6     5.25e+04
2021 11 07  0109   59525    4140    0        0.6      527.3     5.27e+04
2021 11 07  0110   59525    4200    0        0.4      524.5     6.92e+04
2021 11 07  0111   59525    4260    0        0.7      525.0     7.73e+04
2021 11 07  0112   59525    4320    0        0.9      529.8     6.27e+04
2021 11 07  0113   59525    4380    0        0.8      534.5     5.08e+04
2021 11 07  0114   59525    4440    0        0.8      537.5     5.07e+04
2021 11 07  0115   59525    4500    0        0.8      539.5     4.72e+04
2021 11 07  0116   59525    4560    0        0.8      541.2     6.08e+04
2021 11 07  0117   59525    4620    0        0.7      540.5     6.03e+04
2021 11 07  0118   59525    4680    0        0.6      536.7     5.86e+04
2021 11 07  0119   59525    4740    0        0.5      532.6     6.86e+04
2021 11 07  0120   59525    4800    0        0.5      539.7     7.29e+04
2021 11 07  0121   59525    4860    0        0.8      536.3     6.92e+04
2021 11 07  0122   59525    4920    0        0.7      535.6     6.63e+04
2021 11 07  0123   59525    4980    0        0.9      532.8     6.90e+04
2021 11 07  0124   59525    5040    0        1.1      531.7     6.22e+04
2021 11 07  0125   59525    5100    0        1.6      529.6     5.66e+04
2021 11 07  0126   59525    5160    0        1.2      528.0     5.31e+04
2021 11 07  0127   59525    5220    0        0.6      530.9     5.09e+04
2021 11 07  0128   59525    5280    0        0.5      532.9     5.25e+04
2021 11 07  0129   59525    5340    0        0.5      530.7     5.69e+04
2021 11 07  0130   59525    5400    0        0.6      528.8     5.80e+04
2021 11 07  0131   59525    5460    0        0.8      528.0     5.81e+04
2021 11 07  0132   59525    5520    0        1.0      525.0     6.41e+04
2021 11 07  0133   59525    5580    0        1.0      525.0     6.12e+04
2021 11 07  0134   59525    5640    0        0.7      517.2     4.80e+04
2021 11 07  0135   59525    5700    0        0.6      527.7     7.19e+04
2021 11 07  0136   59525    5760    0        0.6      527.7     7.85e+04
2021 11 07  0137   59525    5820    0        0.7      527.7     5.63e+04
2021 11 07  0138   59525    5880    0        0.6      531.2     6.74e+04
2021 11 07  0139   59525    5940    0        0.7      530.1     5.78e+04
2021 11 07  0140   59525    6000    0        0.6      518.8     4.15e+04
2021 11 07  0141   59525    6060    0        0.8      524.6     5.29e+04
2021 11 07  0142   59525    6120    0        0.9      529.1     6.29e+04
2021 11 07  0143   59525    6180    0        0.8      529.0     6.24e+04
2021 11 07  0144   59525    6240    0        0.9      528.0     6.44e+04
2021 11 07  0145   59525    6300    0        0.9      526.9     6.39e+04
2021 11 07  0146   59525    6360    0        0.8      524.3     6.10e+04
2021 11 07  0147   59525    6420    0        0.9      520.9     6.65e+04
2021 11 07  0148   59525    6480    0        1.0      520.8     6.85e+04
2021 11 07  0149   59525    6540    0        1.0      527.6     6.47e+04
2021 11 07  0150   59525    6600    0        0.9      527.5     6.51e+04
2021 11 07  0151   59525    6660    0        0.9      526.7     6.84e+04
2021 11 07  0152   59525    6720    0        0.9      529.3     6.16e+04
2021 11 07  0153   59525    6780    0        0.9    -9999.9    -1.00e+05
2021 11 07  0154   59525    6840    0        0.8      528.5     6.36e+04
2021 11 07  0155   59525    6900    0        0.9      525.9     6.76e+04
2021 11 07  0156   59525    6960    0        0.9      524.3     6.06e+04
2021 11 07  0157   59525    7020    0        0.9      523.8     6.26e+04
2021 11 07  0158   59525    7080    0        0.4      516.4     6.08e+04
2021 11 07  0159   59525    7140    0        0.3      521.6     6.40e+04
2021 11 07  0200   59525    7200    0        0.5      528.8     6.38e+04
2021 11 07  0201   59525    7260    0        0.6      528.8     6.28e+04
2021 11 07  0202   59525    7320    0        0.6      529.1     6.35e+04
2021 11 07  0203   59525    7380    0        0.6      529.3     5.91e+04
2021 11 07  0204   59525    7440    0        0.6      527.6     6.23e+04
2021 11 07  0205   59525    7500    0        0.7      526.2     6.06e+04
2021 11 07  0206   59525    7560    0        0.8      525.9     6.57e+04
