:Data_list: 20220819_ace_epam_5m.txt
:Created: 2022 Aug 19 0901 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Differential Flux particles/cm2-s-ster-MeV
# Units: Anisotropy Index 0.0 - 2.0
# Status(S): 0 = nominal, 4,6,7,8 = bad data, unable to process, 9 = no data
# Missing data values: -1.00e+05, index = -1.00
# Source: ACE Satellite - Electron, Proton, and Alpha Monitor
#
#
#                      5-minute averaged Real-time Differential Electron and Proton Flux 
# 
#                Modified Seconds ---------------------------- Differential Flux ---------------------------
# UT Date   Time  Julian  of the  ----- Electron -----   ------------------- Protons keV -------------------   Anis.
# YR MO DA  HHMM    Day    Day    S    38-53   175-315   S    47-68   115-195   310-580   795-1193 1060-1900   Index
#-------------------------------------------------------------------------------------------------------------------
2022 08 19  0000   59810       0 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 08 19  0005   59810     300 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 08 19  0010   59810     600 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 08 19  0015   59810     900 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 08 19  0020   59810    1200 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 08 19  0025   59810    1500 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 08 19  0030   59810    1800 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 08 19  0035   59810    2100 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 08 19  0040   59810    2400 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 08 19  0045   59810    2700  0  3.02e+03  1.62e+02  0  6.96e+04 -1.00e+05  8.75e+02  5.67e+01  1.96e+01  -1.00
2022 08 19  0050   59810    3000  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 08 19  0055   59810    3300  0  4.13e+03  1.66e+02  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 08 19  0100   59810    3600 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 08 19  0105   59810    3900  0  7.09e+03  7.17e+01  0  9.01e+03  4.30e+03  6.09e+02  1.03e+02  1.63e+01  -1.00
2022 08 19  0110   59810    4200  0  6.91e+03  7.04e+01  0  8.67e+03  4.17e+03  6.05e+02  9.72e+01  1.53e+01  -1.00
2022 08 19  0115   59810    4500  0  7.09e+03  8.03e+01  0  9.15e+03  4.47e+03  6.43e+02  1.02e+02  1.82e+01  -1.00
2022 08 19  0120   59810    4800  0  6.05e+03  5.71e+01  0  1.05e+04  4.97e+03  6.89e+02  8.65e+01  1.66e+01  -1.00
2022 08 19  0125   59810    5100  0  6.49e+03  6.86e+01  0  1.25e+04  5.47e+03  7.49e+02  1.01e+02  1.99e+01  -1.00
2022 08 19  0130   59810    5400  0  6.39e+03  6.86e+01  0  1.15e+04  5.38e+03  7.33e+02  9.98e+01  1.97e+01  -1.00
2022 08 19  0135   59810    5700  0  7.43e+03  7.28e+01  0  1.23e+04  5.77e+03  7.87e+02  1.10e+02  2.11e+01  -1.00
2022 08 19  0140   59810    6000  0  6.66e+03  7.18e+01  0  1.13e+04  5.37e+03  7.24e+02  9.83e+01  1.98e+01  -1.00
2022 08 19  0145   59810    6300  0  7.84e+03  7.34e+01  0  1.09e+04  5.10e+03  7.21e+02  1.15e+02  1.97e+01  -1.00
2022 08 19  0150   59810    6600  0  8.19e+03  8.27e+01  0  1.05e+04  4.96e+03  6.88e+02  1.21e+02  1.83e+01  -1.00
2022 08 19  0155   59810    6900  0  6.37e+03  6.51e+01  0  1.01e+04  4.75e+03  6.66e+02  9.62e+01  1.51e+01  -1.00
2022 08 19  0200   59810    7200  0  7.17e+03  6.72e+01  0  1.01e+04  4.95e+03  7.01e+02  1.06e+02  1.77e+01  -1.00
2022 08 19  0205   59810    7500  0  8.29e+03  7.89e+01  0  1.02e+04  5.00e+03  6.99e+02  1.17e+02  1.89e+01  -1.00
2022 08 19  0210   59810    7800  0  8.16e+03  7.40e+01  0  1.08e+04  5.28e+03  7.24e+02  1.14e+02  1.99e+01  -1.00
2022 08 19  0215   59810    8100  0  7.06e+03  7.84e+01  0  1.19e+04  5.71e+03  7.84e+02  1.09e+02  2.14e+01  -1.00
2022 08 19  0220   59810    8400  0  6.47e+03  6.42e+01  0  1.28e+04  6.35e+03  8.51e+02  1.02e+02  2.17e+01  -1.00
2022 08 19  0225   59810    8700  0  7.45e+03  7.24e+01  0  1.23e+04  6.04e+03  8.37e+02  1.06e+02  2.16e+01  -1.00
2022 08 19  0230   59810    9000  0  7.50e+03  6.62e+01  0  1.23e+04  5.85e+03  7.90e+02  1.10e+02  2.01e+01  -1.00
2022 08 19  0235   59810    9300  0  8.42e+03  8.32e+01  0  1.19e+04  5.83e+03  7.87e+02  1.24e+02  2.42e+01  -1.00
