:Data_list: 20230505_ace_swepam_1m.txt
:Created: 2023 May 05 0901 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2023 05 05  0000   60069       0    0        3.9      392.4     2.61e+04
2023 05 05  0001   60069      60    0        3.8      391.8     2.63e+04
2023 05 05  0002   60069     120    3    -9999.9    -9999.9    -1.00e+05
2023 05 05  0003   60069     180    0        3.8      389.6     2.40e+04
2023 05 05  0004   60069     240    0        3.7      389.5     2.50e+04
2023 05 05  0005   60069     300    0        3.1      389.5     2.81e+04
2023 05 05  0006   60069     360    0        2.7      390.0     2.83e+04
2023 05 05  0007   60069     420    0        2.9      388.6     2.71e+04
2023 05 05  0008   60069     480    0        3.7      387.1     2.51e+04
2023 05 05  0009   60069     540    0        3.7      387.9     2.62e+04
2023 05 05  0010   60069     600    0        2.9      389.4     2.60e+04
2023 05 05  0011   60069     660    0        2.9      389.6     2.85e+04
2023 05 05  0012   60069     720    0        3.1      387.9     2.46e+04
2023 05 05  0013   60069     780    0        3.4      386.3     2.57e+04
2023 05 05  0014   60069     840    0        3.7      385.2     2.64e+04
2023 05 05  0015   60069     900    0        3.3      386.1     2.64e+04
2023 05 05  0016   60069     960    0        2.8      387.1     2.65e+04
2023 05 05  0017   60069    1020    0        3.1      387.2     2.72e+04
2023 05 05  0018   60069    1080    0        3.0      387.6     2.84e+04
2023 05 05  0019   60069    1140    0        2.0      387.7     2.91e+04
2023 05 05  0020   60069    1200    0        2.1      386.7     3.02e+04
2023 05 05  0021   60069    1260    0        2.3      385.8     3.22e+04
2023 05 05  0022   60069    1320    0        2.3      385.8     2.96e+04
2023 05 05  0023   60069    1380    0        2.3      385.9     2.84e+04
2023 05 05  0024   60069    1440    0        2.1      384.7     3.06e+04
2023 05 05  0025   60069    1500    0        2.3      387.6     2.69e+04
2023 05 05  0026   60069    1560    0        3.7      388.8     2.71e+04
2023 05 05  0027   60069    1620    0        3.7      388.5     2.68e+04
2023 05 05  0028   60069    1680    0        2.9      385.9     2.60e+04
2023 05 05  0029   60069    1740    0        3.2      385.7     2.65e+04
2023 05 05  0030   60069    1800    0        3.4      385.8     2.63e+04
2023 05 05  0031   60069    1860    0        3.7      385.9     2.80e+04
2023 05 05  0032   60069    1920    0        4.1      386.1     2.75e+04
2023 05 05  0033   60069    1980    0        4.2      386.7     2.56e+04
2023 05 05  0034   60069    2040    0        4.0      387.5     2.55e+04
2023 05 05  0035   60069    2100    3    -9999.9    -9999.9    -1.00e+05
2023 05 05  0036   60069    2160    0        3.5      384.7     2.77e+04
2023 05 05  0037   60069    2220    0        3.5      385.0     2.75e+04
2023 05 05  0038   60069    2280    0        3.7      386.0     2.69e+04
2023 05 05  0039   60069    2340    0        3.8      386.8     2.78e+04
2023 05 05  0040   60069    2400    0        3.0      386.9     2.57e+04
2023 05 05  0041   60069    2460    0        2.8      385.8     2.55e+04
2023 05 05  0042   60069    2520    0        2.8      387.1     2.61e+04
2023 05 05  0043   60069    2580    0        2.0      384.2     2.77e+04
2023 05 05  0044   60069    2640    0        1.5      383.2     3.18e+04
2023 05 05  0045   60069    2700    0        1.3      382.8     3.01e+04
2023 05 05  0046   60069    2760    0        1.8      383.3     3.57e+04
2023 05 05  0047   60069    2820    0        2.1      384.8     3.65e+04
2023 05 05  0048   60069    2880    0        2.2      386.8     3.65e+04
2023 05 05  0049   60069    2940    0        2.3      387.2     3.97e+04
2023 05 05  0050   60069    3000    0        2.4      386.1     4.24e+04
2023 05 05  0051   60069    3060    0        2.5      385.7     4.17e+04
2023 05 05  0052   60069    3120    0        2.4      386.5     3.87e+04
2023 05 05  0053   60069    3180    0        1.8      389.0     4.21e+04
2023 05 05  0054   60069    3240    0        2.2      387.5     3.98e+04
2023 05 05  0055   60069    3300    0        2.0      386.9     4.65e+04
2023 05 05  0056   60069    3360    0        2.4      383.6     3.71e+04
2023 05 05  0057   60069    3420    0        2.1      384.7     3.50e+04
2023 05 05  0058   60069    3480    0        2.2      385.9     3.51e+04
2023 05 05  0059   60069    3540    0        2.2      385.7     3.56e+04
2023 05 05  0100   60069    3600    0        2.6      387.3     3.64e+04
2023 05 05  0101   60069    3660    0        2.6      387.1     3.73e+04
2023 05 05  0102   60069    3720    0        2.5      387.2     3.69e+04
2023 05 05  0103   60069    3780    0        2.5      386.9     3.66e+04
2023 05 05  0104   60069    3840    0        2.7      386.7     3.77e+04
2023 05 05  0105   60069    3900    0        2.7      386.8     3.81e+04
2023 05 05  0106   60069    3960    0        2.5      386.9     3.67e+04
2023 05 05  0107   60069    4020    0        2.5      386.9     3.52e+04
