:Data_list: 20240904_ace_swepam_1m.txt
:Created: 2024 Sep 05 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2024 09 04  0000   60557       0    0        1.1      351.8     4.83e+04
2024 09 04  0001   60557      60    1        1.1      360.3     8.25e+04
2024 09 04  0002   60557     120    0        1.2      353.9     5.94e+04
2024 09 04  0003   60557     180    0        1.2      351.5     6.40e+04
2024 09 04  0004   60557     240    0        0.9      356.1     7.79e+04
2024 09 04  0005   60557     300    1        0.9      359.4     7.43e+04
2024 09 04  0006   60557     360    1        1.1      355.5     6.39e+04
2024 09 04  0007   60557     420    1        1.1      353.1     6.90e+04
2024 09 04  0008   60557     480    1        1.0      357.5     9.25e+04
2024 09 04  0009   60557     540    0        0.8      359.0     9.53e+04
2024 09 04  0010   60557     600    0        0.6      353.9     5.77e+04
2024 09 04  0011   60557     660    0        0.6      351.3     5.95e+04
2024 09 04  0012   60557     720    1        0.6      351.5     8.03e+04
2024 09 04  0013   60557     780    1        0.7      357.7     6.79e+04
2024 09 04  0014   60557     840    1        0.7      366.2     6.14e+04
2024 09 04  0015   60557     900    0        0.6      354.4     3.53e+04
2024 09 04  0016   60557     960    1        1.2      342.2     5.68e+04
2024 09 04  0017   60557    1020    0        1.3      346.0     7.20e+04
2024 09 04  0018   60557    1080    1        1.1      347.9     6.20e+04
2024 09 04  0019   60557    1140    1        1.1      350.1     8.66e+04
2024 09 04  0020   60557    1200    1        0.9      351.0     6.76e+04
2024 09 04  0021   60557    1260    1        1.0      350.3     8.10e+04
2024 09 04  0022   60557    1320    1        1.1      349.7     8.07e+04
2024 09 04  0023   60557    1380    1        1.0      349.7     6.69e+04
2024 09 04  0024   60557    1440    1        0.9      349.0     7.44e+04
2024 09 04  0025   60557    1500    1        0.8      347.3     7.27e+04
2024 09 04  0026   60557    1560    1        0.9      345.5     6.61e+04
2024 09 04  0027   60557    1620    1        0.9      344.6     5.68e+04
2024 09 04  0028   60557    1680    1        0.9      346.1     7.32e+04
2024 09 04  0029   60557    1740    1        0.9    -9999.9    -1.00e+05
2024 09 04  0030   60557    1800    1        0.9      349.8     5.29e+04
2024 09 04  0031   60557    1860    0        0.8      352.5     5.27e+04
2024 09 04  0032   60557    1920    0        0.8      352.0     5.59e+04
2024 09 04  0033   60557    1980    1        1.1      353.1     9.23e+04
2024 09 04  0034   60557    2040    0        0.9      354.4     6.45e+04
2024 09 04  0035   60557    2100    0        0.8      349.3     3.74e+04
2024 09 04  0036   60557    2160    1        0.9      349.2     4.20e+04
2024 09 04  0037   60557    2220    1        0.9      349.0     6.62e+04
2024 09 04  0038   60557    2280    1        0.9      348.4     6.76e+04
2024 09 04  0039   60557    2340    1        0.9      348.7     6.12e+04
2024 09 04  0040   60557    2400    1        0.9      347.3     5.59e+04
2024 09 04  0041   60557    2460    0        0.9      347.1     5.61e+04
2024 09 04  0042   60557    2520    1        0.9      351.4     8.62e+04
2024 09 04  0043   60557    2580    1        0.9      349.4     6.65e+04
2024 09 04  0044   60557    2640    1        0.8      351.9     6.86e+04
2024 09 04  0045   60557    2700    1        0.8      354.9     7.60e+04
2024 09 04  0046   60557    2760    0        0.7      355.3     8.13e+04
2024 09 04  0047   60557    2820    0        0.7      338.1     3.25e+04
2024 09 04  0048   60557    2880    1        1.6      337.9     4.18e+04
2024 09 04  0049   60557    2940    1        1.2      338.6     4.76e+04
2024 09 04  0050   60557    3000    0        1.3      339.2     4.84e+04
2024 09 04  0051   60557    3060    0        1.3      340.7     3.16e+04
2024 09 04  0052   60557    3120    1        1.1      342.5     5.54e+04
2024 09 04  0053   60557    3180    1        0.8      346.7     6.28e+04
2024 09 04  0054   60557    3240    1        1.0      344.1     5.42e+04
2024 09 04  0055   60557    3300    0        1.0      342.3     4.53e+04
2024 09 04  0056   60557    3360    0        1.0      342.4     4.50e+04
2024 09 04  0057   60557    3420    1        1.3      339.8     6.64e+04
2024 09 04  0058   60557    3480    1        1.0      343.9     7.61e+04
2024 09 04  0059   60557    3540    1        1.0      339.4     5.29e+04
2024 09 04  0100   60557    3600    1        1.0      341.7     5.27e+04
2024 09 04  0101   60557    3660    1        1.2      338.8     3.86e+04
2024 09 04  0102   60557    3720    9    -9999.9    -9999.9    -1.00e+05
2024 09 04  0103   60557    3780    1        1.3      338.0     5.20e+04
2024 09 04  0104   60557    3840    0        1.1      343.8     6.95e+04
2024 09 04  0105   60557    3900    1        1.0      351.8     8.05e+04
2024 09 04  0106   60557    3960    0        1.0      347.0     6.34e+04
2024 09 04  0107   60557    4020    0        0.9      345.3     3.48e+04
2024 09 04  0108   60557    4080    1        0.8      350.4     5.15e+04
2024 09 04  0109   60557    4140    1        0.8      351.3     6.42e+04
2024 09 04  0110   60557    4200    1        0.8      350.8     5.45e+04
2024 09 04  0111   60557    4260    1        0.8      344.9     3.81e+04
2024 09 04  0112   60557    4320    1        0.8      339.5     3.47e+04
2024 09 04  0113   60557    4380    1        0.8      346.1     5.57e+04
2024 09 04  0114   60557    4440    1        0.8      348.7     7.21e+04
2024 09 04  0115   60557    4500    1        0.8      344.5     5.36e+04
2024 09 04  0116   60557    4560    1        0.8      346.1     5.99e+04
2024 09 04  0117   60557    4620    1        0.7      348.6     4.96e+04
2024 09 04  0118   60557    4680    1        0.7      359.8     8.61e+04
2024 09 04  0119   60557    4740    1        0.4      344.8     2.70e+04
2024 09 04  0120   60557    4800    0        0.5      351.6     3.66e+04
2024 09 04  0121   60557    4860    0        0.6      354.2     3.74e+04
2024 09 04  0122   60557    4920    1        0.6      348.9     5.12e+04
2024 09 04  0123   60557    4980    0        0.6      348.2     4.17e+04
2024 09 04  0124   60557    5040    0        0.8      346.7     5.27e+04
2024 09 04  0125   60557    5100    0        1.3      345.7     6.27e+04
2024 09 04  0126   60557    5160    0        1.5      345.2     6.02e+04
2024 09 04  0127   60557    5220    0        1.8      340.7     4.02e+04
2024 09 04  0128   60557    5280    0        1.8      340.5     4.42e+04
2024 09 04  0129   60557    5340    1        1.5      350.6     8.42e+04
