:Data_list: ace_epam_5m.txt
:Created: 2024 Sep 27 0906 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Differential Flux particles/cm2-s-ster-MeV
# Units: Anisotropy Index 0.0 - 2.0
# Status(S): 0 = nominal, 4,6,7,8 = bad data, unable to process, 9 = no data
# Missing data values: -1.00e+05, index = -1.00
# Source: ACE Satellite - Electron, Proton, and Alpha Monitor
#
#
#                      5-minute averaged Real-time Differential Electron and Proton Flux 
# 
#                Modified Seconds ---------------------------- Differential Flux ---------------------------
# UT Date   Time  Julian  of the  ----- Electron -----   ------------------- Protons keV -------------------   Anis.
# YR MO DA  HHMM    Day    Day    S    38-53   175-315   S    47-68   115-195   310-580   795-1193 1060-1900   Index
#-------------------------------------------------------------------------------------------------------------------
2024 09 27  0705   60580   25500  0  5.03e+03  6.11e+01  0  2.02e+04  4.22e+03  6.24e+02  2.08e+02  5.22e+01  -1.00
2024 09 27  0710   60580   25800  0  5.29e+03  6.21e+01  0  1.97e+04  4.16e+03  6.31e+02  2.12e+02  5.72e+01  -1.00
2024 09 27  0715   60580   26100  0  5.30e+03  6.05e+01  0  2.23e+04  4.96e+03  7.44e+02  2.28e+02  5.85e+01  -1.00
2024 09 27  0720   60580   26400  0  5.25e+03  5.82e+01  0  1.97e+04  4.15e+03  6.37e+02  2.10e+02  5.54e+01  -1.00
2024 09 27  0725   60580   26700  0  5.31e+03  5.30e+01  0  2.09e+04  4.50e+03  6.75e+02  2.09e+02  5.85e+01  -1.00
2024 09 27  0730   60580   27000  0  4.91e+03  5.95e+01  0  1.91e+04  3.94e+03  5.89e+02  1.89e+02  4.95e+01  -1.00
2024 09 27  0735   60580   27300  0  5.21e+03  5.13e+01  0  1.87e+04  3.83e+03  5.40e+02  1.81e+02  4.80e+01  -1.00
2024 09 27  0740   60580   27600  0  5.13e+03  5.78e+01  0  1.90e+04  3.91e+03  5.82e+02  1.86e+02  4.93e+01  -1.00
2024 09 27  0745   60580   27900  0  5.09e+03  5.66e+01  0  1.91e+04  3.88e+03  5.83e+02  1.90e+02  4.87e+01  -1.00
2024 09 27  0750   60580   28200  0  5.43e+03  5.51e+01  0  1.91e+04  3.84e+03  5.60e+02  2.02e+02  4.74e+01  -1.00
2024 09 27  0755   60580   28500  0  5.01e+03  6.71e+01  0  1.89e+04  3.77e+03  5.58e+02  1.72e+02  4.76e+01  -1.00
2024 09 27  0800   60580   28800  0  4.94e+03  5.67e+01  0  1.91e+04  3.79e+03  5.49e+02  1.74e+02  4.55e+01  -1.00
2024 09 27  0805   60580   29100  0  4.73e+03  6.35e+01  0  1.86e+04  3.73e+03  5.37e+02  1.68e+02  4.45e+01  -1.00
2024 09 27  0810   60580   29400  0  5.25e+03  6.11e+01  0  1.88e+04  3.78e+03  5.43e+02  1.70e+02  4.62e+01  -1.00
2024 09 27  0815   60580   29700  0  4.99e+03  6.03e+01  0  1.87e+04  3.68e+03  5.36e+02  1.71e+02  4.58e+01  -1.00
2024 09 27  0820   60580   30000  0  5.00e+03  5.76e+01  0  1.86e+04  3.63e+03  5.35e+02  1.69e+02  4.70e+01  -1.00
2024 09 27  0825   60580   30300  0  5.13e+03  5.85e+01  0  1.84e+04  3.60e+03  5.24e+02  1.69e+02  4.46e+01  -1.00
2024 09 27  0830   60580   30600  0  4.85e+03  6.28e+01  0  1.83e+04  3.57e+03  5.15e+02  1.67e+02  4.35e+01  -1.00
2024 09 27  0835   60580   30900 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2024 09 27  0840   60580   31200 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2024 09 27  0845   60580   31500 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2024 09 27  0850   60580   31800 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2024 09 27  0855   60580   32100 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2024 09 27  0900   60580   32400 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
