:Data_list: ace_sis_5m.txt
:Created: 2024 Sep 20 0906 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2024 09 20  0705    60573   25500      0    3.97e+00    0    8.17e-01
2024 09 20  0710    60573   25800      0    3.97e+00    0    7.84e-01
2024 09 20  0715    60573   26100      0    4.34e+00    0    7.84e-01
2024 09 20  0720    60573   26400      0    4.68e+00    0    8.97e-01
2024 09 20  0725    60573   26700      0    4.17e+00    0    8.56e-01
2024 09 20  0730    60573   27000      0    4.10e+00    0    8.49e-01
2024 09 20  0735    60573   27300      0    4.33e+00    0    8.80e-01
2024 09 20  0740    60573   27600      0    3.77e+00    0    7.42e-01
2024 09 20  0745    60573   27900      0    3.00e+00    0    6.48e-01
2024 09 20  0750    60573   28200      0    3.12e+00    0    6.21e-01
2024 09 20  0755    60573   28500      9   -1.00e+05    9   -1.00e+05
2024 09 20  0800    60573   28800      0    4.46e+00    0    7.71e-01
2024 09 20  0805    60573   29100      9   -1.00e+05    9   -1.00e+05
2024 09 20  0810    60573   29400      0    3.86e+00    0    7.12e-01
2024 09 20  0815    60573   29700      0    3.46e+00    0    5.53e-01
2024 09 20  0820    60573   30000      9   -1.00e+05    9   -1.00e+05
2024 09 20  0825    60573   30300      0    3.28e+00    0    7.01e-01
2024 09 20  0830    60573   30600      0    3.97e+00    0    7.01e-01
2024 09 20  0835    60573   30900      9   -1.00e+05    9   -1.00e+05
2024 09 20  0840    60573   31200      9   -1.00e+05    9   -1.00e+05
2024 09 20  0845    60573   31500      9   -1.00e+05    9   -1.00e+05
2024 09 20  0850    60573   31800      0    3.00e+00    0    4.70e-01
2024 09 20  0855    60573   32100      0    3.00e+00    0    4.70e-01
2024 09 20  0900    60573   32400      9   -1.00e+05    9   -1.00e+05
