:Product: 200810_ace_swepam_1h.txt
:Issued: 2008 Nov 01 0510 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   Hourly Averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2008 10 01  0000   54740       0    0        3.4      481.8     1.97e+05
2008 10 01  0100   54740    3600    0        3.6      474.8     2.29e+05
2008 10 01  0200   54740    7200    0        3.1      466.9     2.11e+05
2008 10 01  0300   54740   10800    0        3.3      470.0     2.17e+05
2008 10 01  0400   54740   14400    0        2.1      490.7     2.05e+05
2008 10 01  0500   54740   18000    0        3.4      498.1     1.87e+05
2008 10 01  0600   54740   21600    0        4.2      478.6     2.12e+05
2008 10 01  0700   54740   25200    0        3.0      484.1     2.05e+05
2008 10 01  0800   54740   28800    0        3.2      482.2     1.61e+05
2008 10 01  0900   54740   32400    0        2.8      461.5     1.84e+05
2008 10 01  1000   54740   36000    0        4.0      463.3     1.58e+05
2008 10 01  1100   54740   39600    0        3.9      484.7     1.78e+05
2008 10 01  1200   54740   43200    0        2.3      498.7     1.78e+05
2008 10 01  1300   54740   46800    0        3.8      505.3     1.90e+05
2008 10 01  1400   54740   50400    0        2.5      519.7     2.24e+05
2008 10 01  1500   54740   54000    0        2.2      544.8     3.92e+05
2008 10 01  1600   54740   57600    0        1.9      574.3     3.13e+05
2008 10 01  1700   54740   61200    0        1.1      570.1     2.91e+05
2008 10 01  1800   54740   64800    0        1.4      568.7     2.91e+05
2008 10 01  1900   54740   68400    0        1.4      584.0     2.67e+05
2008 10 01  2000   54740   72000    0        1.9      607.8     2.94e+05
2008 10 01  2100   54740   75600    0        1.9      617.3     2.57e+05
2008 10 01  2200   54740   79200    0        1.1      590.0     2.20e+05
2008 10 01  2300   54740   82800    0        0.9      572.4     1.48e+05
2008 10 02  0000   54741       0    0        1.1      541.4     1.32e+05
