:Product: 200905_ace_sis_1h.txt
:Issued: 2009 Jun 01 0510 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# Hourly Averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the     ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day      S    > 10 MeV    S    > 30 MeV
#-------------------------------------------------------------------
2009 05 01  0000   54952       0      9   -1.00e+05    9   -1.00e+05
2009 05 01  0100   54952    3600      9   -1.00e+05    9   -1.00e+05
2009 05 01  0200   54952    7200      9   -1.00e+05    9   -1.00e+05
2009 05 01  0300   54952   10800      9   -1.00e+05    9   -1.00e+05
2009 05 01  0400   54952   14400      9   -1.00e+05    9   -1.00e+05
2009 05 01  0500   54952   18000      0    2.29e+00    0    1.60e+00
2009 05 01  0600   54952   21600      0    2.29e+00    0    1.60e+00
2009 05 01  0700   54952   25200      0    2.30e+00    0    1.60e+00
2009 05 01  0800   54952   28800      0    2.32e+00    0    1.61e+00
2009 05 01  0900   54952   32400      0    2.34e+00    0    1.63e+00
2009 05 01  1000   54952   36000      0    2.33e+00    0    1.63e+00
2009 05 01  1100   54952   39600      0    2.36e+00    0    1.65e+00
2009 05 01  1200   54952   43200      0    2.35e+00    0    1.64e+00
2009 05 01  1300   54952   46800      0    2.36e+00    0    1.65e+00
2009 05 01  1400   54952   50400      0    2.39e+00    0    1.68e+00
2009 05 01  1500   54952   54000      0    2.36e+00    0    1.65e+00
2009 05 01  1600   54952   57600      0    2.36e+00    0    1.65e+00
2009 05 01  1700   54952   61200      0    2.35e+00    0    1.64e+00
2009 05 01  1800   54952   64800      0    2.33e+00    0    1.63e+00
2009 05 01  1900   54952   68400      0    2.36e+00    0    1.65e+00
2009 05 01  2000   54952   72000      0    2.34e+00    0    1.63e+00
2009 05 01  2100   54952   75600      0    2.35e+00    0    1.64e+00
2009 05 01  2200   54952   79200      0    2.37e+00    0    1.66e+00
2009 05 01  2300   54952   82800      0    2.33e+00    0    1.62e+00
2009 05 02  0000   54953       0      0    2.30e+00    0    1.60e+00
2009 05 02  0100   54953    3600      0    2.44e+00    0    1.74e+00
2009 05 02  0200   54953    7200      9   -1.00e+05    9   -1.00e+05
2009 05 02  0300   54953   10800      9   -1.00e+05    9   -1.00e+05
2009 05 02  0400   54953   14400      9   -1.00e+05    9   -1.00e+05
2009 05 02  0500   54953   18000      0    2.30e+00    0    1.61e+00
2009 05 02  0600   54953   21600      0    2.33e+00    0    1.63e+00
2009 05 02  0700   54953   25200      0    2.36e+00    0    1.64e+00
2009 05 02  0800   54953   28800      0    2.35e+00    0    1.64e+00
2009 05 02  0900   54953   32400      0    2.33e+00    0    1.63e+00
2009 05 02  1000   54953   36000      0    2.31e+00    0    1.61e+00
2009 05 02  1100   54953   39600      0    2.29e+00    0    1.60e+00
2009 05 02  1200   54953   43200      0    2.35e+00    0    1.64e+00
2009 05 02  1300   54953   46800      0    2.36e+00    0    1.64e+00
2009 05 02  1400   54953   50400      0    2.34e+00    0    1.63e+00
2009 05 02  1500   54953   54000      0    2.34e+00    0    1.63e+00
2009 05 02  1600   54953   57600      0    2.30e+00    0    1.60e+00
2009 05 02  1700   54953   61200      0    2.31e+00    0    1.62e+00
2009 05 02  1800   54953   64800      0    2.30e+00    0    1.61e+00
2009 05 02  1900   54953   68400      0    2.30e+00    0    1.61e+00
2009 05 02  2000   54953   72000      0    2.32e+00    0    1.62e+00
2009 05 02  2100   54953   75600      0    2.30e+00    0    1.61e+00
2009 05 02  2200   54953   79200      0    2.30e+00    0    1.60e+00
2009 05 02  2300   54953   82800      0    2.32e+00    0    1.62e+00
2009 05 03  0000   54954       0      0    2.32e+00    0    1.61e+00
2009 05 03  0100   54954    3600      9   -1.00e+05    9   -1.00e+05
2009 05 03  0200   54954    7200      9   -1.00e+05    9   -1.00e+05
2009 05 03  0300   54954   10800      9   -1.00e+05    9   -1.00e+05
2009 05 03  0400   54954   14400      9   -1.00e+05    9   -1.00e+05
2009 05 03  0500   54954   18000      0    2.30e+00    0    1.60e+00
2009 05 03  0600   54954   21600      0    2.32e+00    0    1.61e+00
2009 05 03  0700   54954   25200      0    2.31e+00    0    1.61e+00
2009 05 03  0800   54954   28800      0    2.32e+00    0    1.62e+00
2009 05 03  0900   54954   32400      0    2.32e+00    0    1.61e+00
2009 05 03  1000   54954   36000      0    2.34e+00    0    1.63e+00
2009 05 03  1100   54954   39600      0    2.30e+00    0    1.61e+00
2009 05 03  1200   54954   43200      0    2.32e+00    0    1.62e+00
2009 05 03  1300   54954   46800      0    2.30e+00    0    1.60e+00
2009 05 03  1400   54954   50400      0    2.32e+00    0    1.61e+00
2009 05 03  1500   54954   54000      0    2.32e+00    0    1.62e+00
2009 05 03  1600   54954   57600      0    2.33e+00    0    1.62e+00
2009 05 03  1700   54954   61200      0    2.32e+00    0    1.62e+00
2009 05 03  1800   54954   64800      0    2.35e+00    0    1.64e+00
2009 05 03  1900   54954   68400      0    2.32e+00    0    1.62e+00
2009 05 03  2000   54954   72000      0    2.32e+00    0    1.62e+00
2009 05 03  2100   54954   75600      0    2.32e+00    0    1.62e+00
2009 05 03  2200   54954   79200      0    2.31e+00    0    1.61e+00
2009 05 03  2300   54954   82800      0    2.32e+00    0    1.62e+00
2009 05 04  0000   54955       0      0    2.32e+00    0    1.62e+00
2009 05 04  0100   54955    3600      9   -1.00e+05    9   -1.00e+05
2009 05 04  0200   54955    7200      9   -1.00e+05    9   -1.00e+05
2009 05 04  0300   54955   10800      9   -1.00e+05    9   -1.00e+05
2009 05 04  0400   54955   14400      9   -1.00e+05    9   -1.00e+05
2009 05 04  0500   54955   18000      0    2.30e+00    0    1.60e+00
2009 05 04  0600   54955   21600      0    2.30e+00    0    1.61e+00
2009 05 04  0700   54955   25200      0    2.27e+00    0    1.59e+00
2009 05 04  0800   54955   28800      0    2.28e+00    0    1.59e+00
2009 05 04  0900   54955   32400      0    2.29e+00    0    1.59e+00
2009 05 04  1000   54955   36000      0    2.29e+00    0    1.60e+00
2009 05 04  1100   54955   39600      0    2.30e+00    0    1.60e+00
2009 05 04  1200   54955   43200      0    2.30e+00    0    1.60e+00
2009 05 04  1300   54955   46800      0    2.30e+00    0    1.60e+00
2009 05 04  1400   54955   50400      0    2.31e+00    0    1.60e+00
2009 05 04  1500   54955   54000      0    2.25e+00    0    1.57e+00
2009 05 04  1600   54955   57600      0    2.24e+00    0    1.57e+00
2009 05 04  1700   54955   61200      0    2.26e+00    0    1.57e+00
2009 05 04  1800   54955   64800      0    2.25e+00    0    1.57e+00
2009 05 04  1900   54955   68400      0    2.25e+00    0    1.57e+00
2009 05 04  2000   54955   72000      0    2.26e+00    0    1.58e+00
2009 05 04  2100   54955   75600      0    2.26e+00    0    1.58e+00
2009 05 04  2200   54955   79200      0    2.25e+00    0    1.59e+00
2009 05 04  2300   54955   82800      9   -1.00e+05    9   -1.00e+05
2009 05 05  0000   54956       0      9   -1.00e+05    9   -1.00e+05
2009 05 05  0100   54956    3600      9   -1.00e+05    9   -1.00e+05
2009 05 05  0200   54956    7200      9   -1.00e+05    9   -1.00e+05
2009 05 05  0300   54956   10800      9   -1.00e+05    9   -1.00e+05
2009 05 05  0400   54956   14400      9   -1.00e+05    9   -1.00e+05
2009 05 05  0500   54956   18000      0    2.29e+00    0    1.59e+00
2009 05 05  0600   54956   21600      0    2.29e+00    0    1.60e+00
2009 05 05  0700   54956   25200      0    2.30e+00    0    1.61e+00
2009 05 05  0800   54956   28800      0    2.29e+00    0    1.60e+00
2009 05 05  0900   54956   32400      0    2.30e+00    0    1.61e+00
2009 05 05  1000   54956   36000      0    2.28e+00    0    1.58e+00
2009 05 05  1100   54956   39600      0    2.28e+00    0    1.59e+00
2009 05 05  1200   54956   43200      0    2.30e+00    0    1.60e+00
2009 05 05  1300   54956   46800      0    2.30e+00    0    1.61e+00
2009 05 05  1400   54956   50400      0    2.30e+00    0    1.60e+00
2009 05 05  1500   54956   54000      0    2.30e+00    0    1.60e+00
2009 05 05  1600   54956   57600      0    2.28e+00    0    1.59e+00
2009 05 05  1700   54956   61200      0    2.29e+00    0    1.59e+00
2009 05 05  1800   54956   64800      0    2.29e+00    0    1.59e+00
2009 05 05  1900   54956   68400      0    2.30e+00    0    1.60e+00
2009 05 05  2000   54956   72000      0    2.31e+00    0    1.61e+00
2009 05 05  2100   54956   75600      0    2.30e+00    0    1.61e+00
2009 05 05  2200   54956   79200      0    2.31e+00    0    1.62e+00
2009 05 05  2300   54956   82800      0    2.31e+00    0    1.62e+00
2009 05 06  0000   54957       0      0    2.31e+00    0    1.61e+00
2009 05 06  0100   54957    3600      0    2.30e+00    0    1.60e+00
2009 05 06  0200   54957    7200      0    2.30e+00    0    1.61e+00
2009 05 06  0300   54957   10800      0    2.32e+00    0    1.62e+00
2009 05 06  0400   54957   14400      9   -1.00e+05    9   -1.00e+05
2009 05 06  0500   54957   18000      0    2.28e+00    0    1.59e+00
2009 05 06  0600   54957   21600      0    2.31e+00    0    1.61e+00
2009 05 06  0700   54957   25200      0    2.32e+00    0    1.62e+00
2009 05 06  0800   54957   28800      0    2.29e+00    0    1.60e+00
2009 05 06  0900   54957   32400      0    2.31e+00    0    1.61e+00
2009 05 06  1000   54957   36000      0    2.32e+00    0    1.61e+00
2009 05 06  1100   54957   39600      0    2.28e+00    0    1.59e+00
2009 05 06  1200   54957   43200      0    2.32e+00    0    1.62e+00
2009 05 06  1300   54957   46800      0    2.29e+00    0    1.60e+00
2009 05 06  1400   54957   50400      0    2.28e+00    0    1.59e+00
2009 05 06  1500   54957   54000      0    2.30e+00    0    1.60e+00
2009 05 06  1600   54957   57600      0    2.28e+00    0    1.59e+00
2009 05 06  1700   54957   61200      0    2.26e+00    0    1.57e+00
2009 05 06  1800   54957   64800      0    2.32e+00    0    1.62e+00
2009 05 06  1900   54957   68400      0    2.27e+00    0    1.58e+00
2009 05 06  2000   54957   72000      0    2.24e+00    0    1.57e+00
2009 05 06  2100   54957   75600      0    2.24e+00    0    1.56e+00
2009 05 06  2200   54957   79200      0    2.24e+00    0    1.57e+00
2009 05 06  2300   54957   82800      0    2.24e+00    0    1.56e+00
2009 05 07  0000   54958       0      0    2.22e+00    0    1.54e+00
2009 05 07  0100   54958    3600      9   -1.00e+05    9   -1.00e+05
2009 05 07  0200   54958    7200      9   -1.00e+05    9   -1.00e+05
2009 05 07  0300   54958   10800      9   -1.00e+05    9   -1.00e+05
2009 05 07  0400   54958   14400      0    2.22e+00    0    1.55e+00
2009 05 07  0500   54958   18000      0    2.22e+00    0    1.55e+00
2009 05 07  0600   54958   21600      0    2.24e+00    0    1.56e+00
2009 05 07  0700   54958   25200      0    2.23e+00    0    1.55e+00
2009 05 07  0800   54958   28800      0    2.24e+00    0    1.56e+00
2009 05 07  0900   54958   32400      0    2.23e+00    0    1.56e+00
2009 05 07  1000   54958   36000      0    2.25e+00    0    1.57e+00
2009 05 07  1100   54958   39600      0    2.25e+00    0    1.57e+00
2009 05 07  1200   54958   43200      0    2.26e+00    0    1.58e+00
2009 05 07  1300   54958   46800      0    2.28e+00    0    1.59e+00
2009 05 07  1400   54958   50400      0    2.26e+00    0    1.58e+00
2009 05 07  1500   54958   54000      0    2.27e+00    0    1.58e+00
2009 05 07  1600   54958   57600      0    2.28e+00    0    1.59e+00
2009 05 07  1700   54958   61200      0    2.29e+00    0    1.60e+00
2009 05 07  1800   54958   64800      0    2.30e+00    0    1.60e+00
2009 05 07  1900   54958   68400      0    2.29e+00    0    1.60e+00
2009 05 07  2000   54958   72000      0    2.28e+00    0    1.59e+00
2009 05 07  2100   54958   75600      0    2.27e+00    0    1.59e+00
2009 05 07  2200   54958   79200      0    2.30e+00    0    1.60e+00
2009 05 07  2300   54958   82800      0    2.29e+00    0    1.62e+00
2009 05 08  0000   54959       0      0    2.28e+00    0    1.60e+00
2009 05 08  0100   54959    3600      9   -1.00e+05    9   -1.00e+05
2009 05 08  0200   54959    7200      9   -1.00e+05    9   -1.00e+05
2009 05 08  0300   54959   10800      9   -1.00e+05    9   -1.00e+05
2009 05 08  0400   54959   14400      0    2.26e+00    0    1.58e+00
2009 05 08  0500   54959   18000      0    2.27e+00    0    1.58e+00
2009 05 08  0600   54959   21600      0    2.26e+00    0    1.57e+00
2009 05 08  0700   54959   25200      0    2.25e+00    0    1.57e+00
2009 05 08  0800   54959   28800      0    2.26e+00    0    1.58e+00
2009 05 08  0900   54959   32400      0    2.25e+00    0    1.56e+00
2009 05 08  1000   54959   36000      0    2.28e+00    0    1.59e+00
2009 05 08  1100   54959   39600      0    2.28e+00    0    1.59e+00
2009 05 08  1200   54959   43200      0    2.29e+00    0    1.60e+00
2009 05 08  1300   54959   46800      0    2.29e+00    0    1.60e+00
2009 05 08  1400   54959   50400      0    2.29e+00    0    1.60e+00
2009 05 08  1500   54959   54000      0    2.29e+00    0    1.59e+00
2009 05 08  1600   54959   57600      0    2.29e+00    0    1.60e+00
2009 05 08  1700   54959   61200      0    2.28e+00    0    1.59e+00
2009 05 08  1800   54959   64800      0    2.26e+00    0    1.58e+00
2009 05 08  1900   54959   68400      0    2.27e+00    0    1.58e+00
2009 05 08  2000   54959   72000      0    2.26e+00    0    1.58e+00
2009 05 08  2100   54959   75600      0    2.23e+00    0    1.56e+00
2009 05 08  2200   54959   79200      0    2.23e+00    0    1.56e+00
2009 05 08  2300   54959   82800      0    2.24e+00    0    1.56e+00
2009 05 09  0000   54960       0      0    2.20e+00    0    1.54e+00
2009 05 09  0100   54960    3600      9   -1.00e+05    9   -1.00e+05
2009 05 09  0200   54960    7200      9   -1.00e+05    9   -1.00e+05
2009 05 09  0300   54960   10800      9   -1.00e+05    9   -1.00e+05
2009 05 09  0400   54960   14400      0    2.24e+00    0    1.56e+00
2009 05 09  0500   54960   18000      0    2.21e+00    0    1.54e+00
2009 05 09  0600   54960   21600      0    2.21e+00    0    1.54e+00
2009 05 09  0700   54960   25200      0    2.22e+00    0    1.55e+00
2009 05 09  0800   54960   28800      0    2.22e+00    0    1.55e+00
2009 05 09  0900   54960   32400      0    2.24e+00    0    1.56e+00
