:Product: 200911_ace_mag_1h.txt
:Issued: 2009 Dec 01 0510 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              Hourly Averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2009 11 01  0000   55136       0    0     0.8     4.4     1.4     4.7    17.7    79.6
2009 11 01  0100   55136    3600    0    -0.2     4.4     2.0     4.8    24.3    92.1
2009 11 01  0200   55136    7200    0    -0.1     2.0     1.5     2.5    37.8    93.4
2009 11 01  0300   55136   10800    0     0.8     1.1     2.2     2.6    57.6    54.1
2009 11 01  0400   55136   14400    0     1.0     1.7     2.2     3.0    48.3    58.4
2009 11 01  0500   55136   18000    0    -0.7    -2.4     2.7     3.6    47.0   253.1
2009 11 01  0600   55136   21600    0     0.2    -1.6    -0.2     1.6    -7.2   276.9
2009 11 01  0700   55136   25200    0     1.8    -0.5     0.2     1.9     6.6   343.9
2009 11 01  0800   55136   28800    0     2.2     0.4     1.5     2.7    33.4    10.5
2009 11 01  0900   55136   32400    0     2.5     0.5     1.7     3.1    34.3    11.7
2009 11 01  1000   55136   36000    0     2.7    -1.8     3.3     4.6    45.4   325.5
2009 11 01  1100   55136   39600    0     3.0    -2.2     3.2     4.9    40.3   323.3
2009 11 01  1200   55136   43200    0     2.4    -3.2     2.7     4.9    34.3   307.3
2009 11 01  1300   55136   46800    0     1.4    -3.9     2.5     4.8    30.8   289.1
2009 11 01  1400   55136   50400    0     0.8    -3.6     3.1     4.8    40.5   282.1
