:Product: 201110_ace_mag_1h.txt
:Issued: 2011 Nov 01 0510 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              Hourly Averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2011 10 01  0000   55835       0    0     0.8    -2.9     1.4     3.3    24.6   284.4
2011 10 01  0100   55835    3600    0    -2.2     0.7     1.5     2.7    33.7   163.2
2011 10 01  0200   55835    7200    0    -3.1    -2.8    -4.4     6.0   -46.2   221.9
2011 10 01  0300   55835   10800    0    -2.0    -0.8    -5.6     6.0   -69.0   200.5
2011 10 01  0400   55835   14400    0     2.1    -0.2     3.2     3.8    56.6   353.5
2011 10 01  0500   55835   18000    0     1.1     1.6     2.3     3.0    49.7    56.4
2011 10 01  0600   55835   21600    0     0.6     4.8    -1.0     4.9   -12.2    83.3
2011 10 01  0700   55835   25200    0     0.8     1.5    -0.7     1.9   -23.2    61.4
2011 10 01  0800   55835   28800    0    -2.5     1.3    -1.3     3.1   -25.8   152.2
2011 10 01  0900   55835   32400    0    -5.1    -1.8    -0.9     5.5    -9.9   199.8
2011 10 01  1000   55835   36000    0    -4.3    -1.8    -0.0     4.7    -0.2   202.6
2011 10 01  1100   55835   39600    0    -3.1    -1.8     0.9     3.6    14.7   209.8
2011 10 01  1200   55835   43200    0    -3.7    -0.6    -1.4     4.0   -19.8   189.4
2011 10 01  1300   55835   46800    0    -3.6    -1.3    -0.3     3.8    -4.1   200.1
2011 10 01  1400   55835   50400    0    -3.7     0.7    -0.6     3.9    -8.8   169.5
2011 10 01  1500   55835   54000    0    -3.5     1.7    -0.1     3.9    -1.0   154.1
2011 10 01  1600   55835   57600    0    -3.5     2.1     0.5     4.1     6.5   148.2
2011 10 01  1700   55835   61200    0    -4.6     0.2    -0.8     4.7   -10.1   177.3
2011 10 01  1800   55835   64800    0    -3.9    -0.3    -2.0     4.4   -27.2   184.5
2011 10 01  1900   55835   68400    0    -5.0    -1.9    -3.4     6.4   -32.7   201.1
2011 10 01  2000   55835   72000    0    -3.4     1.8    -1.4     4.1   -20.2   152.6
2011 10 01  2100   55835   75600    0    -0.8     1.9     2.3     3.1    47.5   113.4
2011 10 01  2200   55835   79200    0    -1.7     1.8     2.2     3.3    42.3   133.2
2011 10 01  2300   55835   82800    0    -2.7     2.0     1.3     3.6    21.8   143.2
2011 10 02  0000   55836       0    0    -3.9     1.0     1.0     4.2    13.2   165.5
2011 10 02  0100   55836    3600    0    -3.0     0.8     1.4     3.4    24.7   165.7
2011 10 02  0200   55836    7200    0    -2.1     3.5     1.0     4.2    13.2   120.5
2011 10 02  0300   55836   10800    0    -1.8     1.4     0.3     2.3     6.3   142.7
2011 10 02  0400   55836   14400    0     0.4     3.6    -1.2     3.8   -17.8    83.3
2011 10 02  0500   55836   18000    0    -2.0     3.1    -2.8     4.6   -37.3   123.2
2011 10 02  0600   55836   21600    0    -3.3     1.7    -3.7     5.2   -45.2   151.9
2011 10 02  0700   55836   25200    0     0.9     0.8     0.5     1.3    21.5    44.3
2011 10 02  0800   55836   28800    0    -1.5     0.2    -2.0     2.5   -53.1   171.5
2011 10 02  0900   55836   32400    0    -3.8    -1.3    -1.6     4.3   -21.8   198.1
2011 10 02  1000   55836   36000    0    -2.0     0.2    -2.0     2.9   -44.5   175.1
2011 10 02  1100   55836   39600    0     1.9     2.4    -1.6     3.5   -28.1    51.0
2011 10 02  1200   55836   43200    0     2.0     1.3     0.1     2.4     2.2    32.9
2011 10 02  1300   55836   46800    0     0.8    -0.4    -2.6     2.8   -70.9   333.7
2011 10 02  1400   55836   50400    0    -0.7    -0.7    -1.5     1.8   -55.8   225.8
2011 10 02  1500   55836   54000    0     0.4    -0.3     2.1     2.2    76.8   319.7
2011 10 02  1600   55836   57600    0    -0.1     0.3     3.1     3.1    84.2   107.6
2011 10 02  1700   55836   61200    0     2.1     3.6     1.5     4.4    20.0    60.1
2011 10 02  1800   55836   64800    0     2.4     2.3    -0.9     3.5   -14.9    44.0
2011 10 02  1900   55836   68400    0     1.3     0.3    -3.2     3.5   -67.0    14.6
2011 10 02  2000   55836   72000    0    -0.1    -2.0    -0.8     2.2   -21.0   267.5
2011 10 02  2100   55836   75600    0    -1.2     1.5     1.3     2.3    33.9   129.4
2011 10 02  2200   55836   79200    0    -2.4     1.3     2.4     3.6    41.5   152.2
2011 10 02  2300   55836   82800    0    -2.2    -1.9     2.3     3.7    37.9   221.5
2011 10 03  0000   55837       0    0    -2.2     0.0     3.0     3.7    54.0   179.7
2011 10 03  0100   55837    3600    0    -1.9     0.7     2.4     3.1    49.1   160.2
2011 10 03  0200   55837    7200    0    -0.9     0.8     2.3     2.6    62.9   136.6
2011 10 03  0300   55837   10800    0    -0.4     1.6     1.7     2.4    45.8   105.3
2011 10 03  0400   55837   14400    0    -2.2     0.5     1.2     2.5    28.0   168.2
2011 10 03  0500   55837   18000    0    -1.2     2.4    -0.0     2.7    -0.6   117.0
2011 10 03  0600   55837   21600    0    -2.3     2.2    -1.7     3.6   -27.7   137.1
2011 10 03  0700   55837   25200    0    -1.9     1.4    -0.0     2.3    -0.8   143.9
2011 10 03  0800   55837   28800    0    -1.8     3.1     0.3     3.6     5.2   120.0
2011 10 03  0900   55837   32400    0    -3.0     3.4    -0.5     4.6    -6.0   131.0
2011 10 03  1000   55837   36000    0    -3.0     3.1    -1.6     4.6   -19.8   134.3
2011 10 03  1100   55837   39600    0    -4.1     1.9    -0.1     4.5    -1.7   154.8
2011 10 03  1200   55837   43200    0    -2.7     3.3    -1.1     4.4   -14.9   129.1
2011 10 03  1300   55837   46800    0    -0.8     2.2    -3.3     4.0   -54.3   110.9
2011 10 03  1400   55837   50400    0    -3.1     2.6    -1.9     4.5   -25.0   139.6
2011 10 03  1500   55837   54000    0    -2.8     4.0    -1.0     5.0   -11.1   125.0
2011 10 03  1600   55837   57600    0    -2.9     4.0    -1.1     5.1   -12.0   126.4
2011 10 03  1700   55837   61200    0    -2.2     3.0    -3.1     4.9   -39.9   125.4
2011 10 03  1800   55837   64800    0    -1.9     2.4    -2.5     4.0   -39.7   128.0
2011 10 03  1900   55837   68400    0    -3.4     3.3    -1.1     4.8   -13.0   136.1
2011 10 03  2000   55837   72000    0    -2.4     3.8    -1.6     4.8   -19.6   122.9
2011 10 03  2100   55837   75600    0    -4.2     2.2    -1.4     4.9   -16.4   152.8
2011 10 03  2200   55837   79200    0    -3.4     1.8    -2.7     4.7   -35.2   152.8
2011 10 03  2300   55837   82800    0    -3.7     3.4     0.3     5.1     3.1   137.4
2011 10 04  0000   55838       0    0    -4.2     0.7    -0.1     4.2    -1.3   170.6
2011 10 04  0100   55838    3600    0    -4.2    -3.1     0.8     5.3     8.6   216.9
2011 10 04  0200   55838    7200    0    -3.3    -3.4     0.7     4.8     8.7   225.9
2011 10 04  0300   55838   10800    0    -3.0    -3.5     1.1     4.7    13.2   229.6
2011 10 04  0400   55838   14400    0    -2.3    -0.0    -1.0     2.5   -24.2   180.3
2011 10 04  0500   55838   18000    0    -1.0     1.9    -3.4     4.0   -57.4   117.0
2011 10 04  0600   55838   21600    0    -0.7     3.4    -2.5     4.3   -35.6   102.3
2011 10 04  0700   55838   25200    0    -0.6     3.8    -2.2     4.4   -29.8    99.3
2011 10 04  0800   55838   28800    0    -0.1     4.3    -1.0     4.4   -13.4    91.0
2011 10 04  0900   55838   32400    0    -1.6     2.5    -3.1     4.3   -46.3   122.4
2011 10 04  1000   55838   36000    0    -3.3     1.9    -1.4     4.1   -20.1   150.1
2011 10 04  1100   55838   39600    0    -4.9     2.0    -0.5     5.3    -5.9   157.6
2011 10 04  1200   55838   43200    0    -5.4     0.0    -1.5     5.6   -15.6   179.9
2011 10 04  1300   55838   46800    0    -3.0     0.4    -3.3     4.5   -47.8   171.5
2011 10 04  1400   55838   50400    0    -0.5     4.1    -2.3     4.7   -28.9    96.3
2011 10 04  1500   55838   54000    0     0.2     4.6    -2.4     5.2   -27.8    87.6
2011 10 04  1600   55838   57600    0     2.2     2.8    -0.2     3.6    -3.6    52.2
2011 10 04  1700   55838   61200    0    -0.9     3.6    -0.6     3.8    -9.4   104.6
2011 10 04  1800   55838   64800    0    -3.5    -0.7     1.1     3.7    17.5   191.6
2011 10 04  1900   55838   68400    0    -3.5    -2.5    -0.6     4.3    -8.0   215.1
2011 10 04  2000   55838   72000    0    -2.6    -2.1     0.0     3.3     0.3   218.8
2011 10 04  2100   55838   75600    0    -0.5     3.4    -0.6     3.5   -10.1    98.1
2011 10 04  2200   55838   79200    0    -1.0     4.1    -1.2     4.4   -15.9   103.3
2011 10 04  2300   55838   82800    0    -0.2     3.9    -0.4     3.9    -5.3    92.5
2011 10 05  0000   55839       0    0     0.5     4.3     1.7     4.6    21.6    83.8
2011 10 05  0100   55839    3600    0    -0.4     3.9    -0.5     3.9    -6.9    95.7
2011 10 05  0200   55839    7200    0    -3.1    -0.9    -1.7     3.6   -27.8   196.2
2011 10 05  0300   55839   10800    0    -4.6     1.8    -1.9     5.3   -21.2   158.7
2011 10 05  0400   55839   14400    0    -1.9     4.8     0.9     5.2     9.7   111.3
2011 10 05  0500   55839   18000    0    -1.0     2.5     4.3     5.1    58.1   112.4
2011 10 05  0600   55839   21600    0     0.5     4.6     1.1     4.8    12.9    83.9
2011 10 05  0700   55839   25200    0     1.1     7.6     0.3     7.7     2.2    82.0
2011 10 05  0800   55839   28800    0    -2.9     3.9    -4.9     6.8   -45.3   126.9
2011 10 05  0900   55839   32400    0     0.9     9.6     1.4     9.7     8.1    84.4
2011 10 05  1000   55839   36000    0    -1.9    11.6    -2.0    12.0    -9.5    99.5
2011 10 05  1100   55839   39600    0    -3.2    10.1    -6.4    12.3   -31.0   107.7
2011 10 05  1200   55839   43200    0    -5.1     8.6    -6.7    12.0   -33.8   120.8
2011 10 05  1300   55839   46800    0    -7.5     4.5    -9.2    12.8   -46.4   149.0
2011 10 05  1400   55839   50400    0     1.8     9.8     3.8    10.7    21.0    79.8
2011 10 05  1500   55839   54000    0     3.3     4.6     6.5     8.6    48.9    54.3
2011 10 05  1600   55839   57600    0     2.0     6.9     7.8    10.7    47.2    73.9
2011 10 05  1700   55839   61200    0     4.1     6.0     8.3    11.0    48.9    55.9
2011 10 05  1800   55839   64800    0     4.0     5.1    10.2    12.1    57.4    51.8
2011 10 05  1900   55839   68400    0     4.2     6.2     6.9    10.2    42.6    56.3
2011 10 05  2000   55839   72000    0     5.7     4.3     8.7    11.2    50.5    36.9
2011 10 05  2100   55839   75600    0     7.0     2.2     9.4    11.9    51.9    17.3
2011 10 05  2200   55839   79200    0     8.9     4.4     8.3    13.0    40.0    26.5
2011 10 05  2300   55839   82800    0     8.7     0.1     9.4    12.8    47.4     1.0
2011 10 06  0000   55840       0    0     8.1    -1.0     9.0    12.1    47.8   353.2
2011 10 06  0100   55840    3600    0     8.3     0.3     8.1    11.6    44.0     2.4
2011 10 06  0200   55840    7200    0    10.3    -1.6     6.4    12.2    31.3   351.4
2011 10 06  0300   55840   10800    0     0.2     6.0     6.0     8.5    44.8    87.8
2011 10 06  0400   55840   14400    0     3.5     4.4     8.7    10.4    56.9    51.3
2011 10 06  0500   55840   18000    0     6.3     2.7     8.7    11.1    51.8    23.0
2011 10 06  0600   55840   21600    0     6.3     1.1     5.8     8.6    42.2     9.5
2011 10 06  0700   55840   25200    0     6.8     0.9     3.8     7.8    29.2     7.4
2011 10 06  0800   55840   28800    0     6.7     0.3     0.9     6.8     7.8     2.7
2011 10 06  0900   55840   32400    0     6.7     0.8     0.6     6.7     5.4     6.5
2011 10 06  1000   55840   36000    0     4.9     3.4    -0.6     6.0    -5.6    34.5
