:Product: 201112_ace_sis_1h.txt
:Issued: 2012 Jan 01 0510 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# Hourly Averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the     ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day      S    > 10 MeV    S    > 30 MeV
#-------------------------------------------------------------------
2011 12 01  0000   55896       0      0    1.58e+00    0    1.08e+00
2011 12 01  0100   55896    3600      0    1.67e+00    0    1.09e+00
2011 12 01  0200   55896    7200      0    1.66e+00    0    1.09e+00
2011 12 01  0300   55896   10800      0    1.69e+00    0    1.09e+00
2011 12 01  0400   55896   14400      0    1.68e+00    0    1.09e+00
2011 12 01  0500   55896   18000      0    1.68e+00    0    1.10e+00
2011 12 01  0600   55896   21600      0    1.68e+00    0    1.11e+00
2011 12 01  0700   55896   25200      0    1.65e+00    0    1.09e+00
2011 12 01  0800   55896   28800      0    1.64e+00    0    1.09e+00
2011 12 01  0900   55896   32400      0    1.63e+00    0    1.10e+00
2011 12 01  1000   55896   36000      0    1.62e+00    0    1.09e+00
2011 12 01  1100   55896   39600      0    1.62e+00    0    1.10e+00
2011 12 01  1200   55896   43200      0    1.60e+00    0    1.10e+00
2011 12 01  1300   55896   46800      0    1.60e+00    0    1.10e+00
2011 12 01  1400   55896   50400      0    1.60e+00    0    1.10e+00
2011 12 01  1500   55896   54000      0    1.59e+00    0    1.09e+00
2011 12 01  1600   55896   57600      0    1.58e+00    0    1.09e+00
2011 12 01  1700   55896   61200      9   -1.00e+05    9   -1.00e+05
2011 12 01  1800   55896   64800      0    1.58e+00    0    1.09e+00
2011 12 01  1900   55896   68400      0    1.59e+00    0    1.09e+00
2011 12 01  2000   55896   72000      0    1.58e+00    0    1.09e+00
2011 12 01  2100   55896   75600      0    1.59e+00    0    1.09e+00
2011 12 01  2200   55896   79200      9   -1.00e+05    9   -1.00e+05
2011 12 01  2300   55896   82800      0    1.58e+00    0    1.09e+00
2011 12 02  0000   55897       0      9   -1.00e+05    9   -1.00e+05
2011 12 02  0100   55897    3600      0    1.57e+00    0    1.09e+00
2011 12 02  0200   55897    7200      0    1.57e+00    0    1.08e+00
2011 12 02  0300   55897   10800      0    1.58e+00    0    1.09e+00
2011 12 02  0400   55897   14400      0    1.58e+00    0    1.09e+00
2011 12 02  0500   55897   18000      0    1.57e+00    0    1.09e+00
2011 12 02  0600   55897   21600      0    1.59e+00    0    1.10e+00
2011 12 02  0700   55897   25200      0    1.58e+00    0    1.10e+00
