:Product: 201203_ace_epam_1h.txt
:Issued: 2012 Apr 01 0510 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Differential Flux particles/cm2-s-ster-MeV
# Units: Anisotropy Index 0.0 - 2.0
# Status(S): 0 = nominal, 4,6,7,8 = bad data, unable to process, 9 = no data
# Missing data values: -1.00e+05, index = -1.00
# Source: ACE Satellite - Electron, Proton, and Alpha Monitor
#
#                      Hourly Averaged Real-time Differential Electron and Proton Flux 
# 
#                Modified Seconds ---------------------------- Differential Flux ---------------------------
# UT Date   Time  Julian  of the  ----- Electron -----   ------------------- Protons keV -------------------  Anis.
# YR MO DA  HHMM    Day    Day    S    38-53   175-315   S    47-68   115-195   310-580   795-1193 1060-1900  Index
#------------------------------------------------------------------------------------------------------------------
2012 03 01  0000   55987       0  0  7.09e+02  2.31e+01  0  1.82e+03  3.78e+01  6.18e+00  2.16e+00  6.16e-01  -1.00
2012 03 01  0100   55987    3600 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2012 03 01  0200   55987    7200  0  8.01e+02  2.16e+01  0  1.87e+03  4.46e+01  6.76e+00  2.94e+00  7.12e-01  -1.00
2012 03 01  0300   55987   10800  0  7.68e+02  2.29e+01  0  1.87e+03  4.37e+01  7.07e+00  2.46e+00  7.52e-01  -1.00
2012 03 01  0400   55987   14400  0  7.97e+02  2.32e+01  0  1.87e+03  4.41e+01  6.67e+00  2.39e+00  6.84e-01  -1.00
2012 03 01  0500   55987   18000  0  7.91e+02  2.15e+01  0  1.86e+03  4.30e+01  6.28e+00  2.84e+00  6.75e-01  -1.00
2012 03 01  0600   55987   21600  0  7.77e+02  2.30e+01  0  1.99e+03  5.13e+01  6.62e+00  2.51e+00  6.79e-01  -1.00
2012 03 01  0700   55987   25200  0  7.55e+02  2.13e+01  0  1.99e+03  5.39e+01  6.87e+00  2.39e+00  6.48e-01  -1.00
2012 03 01  0800   55987   28800  0  8.35e+02  2.23e+01  0  1.89e+03  4.80e+01  7.87e+00  3.01e+00  8.28e-01  -1.00
2012 03 01  0900   55987   32400 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2012 03 01  1000   55987   36000  0  7.92e+02  2.37e+01  0  1.96e+03  6.01e+01  1.03e+01  3.79e+00  1.20e+00  -1.00
2012 03 01  1100   55987   39600  0  8.16e+02  2.28e+01  0  1.99e+03  6.66e+01  1.21e+01  4.60e+00  1.41e+00  -1.00
2012 03 01  1200   55987   43200  0  8.61e+02  2.32e+01  0  1.94e+03  6.47e+01  1.29e+01  5.17e+00  1.51e+00  -1.00
2012 03 01  1300   55987   46800  0  8.38e+02  2.22e+01  0  1.87e+03  4.86e+01  9.53e+00  3.84e+00  1.23e+00  -1.00
2012 03 01  1400   55987   50400  0  7.69e+02  2.33e+01  0  1.87e+03  4.78e+01  1.05e+01  3.52e+00  1.28e+00  -1.00
2012 03 01  1500   55987   54000  0  8.17e+02  2.21e+01  0  1.88e+03  4.62e+01  9.68e+00  3.40e+00  1.17e+00  -1.00
2012 03 01  1600   55987   57600 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2012 03 01  1700   55987   61200  0  8.23e+02  2.34e+01  0  1.80e+03  3.14e+01  6.50e+00  2.71e+00  8.46e-01  -1.00
2012 03 01  1800   55987   64800  0  8.13e+02  2.22e+01  0  1.80e+03  3.07e+01  5.82e+00  2.71e+00  8.01e-01  -1.00
2012 03 01  1900   55987   68400  0  8.44e+02  2.32e+01  0  1.81e+03  3.07e+01  5.85e+00  2.49e+00  7.47e-01  -1.00
2012 03 01  2000   55987   72000 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2012 03 01  2100   55987   75600  0  8.14e+02  2.35e+01  0  1.80e+03  3.14e+01  5.60e+00  2.24e+00  7.45e-01  -1.00
2012 03 01  2200   55987   79200  0  7.97e+02  2.25e+01  0  1.82e+03  2.97e+01  5.49e+00  2.11e+00  6.77e-01  -1.00
2012 03 01  2300   55987   82800 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2012 03 02  0000   55988       0  0  7.84e+02  2.22e+01  0  1.81e+03  2.75e+01  4.70e+00  2.03e+00  5.87e-01  -1.00
2012 03 02  0100   55988    3600  0  7.44e+02  2.24e+01  0  1.78e+03  2.73e+01  4.57e+00  1.88e+00  6.29e-01  -1.00
2012 03 02  0200   55988    7200  0  7.57e+02  2.06e+01  0  1.78e+03  2.54e+01  4.18e+00  1.76e+00  4.78e-01  -1.00
2012 03 02  0300   55988   10800 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2012 03 02  0400   55988   14400  0  7.80e+02  2.28e+01  0  1.77e+03  2.37e+01  4.03e+00  1.63e+00  4.94e-01  -1.00
2012 03 02  0500   55988   18000 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2012 03 02  0600   55988   21600  0  7.89e+02  2.32e+01  0  1.78e+03  2.56e+01  4.17e+00  1.61e+00  4.51e-01  -1.00
2012 03 02  0700   55988   25200  0  7.59e+02  2.30e+01  0  1.79e+03  2.58e+01  4.05e+00  1.64e+00  4.61e-01  -1.00
2012 03 02  0800   55988   28800  0  7.92e+02  2.26e+01  0  1.81e+03  2.82e+01  4.24e+00  1.58e+00  5.12e-01  -1.00
2012 03 02  0900   55988   32400  0  7.55e+02  2.25e+01  0  1.78e+03  2.80e+01  4.45e+00  1.61e+00  5.47e-01  -1.00
2012 03 02  1000   55988   36000  0  7.57e+02  2.15e+01  0  1.80e+03  2.70e+01  4.41e+00  1.59e+00  4.74e-01  -1.00
2012 03 02  1100   55988   39600  0  7.66e+02  2.17e+01  0  1.77e+03  2.68e+01  4.37e+00  1.69e+00  5.10e-01  -1.00
2012 03 02  1200   55988   43200  0  7.31e+02  2.25e+01  0  1.80e+03  2.81e+01  4.57e+00  1.67e+00  5.19e-01  -1.00
2012 03 02  1300   55988   46800  0  7.15e+02  2.24e+01  0  1.78e+03  2.80e+01  4.49e+00  1.61e+00  4.83e-01  -1.00
2012 03 02  1400   55988   50400  0  7.76e+02  2.19e+01  0  1.80e+03  2.67e+01  4.28e+00  1.58e+00  4.87e-01  -1.00
2012 03 02  1500   55988   54000  0  7.59e+02  2.15e+01  0  1.80e+03  2.85e+01  4.51e+00  1.55e+00  4.58e-01  -1.00
2012 03 02  1600   55988   57600  0  7.23e+02  2.22e+01  0  1.81e+03  2.78e+01  4.23e+00  1.43e+00  4.96e-01  -1.00
2012 03 02  1700   55988   61200  0  7.21e+02  2.24e+01  0  1.77e+03  2.72e+01  4.02e+00  1.46e+00  4.30e-01  -1.00
2012 03 02  1800   55988   64800  0  7.11e+02  2.13e+01  0  1.77e+03  2.43e+01  3.77e+00  1.35e+00  4.27e-01  -1.00
2012 03 02  1900   55988   68400  0  7.54e+02  2.13e+01  0  1.77e+03  2.67e+01  4.29e+00  1.37e+00  4.65e-01  -1.00
2012 03 02  2000   55988   72000  0  7.31e+02  2.33e+01  0  1.81e+03  3.02e+01  4.76e+00  1.66e+00  4.89e-01  -1.00
2012 03 02  2100   55988   75600  0  7.17e+02  2.18e+01  0  1.78e+03  2.66e+01  3.86e+00  1.22e+00  3.87e-01  -1.00
2012 03 02  2200   55988   79200  0  7.02e+02  2.14e+01  0  1.77e+03  2.46e+01  3.63e+00  1.22e+00  3.73e-01  -1.00
2012 03 02  2300   55988   82800  0  7.24e+02  2.24e+01  0  1.79e+03  2.27e+01  3.88e+00  1.25e+00  4.08e-01  -1.00
2012 03 03  0000   55989       0  0  7.12e+02  2.14e+01  0  1.76e+03  2.38e+01  3.49e+00  1.29e+00  3.41e-01  -1.00
2012 03 03  0100   55989    3600  0  7.11e+02  2.24e+01  0  1.76e+03  2.50e+01  3.50e+00  1.19e+00  3.60e-01  -1.00
2012 03 03  0200   55989    7200  0  6.94e+02  2.21e+01  0  1.77e+03  2.52e+01  3.63e+00  1.25e+00  3.68e-01  -1.00
2012 03 03  0300   55989   10800  0  6.94e+02  2.12e+01  0  1.77e+03  2.68e+01  3.89e+00  1.24e+00  4.14e-01  -1.00
2012 03 03  0400   55989   14400  0  7.03e+02  2.24e+01  0  1.78e+03  2.63e+01  3.89e+00  1.27e+00  3.68e-01  -1.00
2012 03 03  0500   55989   18000  0  7.04e+02  2.22e+01  0  1.75e+03  2.52e+01  3.80e+00  1.41e+00  3.91e-01  -1.00
2012 03 03  0600   55989   21600  0  7.25e+02  2.33e+01  0  1.77e+03  2.55e+01  3.85e+00  1.21e+00  3.89e-01  -1.00
2012 03 03  0700   55989   25200  0  7.45e+02  2.43e+01  0  1.75e+03  2.39e+01  3.57e+00  1.04e+00  3.65e-01  -1.00
2012 03 03  0800   55989   28800  0  7.15e+02  2.15e+01  0  1.77e+03  2.33e+01  3.24e+00  1.08e+00  3.37e-01  -1.00
2012 03 03  0900   55989   32400  0  7.10e+02  2.32e+01  0  1.76e+03  2.40e+01  3.31e+00  1.07e+00  3.67e-01  -1.00
2012 03 03  1000   55989   36000  0  7.07e+02  2.11e+01  0  1.74e+03  2.37e+01  3.45e+00  1.05e+00  3.35e-01  -1.00
2012 03 03  1100   55989   39600  0  7.09e+02  2.18e+01  0  1.77e+03  2.46e+01  3.50e+00  1.02e+00  3.66e-01  -1.00
2012 03 03  1200   55989   43200  0  7.46e+02  2.14e+01  0  1.77e+03  2.38e+01  3.40e+00  9.73e-01  3.20e-01  -1.00
2012 03 03  1300   55989   46800  0  7.28e+02  2.29e+01  0  1.76e+03  2.40e+01  3.50e+00  9.33e-01  3.81e-01  -1.00
2012 03 03  1400   55989   50400  0  7.24e+02  2.08e+01  0  1.77e+03  2.31e+01  3.32e+00  9.13e-01  3.06e-01  -1.00
2012 03 03  1500   55989   54000  0  7.03e+02  2.25e+01  0  1.73e+03  2.44e+01  3.31e+00  1.03e+00  3.45e-01  -1.00
2012 03 03  1600   55989   57600  0  6.98e+02  2.21e+01  0  1.71e+03  2.46e+01  3.46e+00  9.72e-01  2.94e-01  -1.00
2012 03 03  1700   55989   61200  0  6.86e+02  2.37e+01  0  1.70e+03  2.18e+01  2.97e+00  1.01e+00  3.06e-01  -1.00
2012 03 03  1800   55989   64800  0  6.63e+02  2.25e+01  0  1.72e+03  2.04e+01  3.01e+00  9.44e-01  3.13e-01  -1.00
2012 03 03  1900   55989   68400  0  6.57e+02  2.12e+01  0  1.74e+03  2.13e+01  2.98e+00  9.51e-01  2.80e-01  -1.00
2012 03 03  2000   55989   72000  0  6.58e+02  2.28e+01  0  1.71e+03  2.01e+01  3.02e+00  9.68e-01  3.05e-01  -1.00
2012 03 03  2100   55989   75600  0  6.96e+02  2.13e+01  0  1.71e+03  2.07e+01  2.84e+00  8.95e-01  2.73e-01  -1.00
2012 03 03  2200   55989   79200  0  6.79e+02  2.26e+01  0  1.70e+03  2.13e+01  2.87e+00  9.53e-01  3.11e-01  -1.00
2012 03 03  2300   55989   82800  0  6.96e+02  2.26e+01  0  1.73e+03  2.05e+01  2.88e+00  9.87e-01  2.68e-01  -1.00
2012 03 04  0000   55990       0  0  7.61e+02  2.32e+01  0  1.72e+03  2.09e+01  2.97e+00  8.77e-01  2.57e-01  -1.00
2012 03 04  0100   55990    3600  0  8.91e+02  2.50e+01  0  1.72e+03  2.04e+01  2.80e+00  8.92e-01  2.94e-01  -1.00
2012 03 04  0200   55990    7200  0  9.63e+02  2.65e+01  0  1.72e+03  2.08e+01  2.82e+00  8.38e-01  2.35e-01  -1.00
2012 03 04  0300   55990   10800  0  1.31e+03  2.77e+01  0  1.73e+03  2.09e+01  2.93e+00  7.83e-01  2.35e-01  -1.00
2012 03 04  0400   55990   14400  0  1.32e+03  2.82e+01  0  1.72e+03  2.09e+01  2.73e+00  8.04e-01  2.19e-01  -1.00
2012 03 04  0500   55990   18000  0  1.64e+03  2.94e+01  0  1.72e+03  1.97e+01  2.60e+00  7.74e-01  2.23e-01  -1.00
2012 03 04  0600   55990   21600  0  1.48e+03  2.84e+01  0  1.67e+03  1.82e+01  2.49e+00  7.09e-01  2.07e-01  -1.00
2012 03 04  0700   55990   25200  0  1.71e+03  3.04e+01  0  1.70e+03  1.64e+01  2.11e+00  6.81e-01  2.54e-01  -1.00
2012 03 04  0800   55990   28800  0  1.72e+03  2.77e+01  0  1.66e+03  1.69e+01  2.25e+00  6.70e-01  3.81e-01  -1.00
2012 03 04  0900   55990   32400  0  1.69e+03  2.78e+01  0  1.70e+03  1.76e+01  2.48e+00  7.77e-01  4.88e-01  -1.00
2012 03 04  1000   55990   36000  0  1.63e+03  2.70e+01  0  1.67e+03  1.74e+01  2.31e+00  8.24e-01  5.84e-01  -1.00
2012 03 04  1100   55990   39600  0  1.68e+03  2.81e+01  0  1.71e+03  1.70e+01  2.54e+00  9.44e-01  7.80e-01  -1.00
2012 03 04  1200   55990   43200  0  1.66e+03  2.81e+01  0  1.68e+03  1.70e+01  2.56e+00  1.20e+00  8.85e-01  -1.00
2012 03 04  1300   55990   46800  0  1.65e+03  2.99e+01  0  1.69e+03  1.81e+01  2.43e+00  1.86e+00  1.27e+00  -1.00
