:Product: 201207_ace_mag_1h.txt
:Issued: 2012 Aug 01 0510 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              Hourly Averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2012 07 01  0000   56109       0    0     3.1    -3.5    -3.2     5.7   -34.0   311.9
2012 07 01  0100   56109    3600    0     2.4    -3.3    -2.5     4.8   -31.4   305.2
2012 07 01  0200   56109    7200    0     2.4    -1.9    -1.7     3.6   -28.8   321.2
2012 07 01  0300   56109   10800    0     2.8    -3.4     1.3     4.6    16.5   309.2
2012 07 01  0400   56109   14400    0     2.8    -1.6    -0.4     3.2    -7.5   330.4
2012 07 01  0500   56109   18000    0     2.0    -3.4     1.3     4.1    17.9   300.2
2012 07 01  0600   56109   21600    0     1.1    -2.7     2.6     3.9    41.8   291.4
2012 07 01  0700   56109   25200    0     3.6    -1.7     0.2     4.0     2.9   334.3
2012 07 01  0800   56109   28800    0     2.2    -1.4    -0.5     2.6   -11.5   326.6
2012 07 01  0900   56109   32400    0     1.6    -2.0     3.7     4.5    55.2   309.2
2012 07 01  1000   56109   36000    0     2.0    -1.2     2.3     3.3    45.1   329.8
2012 07 01  1100   56109   39600    0     1.1    -3.0    -1.3     3.5   -21.6   289.6
2012 07 01  1200   56109   43200    0     2.1    -1.0    -1.2     2.7   -26.9   334.2
2012 07 01  1300   56109   46800    0     1.9    -2.8     1.0     3.5    17.3   304.1
2012 07 01  1400   56109   50400    0     2.6    -0.2     3.0     4.0    48.4   356.5
2012 07 01  1500   56109   54000    0     2.0    -1.7     2.2     3.4    40.9   320.0
2012 07 01  1600   56109   57600    0     0.5    -2.7     3.8     4.6    54.5   280.8
2012 07 01  1700   56109   61200    0     2.5    -2.5    -0.7     3.7   -10.9   315.4
2012 07 01  1800   56109   64800    0     2.3    -2.7    -0.6     3.6    -9.4   310.1
2012 07 01  1900   56109   68400    0     1.4    -2.4     2.0     3.4    36.4   300.4
2012 07 01  2000   56109   72000    0     1.5    -4.9     1.1     5.2    12.0   287.0
2012 07 01  2100   56109   75600    0     1.6    -4.7     0.6     5.0     6.3   288.1
2012 07 01  2200   56109   79200    0     1.8    -4.5    -1.2     5.0   -13.4   292.5
2012 07 01  2300   56109   82800    0     1.6    -1.5     1.8     2.8    40.6   316.2
2012 07 02  0000   56110       0    0     0.1    -5.1    -0.2     5.1    -2.3   271.3
2012 07 02  0100   56110    3600    0     2.9    -2.8     0.8     4.1    10.7   315.6
2012 07 02  0200   56110    7200    0     3.6    -1.3     1.7     4.1    24.0   339.8
2012 07 02  0300   56110   10800    0     2.7     0.5    -2.5     3.7   -42.1     9.6
2012 07 02  0400   56110   14400    0     2.5    -0.5    -2.0     3.3   -38.5   349.8
2012 07 02  0500   56110   18000    0     2.4    -2.0     0.6     3.2     9.9   320.3
2012 07 02  0600   56110   21600    0     2.6    -0.5     3.6     4.5    52.9   349.7
2012 07 02  0700   56110   25200    0     3.3    -0.3     3.0     4.5    42.6   355.4
2012 07 02  0800   56110   28800    0     3.9    -0.3    -0.1     3.9    -1.0   355.4
2012 07 02  0900   56110   32400    0     3.4    -0.8    -0.2     3.5    -4.0   346.7
2012 07 02  1000   56110   36000    0     2.6    -0.8    -0.5     2.8    -9.6   343.0
2012 07 02  1100   56110   39600    0     1.5    -1.5     1.7     2.7    39.7   315.5
2012 07 02  1200   56110   43200    0     1.0    -0.7    -4.4     4.6   -74.9   326.4
2012 07 02  1300   56110   46800    0     0.1     0.7    -3.7     3.8   -78.6    79.2
2012 07 02  1400   56110   50400    0    -0.3    -2.3    -3.6     4.3   -56.9   263.6
2012 07 02  1500   56110   54000    0     0.3    -1.3    -4.4     4.6   -73.9   281.5
2012 07 02  1600   56110   57600    0     3.5    -0.7    -0.6     3.6    -9.6   349.4
2012 07 02  1700   56110   61200    0     2.6    -1.6     0.5     3.1     9.6   328.3
2012 07 02  1800   56110   64800    0     2.1    -1.6    -1.0     2.8   -20.7   323.4
2012 07 02  1900   56110   68400    0     2.7    -0.8    -0.7     2.9   -13.7   343.7
2012 07 02  2000   56110   72000    0     1.8    -0.4    -1.0     2.1   -27.5   347.9
2012 07 02  2100   56110   75600    0     1.9    -0.5    -0.4     2.0   -12.4   345.8
2012 07 02  2200   56110   79200    0     1.6    -1.3    -0.2     2.1    -4.4   321.7
2012 07 02  2300   56110   82800    0     1.1    -1.9    -0.8     2.3   -20.1   300.4
2012 07 03  0000   56111       0    0     0.7    -2.8    -0.2     2.8    -3.2   284.0
2012 07 03  0100   56111    3600    0     2.0    -2.2     0.7     3.1    13.9   312.8
2012 07 03  0200   56111    7200    0     1.8    -1.9    -0.2     2.6    -4.5   313.0
2012 07 03  0300   56111   10800    0     2.1    -2.5    -0.9     3.4   -14.9   310.7
2012 07 03  0400   56111   14400    0     2.3    -1.6     0.8     2.9    15.9   325.0
2012 07 03  0500   56111   18000    0     1.6    -2.4    -0.1     2.9    -1.8   303.6
2012 07 03  0600   56111   21600    0     2.3    -1.7    -0.4     2.9    -8.7   323.7
2012 07 03  0700   56111   25200    0     2.4    -0.7     1.0     2.7    22.4   342.6
2012 07 03  0800   56111   28800    0     0.6    -2.9    -1.9     3.5   -32.1   281.6
2012 07 03  0900   56111   32400    0     0.1    -2.8    -2.2     3.6   -38.3   272.3
2012 07 03  1000   56111   36000    0     2.1    -0.7    -1.7     2.8   -37.7   340.4
2012 07 03  1100   56111   39600    0     2.5    -0.8    -0.1     2.7    -3.1   343.0
2012 07 03  1200   56111   43200    0     1.1    -1.1    -2.3     2.8   -55.3   313.5
2012 07 03  1300   56111   46800    0     1.7    -0.2    -2.5     3.0   -55.9   353.0
