:Product: 201208_ace_sis_1h.txt
:Issued: 2012 Sep 01 0510 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# Hourly Averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the     ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day      S    > 10 MeV    S    > 30 MeV
#-------------------------------------------------------------------
2012 08 01  0000   56140       0      0    1.91e+00    0    9.58e-01
2012 08 01  0100   56140    3600      0    1.91e+00    0    9.72e-01
2012 08 01  0200   56140    7200      0    1.90e+00    0    9.54e-01
2012 08 01  0300   56140   10800      0    1.90e+00    0    9.72e-01
2012 08 01  0400   56140   14400      0    1.84e+00    0    9.38e-01
2012 08 01  0500   56140   18000      0    1.86e+00    0    9.45e-01
2012 08 01  0600   56140   21600      0    1.85e+00    0    9.46e-01
2012 08 01  0700   56140   25200      0    1.85e+00    0    9.56e-01
2012 08 01  0800   56140   28800      0    1.83e+00    0    9.38e-01
2012 08 01  0900   56140   32400      0    1.85e+00    0    9.45e-01
2012 08 01  1000   56140   36000      0    1.89e+00    0    9.54e-01
2012 08 01  1100   56140   39600      0    1.85e+00    0    9.43e-01
2012 08 01  1200   56140   43200      0    1.89e+00    0    9.60e-01
2012 08 01  1300   56140   46800      0    1.89e+00    0    9.54e-01
2012 08 01  1400   56140   50400      0    1.91e+00    0    9.54e-01
2012 08 01  1500   56140   54000      0    1.89e+00    0    9.47e-01
2012 08 01  1600   56140   57600      0    1.88e+00    0    9.48e-01
2012 08 01  1700   56140   61200      0    1.83e+00    0    9.16e-01
2012 08 01  1800   56140   64800      0    1.85e+00    0    9.49e-01
2012 08 01  1900   56140   68400      0    1.79e+00    0    9.36e-01
2012 08 01  2000   56140   72000      0    1.76e+00    0    9.22e-01
2012 08 01  2100   56140   75600      0    1.70e+00    0    9.04e-01
2012 08 01  2200   56140   79200      0    1.71e+00    0    9.07e-01
