:Product: 201410_ace_swepam_1h.txt
:Issued: 2014 Oct 07 0810 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   Hourly Averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2014 10 01  0000   56931       0    0        4.9      387.5     1.17e+05
2014 10 01  0100   56931    3600    0        4.5      381.2     1.33e+05
2014 10 01  0200   56931    7200    1        3.9      381.8     9.45e+04
2014 10 01  0300   56931   10800    0        4.3      384.7     1.24e+05
2014 10 01  0400   56931   14400    0        4.6      391.9     8.06e+04
2014 10 01  0500   56931   18000    0        5.1      398.4     8.44e+04
2014 10 01  0600   56931   21600    0        4.8      385.3     7.58e+04
2014 10 01  0700   56931   25200    1        4.1      379.7     8.48e+04
2014 10 01  0800   56931   28800    0        4.4      387.1     7.69e+04
2014 10 01  0900   56931   32400    0        4.6      373.0     6.22e+04
2014 10 01  1000   56931   36000    0        4.6      372.3     6.27e+04
2014 10 01  1100   56931   39600    0        4.6      374.6     6.51e+04
2014 10 01  1200   56931   43200    0        4.6      364.5     6.71e+04
2014 10 01  1300   56931   46800    0        4.3      372.5     5.79e+04
2014 10 01  1400   56931   50400    0        4.4      377.3     5.53e+04
2014 10 01  1500   56931   54000    0        4.0      386.1     8.13e+04
2014 10 01  1600   56931   57600    0        4.6      395.4     8.72e+04
2014 10 01  1700   56931   61200    1        4.1      373.1     8.66e+04
2014 10 01  1800   56931   64800    0        4.5      372.1     9.39e+04
2014 10 01  1900   56931   68400    0        5.6      370.0     9.10e+04
2014 10 01  2000   56931   72000    0        4.3      371.4     9.10e+04
2014 10 01  2100   56931   75600    0        4.4      372.7     9.72e+04
2014 10 01  2200   56931   79200    0        4.4      365.9     9.31e+04
2014 10 01  2300   56931   82800    0        4.8      374.1     7.19e+04
2014 10 02  0000   56932       0    0        5.1      381.2     8.95e+04
2014 10 02  0100   56932    3600    0        5.1      370.3     6.51e+04
2014 10 02  0200   56932    7200    0        5.3      373.7     9.87e+04
2014 10 02  0300   56932   10800    0        6.1      365.9     7.82e+04
2014 10 02  0400   56932   14400    0        4.8      365.2     8.53e+04
2014 10 02  0500   56932   18000    0        5.4      363.1     7.55e+04
2014 10 02  0600   56932   21600    0        4.0      362.1     1.02e+05
2014 10 02  0700   56932   25200    1        5.7      367.3     8.13e+04
2014 10 02  0800   56932   28800    0        3.4      357.4     1.15e+05
2014 10 02  0900   56932   32400    0        3.5      371.4     7.17e+04
2014 10 02  1000   56932   36000    3    -9999.9    -9999.9    -1.00e+05
2014 10 02  1100   56932   39600    0        3.4      359.7     8.05e+04
2014 10 02  1200   56932   43200    0        3.3      378.3     7.13e+04
2014 10 02  1300   56932   46800    0        3.7      371.7     6.07e+04
2014 10 02  1400   56932   50400    0        3.6      374.9     6.40e+04
2014 10 02  1500   56932   54000    0        3.5      377.5     6.08e+04
2014 10 02  1600   56932   57600    0        3.8      388.1     7.39e+04
2014 10 02  1700   56932   61200    0        3.6      392.7     7.66e+04
2014 10 02  1800   56932   64800    0        3.7      379.7     7.70e+04
2014 10 02  1900   56932   68400    0        3.7      380.0     8.24e+04
2014 10 02  2000   56932   72000    0        5.0      381.6     6.63e+04
2014 10 02  2100   56932   75600    0        4.8      380.5     4.94e+04
2014 10 02  2200   56932   79200    1        4.4      381.3     4.63e+04
2014 10 02  2300   56932   82800    0        5.0      384.3     5.21e+04
2014 10 03  0000   56933       0    0        4.8      378.3     4.31e+04
2014 10 03  0100   56933    3600    0        5.3      365.5     3.81e+04
2014 10 03  0200   56933    7200    0        4.5      353.8     2.36e+04
2014 10 03  0300   56933   10800    0        6.1      354.1     2.63e+04
2014 10 03  0400   56933   14400    1        6.6      355.9     3.34e+04
2014 10 03  0500   56933   18000    0        6.6      352.1     2.86e+04
2014 10 03  0600   56933   21600    0        6.9      349.6     2.85e+04
2014 10 03  0700   56933   25200    0        7.5      344.6     2.61e+04
2014 10 03  0800   56933   28800    0        7.2      344.4     3.42e+04
2014 10 03  0900   56933   32400    0        6.3      343.2     3.60e+04
2014 10 03  1000   56933   36000    0        6.5      339.7     3.06e+04
2014 10 03  1100   56933   39600    0        5.8      336.2     2.51e+04
2014 10 03  1200   56933   43200    0        6.2      334.8     3.25e+04
2014 10 03  1300   56933   46800    0        6.0      333.6     2.66e+04
2014 10 03  1400   56933   50400    0        8.6      339.1     2.18e+04
2014 10 03  1500   56933   54000    0        9.2      340.1     1.68e+04
2014 10 03  1600   56933   57600    0        9.3      337.9     2.10e+04
2014 10 03  1700   56933   61200    0        9.4      337.4     2.85e+04
2014 10 03  1800   56933   64800    0        9.0      335.3     3.12e+04
2014 10 03  1900   56933   68400    0        9.6      332.7     2.84e+04
2014 10 03  2000   56933   72000    0       10.0      329.7     2.35e+04
2014 10 03  2100   56933   75600    0       11.5      330.1     1.93e+04
2014 10 03  2200   56933   79200    0       12.2      332.8     2.07e+04
2014 10 03  2300   56933   82800    0       11.3      331.6     2.28e+04
2014 10 04  0000   56934       0    0       14.1      337.2     2.21e+04
2014 10 04  0100   56934    3600    0       15.8      343.5     2.91e+04
2014 10 04  0200   56934    7200    0       13.8      341.3     2.89e+04
2014 10 04  0300   56934   10800    0        6.4      327.3     3.73e+04
2014 10 04  0400   56934   14400    0       13.2      335.9     2.59e+04
2014 10 04  0500   56934   18000    0       19.9      343.8     2.65e+04
2014 10 04  0600   56934   21600    0       16.8      347.4     2.24e+04
2014 10 04  0700   56934   25200    0       16.9      356.5     3.69e+04
2014 10 04  0800   56934   28800    0       11.1      356.7     9.05e+04
2014 10 04  0900   56934   32400    1       10.0      359.4     9.90e+04
2014 10 04  1000   56934   36000    0       12.4      367.8     8.79e+04
2014 10 04  1100   56934   39600    1       11.1      364.5     9.15e+04
2014 10 04  1200   56934   43200    1        8.7      372.7     1.35e+05
2014 10 04  1300   56934   46800    1       10.6      373.7     1.37e+05
2014 10 04  1400   56934   50400    0        9.3      372.5     1.34e+05
2014 10 04  1500   56934   54000    1        6.7      370.6     1.41e+05
2014 10 04  1600   56934   57600    1        6.3      375.5     1.57e+05
2014 10 04  1700   56934   61200    0        4.4      379.8     1.78e+05
2014 10 04  1800   56934   64800    1        2.7      385.0     2.02e+05
2014 10 04  1900   56934   68400    1        3.7      387.6     2.42e+05
2014 10 04  2000   56934   72000    0        4.4      384.4     2.23e+05
2014 10 04  2100   56934   75600    3    -9999.9    -9999.9    -1.00e+05
2014 10 04  2200   56934   79200    0        5.3      399.1     1.98e+05
2014 10 04  2300   56934   82800    0        6.0      400.3     1.74e+05
2014 10 05  0000   56935       0    0        5.7      393.3     1.58e+05
2014 10 05  0100   56935    3600    1        3.8      419.2     2.17e+05
2014 10 05  0200   56935    7200    0        6.0      401.6     1.65e+05
2014 10 05  0300   56935   10800    0        4.8      417.0     2.34e+05
2014 10 05  0400   56935   14400    0        8.4      383.9     1.63e+05
2014 10 05  0500   56935   18000    1        6.5      394.4     1.84e+05
2014 10 05  0600   56935   21600    0        8.3      398.2     1.87e+05
2014 10 05  0700   56935   25200    0        7.7      402.3     1.80e+05
2014 10 05  0800   56935   28800    1        7.7      383.6     1.40e+05
2014 10 05  0900   56935   32400    1        8.2      392.4     1.42e+05
2014 10 05  1000   56935   36000    0        8.4      379.9     1.42e+05
2014 10 05  1100   56935   39600    1        6.7      364.9     1.10e+05
2014 10 05  1200   56935   43200    1        5.6      371.6     1.00e+05
2014 10 05  1300   56935   46800    0        4.6      375.2     9.86e+04
2014 10 05  1400   56935   50400    0        4.7      395.3     9.98e+04
2014 10 05  1500   56935   54000    0        3.7      400.8     8.13e+04
2014 10 05  1600   56935   57600    0        4.1      417.3     8.79e+04
2014 10 05  1700   56935   61200    0        3.8      403.0     9.53e+04
2014 10 05  1800   56935   64800    0        3.6      422.1     8.08e+04
2014 10 05  1900   56935   68400    0        4.3      413.5     1.14e+05
2014 10 05  2000   56935   72000    0        3.4      418.6     1.00e+05
2014 10 05  2100   56935   75600    0        3.8      404.6     9.96e+04
2014 10 05  2200   56935   79200    1        4.0      412.7     1.22e+05
2014 10 05  2300   56935   82800    1        4.5      414.3     1.24e+05
2014 10 06  0000   56936       0    0        4.2      410.6     1.23e+05
2014 10 06  0100   56936    3600    1        4.3      402.3     1.04e+05
2014 10 06  0200   56936    7200    0        4.6      399.0     1.21e+05
