:Product: 201507_ace_sis_1h.txt
:Issued: 2015 Jul 05 0810 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# Hourly Averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the     ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day      S    > 10 MeV    S    > 30 MeV
#-------------------------------------------------------------------
2015 07 01  0000   57204       0      0    1.29e+00    0    8.25e-01
2015 07 01  0100   57204    3600      0    1.29e+00    0    8.25e-01
2015 07 01  0200   57204    7200      0    1.28e+00    0    8.25e-01
2015 07 01  0300   57204   10800      0    1.28e+00    0    8.27e-01
2015 07 01  0400   57204   14400      0    1.26e+00    0    8.21e-01
2015 07 01  0500   57204   18000      0    1.24e+00    0    8.12e-01
2015 07 01  0600   57204   21600      0    1.26e+00    0    8.24e-01
2015 07 01  0700   57204   25200      0    1.23e+00    0    8.17e-01
2015 07 01  0800   57204   28800      0    1.22e+00    0    8.12e-01
2015 07 01  0900   57204   32400      0    1.22e+00    0    8.15e-01
2015 07 01  1000   57204   36000      0    1.21e+00    0    8.11e-01
2015 07 01  1100   57204   39600      0    1.20e+00    0    8.10e-01
2015 07 01  1200   57204   43200      0    1.20e+00    0    8.08e-01
2015 07 01  1300   57204   46800      0    1.19e+00    0    8.05e-01
2015 07 01  1400   57204   50400      0    1.18e+00    0    8.07e-01
2015 07 01  1500   57204   54000      0    1.23e+00    0    8.36e-01
2015 07 01  1600   57204   57600      0    2.18e+00    0    9.91e-01
2015 07 01  1700   57204   61200      0    3.85e+00    0    1.12e+00
2015 07 01  1800   57204   64800      0    3.98e+00    0    1.13e+00
2015 07 01  1900   57204   68400      0    3.55e+00    0    1.09e+00
2015 07 01  2000   57204   72000      0    3.91e+00    0    1.10e+00
2015 07 01  2100   57204   75600      0    4.31e+00    0    1.13e+00
2015 07 01  2200   57204   79200      0    5.24e+00    0    1.19e+00
2015 07 01  2300   57204   82800      0    4.79e+00    0    1.14e+00
2015 07 02  0000   57205       0      0    4.40e+00    0    1.12e+00
2015 07 02  0100   57205    3600      0    4.61e+00    0    1.14e+00
2015 07 02  0200   57205    7200      0    4.72e+00    0    1.14e+00
2015 07 02  0300   57205   10800      0    3.99e+00    0    1.11e+00
2015 07 02  0400   57205   14400      0    3.64e+00    0    1.11e+00
2015 07 02  0500   57205   18000      0    3.39e+00    0    1.07e+00
2015 07 02  0600   57205   21600      0    3.21e+00    0    1.06e+00
2015 07 02  0700   57205   25200      0    3.12e+00    0    1.07e+00
2015 07 02  0800   57205   28800      0    2.85e+00    0    1.04e+00
2015 07 02  0900   57205   32400      0    2.89e+00    0    1.05e+00
2015 07 02  1000   57205   36000      0    2.73e+00    0    1.04e+00
2015 07 02  1100   57205   39600      0    3.25e+00    0    1.10e+00
2015 07 02  1200   57205   43200      0    3.61e+00    0    1.16e+00
2015 07 02  1300   57205   46800      0    2.49e+00    0    1.04e+00
2015 07 02  1400   57205   50400      0    2.21e+00    0    9.77e-01
2015 07 02  1500   57205   54000      0    2.13e+00    0    9.67e-01
2015 07 02  1600   57205   57600      0    2.10e+00    0    9.89e-01
2015 07 02  1700   57205   61200      0    2.07e+00    0    9.82e-01
2015 07 02  1800   57205   64800      0    1.99e+00    0    9.74e-01
2015 07 02  1900   57205   68400      0    1.93e+00    0    9.56e-01
2015 07 02  2000   57205   72000      0    1.92e+00    0    9.53e-01
2015 07 02  2100   57205   75600      0    1.86e+00    0    9.49e-01
2015 07 02  2200   57205   79200      0    1.81e+00    0    9.39e-01
2015 07 02  2300   57205   82800      0    1.86e+00    0    9.50e-01
2015 07 03  0000   57206       0      0    1.98e+00    0    9.67e-01
2015 07 03  0100   57206    3600      0    2.01e+00    0    9.73e-01
2015 07 03  0200   57206    7200      0    1.88e+00    0    9.54e-01
2015 07 03  0300   57206   10800      0    1.79e+00    0    9.42e-01
2015 07 03  0400   57206   14400      0    1.78e+00    0    9.28e-01
2015 07 03  0500   57206   18000      0    1.74e+00    0    9.33e-01
2015 07 03  0600   57206   21600      0    1.67e+00    0    9.21e-01
2015 07 03  0700   57206   25200      0    1.63e+00    0    9.08e-01
2015 07 03  0800   57206   28800      0    1.60e+00    0    9.09e-01
2015 07 03  0900   57206   32400      0    1.60e+00    0    9.11e-01
2015 07 03  1000   57206   36000      0    1.60e+00    0    9.11e-01
2015 07 03  1100   57206   39600      0    1.61e+00    0    9.10e-01
2015 07 03  1200   57206   43200      0    1.54e+00    0    8.96e-01
2015 07 03  1300   57206   46800      0    1.55e+00    0    9.05e-01
2015 07 03  1400   57206   50400      0    1.57e+00    0    8.94e-01
2015 07 03  1500   57206   54000      0    1.44e+00    0    8.80e-01
2015 07 03  1600   57206   57600      0    1.42e+00    0    8.74e-01
2015 07 03  1700   57206   61200      0    1.46e+00    0    8.83e-01
2015 07 03  1800   57206   64800      0    1.46e+00    0    8.99e-01
2015 07 03  1900   57206   68400      0    1.48e+00    0    8.86e-01
2015 07 03  2000   57206   72000      0    1.46e+00    0    8.91e-01
2015 07 03  2100   57206   75600      0    1.47e+00    0    8.94e-01
2015 07 03  2200   57206   79200      0    1.46e+00    0    8.96e-01
2015 07 03  2300   57206   82800      0    1.46e+00    0    8.90e-01
2015 07 04  0000   57207       0      0    1.47e+00    0    8.99e-01
2015 07 04  0100   57207    3600      0    1.44e+00    0    8.94e-01
2015 07 04  0200   57207    7200      0    1.44e+00    0    8.87e-01
2015 07 04  0300   57207   10800      0    1.43e+00    0    8.90e-01
2015 07 04  0400   57207   14400      0    1.42e+00    0    8.88e-01
2015 07 04  0500   57207   18000      0    1.43e+00    0    8.96e-01
2015 07 04  0600   57207   21600      0    1.40e+00    0    8.87e-01
2015 07 04  0700   57207   25200      0    1.36e+00    0    8.75e-01
2015 07 04  0800   57207   28800      0    1.36e+00    0    8.74e-01
2015 07 04  0900   57207   32400      0    1.35e+00    0    8.68e-01
2015 07 04  1000   57207   36000      0    1.34e+00    0    8.69e-01
2015 07 04  1100   57207   39600      0    1.33e+00    0    8.72e-01
2015 07 04  1200   57207   43200      0    1.32e+00    0    8.67e-01
2015 07 04  1300   57207   46800      0    1.30e+00    0    8.63e-01
2015 07 04  1400   57207   50400      0    1.28e+00    0    8.53e-01
2015 07 04  1500   57207   54000      0    1.24e+00    0    8.37e-01
2015 07 04  1600   57207   57600      0    1.22e+00    0    8.28e-01
2015 07 04  1700   57207   61200      0    1.22e+00    0    8.37e-01
2015 07 04  1800   57207   64800      0    1.20e+00    0    8.24e-01
2015 07 04  1900   57207   68400      0    1.17e+00    0    8.10e-01
2015 07 04  2000   57207   72000      0    1.17e+00    0    8.12e-01
2015 07 04  2100   57207   75600      0    1.17e+00    0    8.10e-01
2015 07 04  2200   57207   79200      0    1.17e+00    0    8.11e-01
2015 07 04  2300   57207   82800      0    1.16e+00    0    8.10e-01
2015 07 05  0000   57208       0      0    1.17e+00    0    8.17e-01
2015 07 05  0100   57208    3600      0    1.16e+00    0    8.11e-01
2015 07 05  0200   57208    7200      0    1.17e+00    0    8.16e-01
2015 07 05  0300   57208   10800      0    1.16e+00    0    8.15e-01
2015 07 05  0400   57208   14400      0    1.16e+00    0    8.11e-01
2015 07 05  0500   57208   18000      0    1.15e+00    0    8.02e-01
2015 07 05  0600   57208   21600      0    1.15e+00    0    8.04e-01
2015 07 05  0700   57208   25200      0    1.16e+00    0    8.12e-01
