:Product: 201612_ace_loc_1h.txt
:Issued: 2016 Dec 01 0010 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: X, Y, and Z position in GSE coordinates in earth radii(Re)
#        Accuracy 0.1 earth radii (about 600 km)
# Range: X 0.0 to 300.0
# Range: Y and Z -200.0 to 200.0
# Missing data values: -999.9
#
#    Predicted ACE Satellite Locations in GSE Coordinates
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the    --- GSE Coordinates ---
# YR MO DA  HHMM    Day      Day       X        Y        Z
#-----------------------------------------------------------
2016 12 01  0000   57723       0     243.0     -2.3     23.2
2016 12 01  0100   57723    3600     243.0     -2.4     23.2
2016 12 01  0200   57723    7200     243.0     -2.5     23.2
2016 12 01  0300   57723   10800     243.0     -2.5     23.2
2016 12 01  0400   57723   14400     243.0     -2.6     23.2
2016 12 01  0500   57723   18000     243.0     -2.6     23.2
2016 12 01  0600   57723   21600     243.0     -2.7     23.2
2016 12 01  0700   57723   25200     243.0     -2.7     23.3
2016 12 01  0800   57723   28800     243.0     -2.8     23.3
2016 12 01  0900   57723   32400     243.0     -2.8     23.3
2016 12 01  1000   57723   36000     243.0     -2.9     23.3
2016 12 01  1100   57723   39600     243.0     -2.9     23.3
2016 12 01  1200   57723   43200     243.0     -3.0     23.3
2016 12 01  1300   57723   46800     243.0     -3.0     23.3
2016 12 01  1400   57723   50400     243.0     -3.1     23.3
2016 12 01  1500   57723   54000     243.0     -3.1     23.4
2016 12 01  1600   57723   57600     242.9     -3.2     23.4
2016 12 01  1700   57723   61200     242.9     -3.2     23.4
2016 12 01  1800   57723   64800     242.9     -3.3     23.4
2016 12 01  1900   57723   68400     242.9     -3.4     23.4
2016 12 01  2000   57723   72000     242.9     -3.4     23.4
2016 12 01  2100   57723   75600     242.9     -3.5     23.4
2016 12 01  2200   57723   79200     242.9     -3.5     23.4
2016 12 01  2300   57723   82800     242.9     -3.6     23.4
