:Product: 201701_ace_epam_1h.txt
:Issued: 2017 Jan 02 0910 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Differential Flux particles/cm2-s-ster-MeV
# Units: Anisotropy Index 0.0 - 2.0
# Status(S): 0 = nominal, 4,6,7,8 = bad data, unable to process, 9 = no data
# Missing data values: -1.00e+05, index = -1.00
# Source: ACE Satellite - Electron, Proton, and Alpha Monitor
#
#                      Hourly Averaged Real-time Differential Electron and Proton Flux 
# 
#                Modified Seconds ---------------------------- Differential Flux ---------------------------
# UT Date   Time  Julian  of the  ----- Electron -----   ------------------- Protons keV -------------------  Anis.
# YR MO DA  HHMM    Day    Day    S    38-53   175-315   S    47-68   115-195   310-580   795-1193 1060-1900  Index
#------------------------------------------------------------------------------------------------------------------
2017 01 01  0000   57754       0 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2017 01 01  0100   57754    3600 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2017 01 01  0200   57754    7200 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2017 01 01  0300   57754   10800 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2017 01 01  0400   57754   14400 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2017 01 01  0500   57754   18000 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2017 01 01  0600   57754   21600  0  9.28e+02  2.50e+01  0  3.46e+03  1.81e+01  2.44e+00  5.52e-01  1.80e-01  -1.00
2017 01 01  0700   57754   25200  0  9.47e+02  2.50e+01  0  3.46e+03  1.98e+01  2.23e+00  6.35e-01  1.57e-01  -1.00
2017 01 01  0800   57754   28800  0  9.45e+02  2.66e+01  0  3.46e+03  1.94e+01  2.42e+00  6.59e-01  1.86e-01  -1.00
2017 01 01  0900   57754   32400  0  9.74e+02  2.64e+01  0  3.59e+03  2.68e+01  2.35e+00  5.90e-01  1.76e-01  -1.00
2017 01 01  1000   57754   36000  0  9.70e+02  2.56e+01  0  3.60e+03  2.42e+01  2.44e+00  6.30e-01  1.64e-01  -1.00
2017 01 01  1100   57754   39600  0  9.86e+02  2.71e+01  0  3.50e+03  2.10e+01  2.25e+00  6.50e-01  1.89e-01  -1.00
2017 01 01  1200   57754   43200  0  1.00e+03  2.55e+01  0  3.46e+03  1.87e+01  2.39e+00  6.21e-01  1.66e-01  -1.00
2017 01 01  1300   57754   46800  0  9.75e+02  2.61e+01  0  3.45e+03  1.87e+01  2.37e+00  5.99e-01  1.75e-01  -1.00
2017 01 01  1400   57754   50400  0  1.01e+03  2.57e+01  0  3.46e+03  1.85e+01  2.38e+00  6.26e-01  1.66e-01  -1.00
2017 01 01  1500   57754   54000  0  1.00e+03  2.68e+01  0  3.44e+03  1.82e+01  2.33e+00  5.96e-01  1.76e-01  -1.00
2017 01 01  1600   57754   57600  0  1.04e+03  2.59e+01  0  3.43e+03  1.79e+01  2.46e+00  6.36e-01  1.91e-01  -1.00
2017 01 01  1700   57754   61200  0  1.06e+03  2.61e+01  0  3.43e+03  1.82e+01  2.38e+00  6.57e-01  1.67e-01  -1.00
2017 01 01  1800   57754   64800  0  1.04e+03  2.64e+01  0  3.43e+03  1.90e+01  2.32e+00  6.96e-01  1.71e-01  -1.00
2017 01 01  1900   57754   68400  0  1.07e+03  2.66e+01  0  3.43e+03  1.79e+01  2.36e+00  6.87e-01  2.00e-01  -1.00
2017 01 01  2000   57754   72000  0  1.03e+03  2.63e+01  0  3.44e+03  1.87e+01  2.43e+00  6.52e-01  1.77e-01  -1.00
2017 01 01  2100   57754   75600  0  1.06e+03  2.73e+01  0  3.45e+03  1.92e+01  2.48e+00  6.58e-01  1.91e-01  -1.00
2017 01 01  2200   57754   79200 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2017 01 01  2300   57754   82800 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2017 01 02  0000   57755       0 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2017 01 02  0100   57755    3600 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2017 01 02  0200   57755    7200 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2017 01 02  0300   57755   10800 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2017 01 02  0400   57755   14400 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2017 01 02  0500   57755   18000 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2017 01 02  0600   57755   21600  0  1.10e+03  2.83e+01  0  3.43e+03  1.96e+01  2.57e+00  7.56e-01  2.02e-01  -1.00
2017 01 02  0700   57755   25200  0  1.08e+03  2.70e+01  0  3.41e+03  2.00e+01  2.45e+00  7.57e-01  2.13e-01  -1.00
2017 01 02  0800   57755   28800  0  1.08e+03  2.71e+01  0  3.37e+03  2.00e+01  2.43e+00  7.58e-01  2.23e-01  -1.00
