:Product: 201705_ace_swepam_1h.txt
:Issued: 2017 May 02 0810 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   Hourly Averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2017 05 01  0000   57874       0    9    -9999.9    -9999.9    -1.00e+05
2017 05 01  0100   57874    3600    9    -9999.9    -9999.9    -1.00e+05
2017 05 01  0200   57874    7200    9    -9999.9    -9999.9    -1.00e+05
2017 05 01  0300   57874   10800    0        1.5      377.6     8.49e+04
2017 05 01  0400   57874   14400    0        2.1      380.7     6.14e+04
2017 05 01  0500   57874   18000    0        2.3      385.5     6.44e+04
2017 05 01  0600   57874   21600    0        2.2      388.1     6.30e+04
2017 05 01  0700   57874   25200    1        2.3      386.1     5.53e+04
2017 05 01  0800   57874   28800    0        2.8      384.7     7.79e+04
2017 05 01  0900   57874   32400    0        2.9      386.1     8.49e+04
2017 05 01  1000   57874   36000    0        3.1      394.1     7.86e+04
2017 05 01  1100   57874   39600    0        2.4      391.0     9.07e+04
2017 05 01  1200   57874   43200    0        3.1      383.8     7.67e+04
2017 05 01  1300   57874   46800    0        2.8      387.9     9.25e+04
2017 05 01  1400   57874   50400    0        2.7      396.5     7.61e+04
2017 05 01  1500   57874   54000    0        4.0      385.5     6.45e+04
2017 05 01  1600   57874   57600    0        5.2      381.9     4.14e+04
2017 05 01  1700   57874   61200    0        6.0      385.8     4.12e+04
2017 05 01  1800   57874   64800    0        5.5      388.3     5.43e+04
2017 05 01  1900   57874   68400    0        4.4      405.8     5.59e+04
2017 05 01  2000   57874   72000    0        3.3      397.9     6.82e+04
2017 05 01  2100   57874   75600    0        2.8      397.8     7.48e+04
2017 05 01  2200   57874   79200    0        3.0      402.8     7.85e+04
2017 05 01  2300   57874   82800    9    -9999.9    -9999.9    -1.00e+05
2017 05 02  0000   57875       0    9    -9999.9    -9999.9    -1.00e+05
2017 05 02  0100   57875    3600    9    -9999.9    -9999.9    -1.00e+05
2017 05 02  0200   57875    7200    9    -9999.9    -9999.9    -1.00e+05
2017 05 02  0300   57875   10800    9    -9999.9    -9999.9    -1.00e+05
2017 05 02  0400   57875   14400    0        7.0      417.8     6.16e+04
2017 05 02  0500   57875   18000    0        6.2      403.4     6.72e+04
2017 05 02  0600   57875   21600    0        6.3      413.6     5.35e+04
2017 05 02  0700   57875   25200    0        6.0      406.8     6.70e+04
