:Product: 201809_ace_loc_1h.txt
:Issued: 2018 Sep 19 0010 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: X, Y, and Z position in GSE coordinates in earth radii(Re)
#        Accuracy 0.1 earth radii (about 600 km)
# Range: X 0.0 to 300.0
# Range: Y and Z -200.0 to 200.0
# Missing data values: -999.9
#
#    Predicted ACE Satellite Locations in GSE Coordinates
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the    --- GSE Coordinates ---
# YR MO DA  HHMM    Day      Day       X        Y        Z
#-----------------------------------------------------------
2018 09 01  0000   58362       0    -999.9   -999.9   -999.9
2018 09 01  0100   58362    3600    -999.9   -999.9   -999.9
2018 09 01  0200   58362    7200    -999.9   -999.9   -999.9
2018 09 01  0300   58362   10800    -999.9   -999.9   -999.9
2018 09 01  0400   58362   14400    -999.9   -999.9   -999.9
2018 09 01  0500   58362   18000    -999.9   -999.9   -999.9
2018 09 01  0600   58362   21600    -999.9   -999.9   -999.9
2018 09 01  0700   58362   25200    -999.9   -999.9   -999.9
2018 09 01  0800   58362   28800    -999.9   -999.9   -999.9
2018 09 01  0900   58362   32400    -999.9   -999.9   -999.9
2018 09 01  1000   58362   36000    -999.9   -999.9   -999.9
2018 09 01  1100   58362   39600    -999.9   -999.9   -999.9
2018 09 01  1200   58362   43200    -999.9   -999.9   -999.9
2018 09 01  1300   58362   46800    -999.9   -999.9   -999.9
2018 09 01  1400   58362   50400    -999.9   -999.9   -999.9
2018 09 01  1500   58362   54000    -999.9   -999.9   -999.9
2018 09 01  1600   58362   57600    -999.9   -999.9   -999.9
2018 09 01  1700   58362   61200    -999.9   -999.9   -999.9
2018 09 01  1800   58362   64800    -999.9   -999.9   -999.9
2018 09 01  1900   58362   68400    -999.9   -999.9   -999.9
2018 09 01  2000   58362   72000    -999.9   -999.9   -999.9
2018 09 01  2100   58362   75600    -999.9   -999.9   -999.9
2018 09 01  2200   58362   79200    -999.9   -999.9   -999.9
2018 09 01  2300   58362   82800    -999.9   -999.9   -999.9
2018 09 02  0000   58363       0    -999.9   -999.9   -999.9
2018 09 02  0100   58363    3600    -999.9   -999.9   -999.9
2018 09 02  0200   58363    7200    -999.9   -999.9   -999.9
2018 09 02  0300   58363   10800    -999.9   -999.9   -999.9
2018 09 02  0400   58363   14400    -999.9   -999.9   -999.9
2018 09 02  0500   58363   18000    -999.9   -999.9   -999.9
2018 09 02  0600   58363   21600    -999.9   -999.9   -999.9
2018 09 02  0700   58363   25200    -999.9   -999.9   -999.9
2018 09 02  0800   58363   28800    -999.9   -999.9   -999.9
2018 09 02  0900   58363   32400    -999.9   -999.9   -999.9
2018 09 02  1000   58363   36000    -999.9   -999.9   -999.9
2018 09 02  1100   58363   39600    -999.9   -999.9   -999.9
2018 09 02  1200   58363   43200    -999.9   -999.9   -999.9
2018 09 02  1300   58363   46800    -999.9   -999.9   -999.9
2018 09 02  1400   58363   50400    -999.9   -999.9   -999.9
2018 09 02  1500   58363   54000    -999.9   -999.9   -999.9
2018 09 02  1600   58363   57600    -999.9   -999.9   -999.9
2018 09 02  1700   58363   61200    -999.9   -999.9   -999.9
2018 09 02  1800   58363   64800    -999.9   -999.9   -999.9
2018 09 02  1900   58363   68400    -999.9   -999.9   -999.9
2018 09 02  2000   58363   72000    -999.9   -999.9   -999.9
2018 09 02  2100   58363   75600    -999.9   -999.9   -999.9
2018 09 02  2200   58363   79200    -999.9   -999.9   -999.9
2018 09 02  2300   58363   82800    -999.9   -999.9   -999.9
2018 09 03  0000   58364       0    -999.9   -999.9   -999.9
2018 09 03  0100   58364    3600    -999.9   -999.9   -999.9
2018 09 03  0200   58364    7200    -999.9   -999.9   -999.9
2018 09 03  0300   58364   10800    -999.9   -999.9   -999.9
2018 09 03  0400   58364   14400    -999.9   -999.9   -999.9
2018 09 03  0500   58364   18000    -999.9   -999.9   -999.9
2018 09 03  0600   58364   21600    -999.9   -999.9   -999.9
2018 09 03  0700   58364   25200    -999.9   -999.9   -999.9
2018 09 03  0800   58364   28800    -999.9   -999.9   -999.9
2018 09 03  0900   58364   32400    -999.9   -999.9   -999.9
2018 09 03  1000   58364   36000    -999.9   -999.9   -999.9
2018 09 03  1100   58364   39600    -999.9   -999.9   -999.9
2018 09 03  1200   58364   43200    -999.9   -999.9   -999.9
2018 09 03  1300   58364   46800    -999.9   -999.9   -999.9
2018 09 03  1400   58364   50400    -999.9   -999.9   -999.9
2018 09 03  1500   58364   54000    -999.9   -999.9   -999.9
2018 09 03  1600   58364   57600    -999.9   -999.9   -999.9
2018 09 03  1700   58364   61200    -999.9   -999.9   -999.9
2018 09 03  1800   58364   64800    -999.9   -999.9   -999.9
2018 09 03  1900   58364   68400    -999.9   -999.9   -999.9
2018 09 03  2000   58364   72000    -999.9   -999.9   -999.9
2018 09 03  2100   58364   75600    -999.9   -999.9   -999.9
2018 09 03  2200   58364   79200    -999.9   -999.9   -999.9
2018 09 03  2300   58364   82800    -999.9   -999.9   -999.9
2018 09 04  0000   58365       0    -999.9   -999.9   -999.9
