:Product: 201811_ace_loc_1h.txt
:Issued: 2018 Nov 05 0010 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: X, Y, and Z position in GSE coordinates in earth radii(Re)
#        Accuracy 0.1 earth radii (about 600 km)
# Range: X 0.0 to 300.0
# Range: Y and Z -200.0 to 200.0
# Missing data values: -999.9
#
#    Predicted ACE Satellite Locations in GSE Coordinates
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the    --- GSE Coordinates ---
# YR MO DA  HHMM    Day      Day       X        Y        Z
#-----------------------------------------------------------
2018 11 01  0000   58423       0    -999.9   -999.9   -999.9
2018 11 01  0100   58423    3600    -999.9   -999.9   -999.9
2018 11 01  0200   58423    7200    -999.9   -999.9   -999.9
2018 11 01  0300   58423   10800    -999.9   -999.9   -999.9
2018 11 01  0400   58423   14400    -999.9   -999.9   -999.9
2018 11 01  0500   58423   18000    -999.9   -999.9   -999.9
2018 11 01  0600   58423   21600    -999.9   -999.9   -999.9
2018 11 01  0700   58423   25200    -999.9   -999.9   -999.9
2018 11 01  0800   58423   28800    -999.9   -999.9   -999.9
2018 11 01  0900   58423   32400    -999.9   -999.9   -999.9
2018 11 01  1000   58423   36000    -999.9   -999.9   -999.9
2018 11 01  1100   58423   39600    -999.9   -999.9   -999.9
2018 11 01  1200   58423   43200    -999.9   -999.9   -999.9
2018 11 01  1300   58423   46800    -999.9   -999.9   -999.9
2018 11 01  1400   58423   50400    -999.9   -999.9   -999.9
2018 11 01  1500   58423   54000    -999.9   -999.9   -999.9
2018 11 01  1600   58423   57600    -999.9   -999.9   -999.9
2018 11 01  1700   58423   61200    -999.9   -999.9   -999.9
2018 11 01  1800   58423   64800    -999.9   -999.9   -999.9
2018 11 01  1900   58423   68400    -999.9   -999.9   -999.9
2018 11 01  2000   58423   72000    -999.9   -999.9   -999.9
2018 11 01  2100   58423   75600    -999.9   -999.9   -999.9
2018 11 01  2200   58423   79200    -999.9   -999.9   -999.9
2018 11 01  2300   58423   82800    -999.9   -999.9   -999.9
2018 11 02  0000   58424       0    -999.9   -999.9   -999.9
2018 11 02  0100   58424    3600    -999.9   -999.9   -999.9
2018 11 02  0200   58424    7200    -999.9   -999.9   -999.9
2018 11 02  0300   58424   10800    -999.9   -999.9   -999.9
2018 11 02  0400   58424   14400    -999.9   -999.9   -999.9
2018 11 02  0500   58424   18000    -999.9   -999.9   -999.9
2018 11 02  0600   58424   21600    -999.9   -999.9   -999.9
2018 11 02  0700   58424   25200    -999.9   -999.9   -999.9
2018 11 02  0800   58424   28800    -999.9   -999.9   -999.9
2018 11 02  0900   58424   32400    -999.9   -999.9   -999.9
2018 11 02  1000   58424   36000    -999.9   -999.9   -999.9
2018 11 02  1100   58424   39600    -999.9   -999.9   -999.9
2018 11 02  1200   58424   43200    -999.9   -999.9   -999.9
2018 11 02  1300   58424   46800    -999.9   -999.9   -999.9
2018 11 02  1400   58424   50400    -999.9   -999.9   -999.9
2018 11 02  1500   58424   54000    -999.9   -999.9   -999.9
2018 11 02  1600   58424   57600    -999.9   -999.9   -999.9
2018 11 02  1700   58424   61200    -999.9   -999.9   -999.9
2018 11 02  1800   58424   64800    -999.9   -999.9   -999.9
2018 11 02  1900   58424   68400    -999.9   -999.9   -999.9
2018 11 02  2000   58424   72000    -999.9   -999.9   -999.9
2018 11 02  2100   58424   75600    -999.9   -999.9   -999.9
2018 11 02  2200   58424   79200    -999.9   -999.9   -999.9
2018 11 02  2300   58424   82800    -999.9   -999.9   -999.9
2018 11 03  0000   58425       0    -999.9   -999.9   -999.9
2018 11 03  0100   58425    3600    -999.9   -999.9   -999.9
2018 11 03  0200   58425    7200    -999.9   -999.9   -999.9
2018 11 03  0300   58425   10800    -999.9   -999.9   -999.9
2018 11 03  0400   58425   14400    -999.9   -999.9   -999.9
2018 11 03  0500   58425   18000    -999.9   -999.9   -999.9
2018 11 03  0600   58425   21600    -999.9   -999.9   -999.9
2018 11 03  0700   58425   25200    -999.9   -999.9   -999.9
2018 11 03  0800   58425   28800    -999.9   -999.9   -999.9
2018 11 03  0900   58425   32400    -999.9   -999.9   -999.9
2018 11 03  1000   58425   36000    -999.9   -999.9   -999.9
2018 11 03  1100   58425   39600    -999.9   -999.9   -999.9
2018 11 03  1200   58425   43200    -999.9   -999.9   -999.9
2018 11 03  1300   58425   46800    -999.9   -999.9   -999.9
2018 11 03  1400   58425   50400    -999.9   -999.9   -999.9
2018 11 03  1500   58425   54000    -999.9   -999.9   -999.9
2018 11 03  1600   58425   57600    -999.9   -999.9   -999.9
2018 11 03  1700   58425   61200    -999.9   -999.9   -999.9
2018 11 03  1800   58425   64800    -999.9   -999.9   -999.9
2018 11 03  1900   58425   68400    -999.9   -999.9   -999.9
2018 11 03  2000   58425   72000    -999.9   -999.9   -999.9
2018 11 03  2100   58425   75600    -999.9   -999.9   -999.9
2018 11 03  2200   58425   79200    -999.9   -999.9   -999.9
2018 11 03  2300   58425   82800    -999.9   -999.9   -999.9
2018 11 04  0000   58426       0    -999.9   -999.9   -999.9
2018 11 04  0100   58426    3600    -999.9   -999.9   -999.9
2018 11 04  0200   58426    7200    -999.9   -999.9   -999.9
