:Product: 201911_ace_sis_1h.txt
:Issued: 2019 Nov 16 0910 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# Hourly Averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the     ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day      S    > 10 MeV    S    > 30 MeV
#-------------------------------------------------------------------
2019 11 01  0000   58788       0      0    2.41e+00    0    1.69e+00
2019 11 01  0100   58788    3600      0    2.40e+00    0    1.68e+00
2019 11 01  0200   58788    7200      0    2.42e+00    0    1.70e+00
2019 11 01  0300   58788   10800      0    2.42e+00    0    1.69e+00
2019 11 01  0400   58788   14400      0    2.42e+00    0    1.69e+00
2019 11 01  0500   58788   18000      0    2.42e+00    0    1.70e+00
2019 11 01  0600   58788   21600      0    2.42e+00    0    1.70e+00
2019 11 01  0700   58788   25200      0    2.41e+00    0    1.69e+00
2019 11 01  0800   58788   28800      0    2.41e+00    0    1.70e+00
2019 11 01  0900   58788   32400      0    2.43e+00    0    1.70e+00
2019 11 01  1000   58788   36000      0    2.42e+00    0    1.70e+00
2019 11 01  1100   58788   39600      0    2.41e+00    0    1.69e+00
2019 11 01  1200   58788   43200      0    2.39e+00    0    1.67e+00
2019 11 01  1300   58788   46800      0    2.40e+00    0    1.68e+00
2019 11 01  1400   58788   50400      0    2.42e+00    0    1.69e+00
2019 11 01  1500   58788   54000      0    2.40e+00    0    1.72e+00
2019 11 01  1600   58788   57600      0    2.41e+00    0    1.69e+00
2019 11 01  1700   58788   61200      0    2.41e+00    0    1.69e+00
2019 11 01  1800   58788   64800      0    2.41e+00    0    1.69e+00
2019 11 01  1900   58788   68400      0    2.38e+00    0    1.67e+00
2019 11 01  2000   58788   72000      0    2.42e+00    0    1.69e+00
2019 11 01  2100   58788   75600      0    2.39e+00    0    1.68e+00
2019 11 01  2200   58788   79200      0    2.42e+00    0    1.70e+00
2019 11 01  2300   58788   82800      0    2.42e+00    0    1.69e+00
2019 11 02  0000   58789       0      0    2.40e+00    0    1.69e+00
2019 11 02  0100   58789    3600      0    2.42e+00    0    1.69e+00
2019 11 02  0200   58789    7200      0    2.40e+00    0    1.69e+00
2019 11 02  0300   58789   10800      0    2.43e+00    0    1.71e+00
2019 11 02  0400   58789   14400      0    2.41e+00    0    1.69e+00
2019 11 02  0500   58789   18000      0    2.43e+00    0    1.71e+00
2019 11 02  0600   58789   21600      0    2.43e+00    0    1.70e+00
2019 11 02  0700   58789   25200      0    2.43e+00    0    1.71e+00
2019 11 02  0800   58789   28800      0    2.42e+00    0    1.68e+00
2019 11 02  0900   58789   32400      0    2.37e+00    0    1.65e+00
2019 11 02  1000   58789   36000      0    2.43e+00    0    1.71e+00
2019 11 02  1100   58789   39600      0    2.40e+00    0    1.69e+00
2019 11 02  1200   58789   43200      0    2.43e+00    0    1.70e+00
2019 11 02  1300   58789   46800      0    2.42e+00    0    1.70e+00
2019 11 02  1400   58789   50400      0    2.44e+00    0    1.71e+00
2019 11 02  1500   58789   54000      0    2.43e+00    0    1.70e+00
2019 11 02  1600   58789   57600      0    2.44e+00    0    1.71e+00
2019 11 02  1700   58789   61200      0    2.43e+00    0    1.71e+00
2019 11 02  1800   58789   64800      0    2.40e+00    0    1.68e+00
2019 11 02  1900   58789   68400      0    2.45e+00    0    1.72e+00
2019 11 02  2000   58789   72000      0    2.44e+00    0    1.72e+00
2019 11 02  2100   58789   75600      0    2.44e+00    0    1.71e+00
2019 11 02  2200   58789   79200      0    2.43e+00    0    1.71e+00
2019 11 02  2300   58789   82800      0    2.44e+00    0    1.72e+00
2019 11 03  0000   58790       0      0    2.45e+00    0    1.71e+00
2019 11 03  0100   58790    3600      0    2.45e+00    0    1.72e+00
2019 11 03  0200   58790    7200      0    2.47e+00    0    1.74e+00
2019 11 03  0300   58790   10800      0    2.39e+00    0    1.66e+00
2019 11 03  0400   58790   14400      0    2.47e+00    0    1.73e+00
2019 11 03  0500   58790   18000      0    2.45e+00    0    1.72e+00
2019 11 03  0600   58790   21600      0    2.46e+00    0    1.73e+00
2019 11 03  0700   58790   25200      0    2.46e+00    0    1.73e+00
2019 11 03  0800   58790   28800      0    2.44e+00    0    1.71e+00
2019 11 03  0900   58790   32400      0    2.46e+00    0    1.73e+00
2019 11 03  1000   58790   36000      0    2.43e+00    0    1.71e+00
2019 11 03  1100   58790   39600      0    2.45e+00    0    1.72e+00
2019 11 03  1200   58790   43200      0    2.45e+00    0    1.72e+00
2019 11 03  1300   58790   46800      0    2.43e+00    0    1.70e+00
2019 11 03  1400   58790   50400      0    2.42e+00    0    1.69e+00
2019 11 03  1500   58790   54000      0    2.42e+00    0    1.70e+00
2019 11 03  1600   58790   57600      0    2.44e+00    0    1.71e+00
2019 11 03  1700   58790   61200      0    2.44e+00    0    1.71e+00
2019 11 03  1800   58790   64800      0    2.48e+00    0    1.74e+00
2019 11 03  1900   58790   68400      0    2.48e+00    0    1.75e+00
2019 11 03  2000   58790   72000      0    1.90e+01    0    1.01e+01
2019 11 03  2100   58790   75600      0    2.43e+00    0    1.71e+00
2019 11 03  2200   58790   79200      0    2.44e+00    0    1.72e+00
2019 11 03  2300   58790   82800      0    2.43e+00    0    1.71e+00
2019 11 04  0000   58791       0      0    2.43e+00    0    1.70e+00
2019 11 04  0100   58791    3600      0    2.45e+00    0    1.72e+00
2019 11 04  0200   58791    7200      0    2.43e+00    0    1.71e+00
2019 11 04  0300   58791   10800      0    2.45e+00    0    1.72e+00
2019 11 04  0400   58791   14400      0    2.44e+00    0    1.72e+00
2019 11 04  0500   58791   18000      0    2.45e+00    0    1.72e+00
2019 11 04  0600   58791   21600      0    2.42e+00    0    1.69e+00
2019 11 04  0700   58791   25200      0    2.43e+00    0    1.70e+00
2019 11 04  0800   58791   28800      0    2.45e+00    0    1.72e+00
2019 11 04  0900   58791   32400      0    2.43e+00    0    1.70e+00
2019 11 04  1000   58791   36000      0    2.45e+00    0    1.72e+00
2019 11 04  1100   58791   39600      0    2.42e+00    0    1.69e+00
2019 11 04  1200   58791   43200      0    2.43e+00    0    1.71e+00
2019 11 04  1300   58791   46800      0    2.43e+00    0    1.71e+00
2019 11 04  1400   58791   50400      0    2.43e+00    0    1.71e+00
2019 11 04  1500   58791   54000      0    2.43e+00    0    1.72e+00
2019 11 04  1600   58791   57600      0    2.43e+00    0    1.70e+00
2019 11 04  1700   58791   61200      0    2.43e+00    0    1.71e+00
2019 11 04  1800   58791   64800      0    2.42e+00    0    1.69e+00
2019 11 04  1900   58791   68400      0    2.45e+00    0    1.72e+00
2019 11 04  2000   58791   72000      0    2.41e+00    0    1.70e+00
2019 11 04  2100   58791   75600      0    2.44e+00    0    1.71e+00
2019 11 04  2200   58791   79200      0    2.42e+00    0    1.70e+00
2019 11 04  2300   58791   82800      0    2.43e+00    0    1.70e+00
2019 11 05  0000   58792       0      0    2.44e+00    0    1.71e+00
2019 11 05  0100   58792    3600      0    2.44e+00    0    1.71e+00
2019 11 05  0200   58792    7200      0    2.44e+00    0    1.71e+00
2019 11 05  0300   58792   10800      0    2.42e+00    0    1.70e+00
2019 11 05  0400   58792   14400      0    2.43e+00    0    1.71e+00
2019 11 05  0500   58792   18000      0    2.44e+00    0    1.71e+00
2019 11 05  0600   58792   21600      0    2.44e+00    0    1.71e+00
2019 11 05  0700   58792   25200      0    2.42e+00    0    1.70e+00
2019 11 05  0800   58792   28800      0    2.43e+00    0    1.70e+00
2019 11 05  0900   58792   32400      0    2.44e+00    0    1.72e+00
2019 11 05  1000   58792   36000      0    2.43e+00    0    1.70e+00
2019 11 05  1100   58792   39600      0    2.43e+00    0    1.70e+00
2019 11 05  1200   58792   43200      0    2.43e+00    0    1.71e+00
2019 11 05  1300   58792   46800      0    2.43e+00    0    1.70e+00
2019 11 05  1400   58792   50400      0    2.44e+00    0    1.71e+00
2019 11 05  1500   58792   54000      0    2.43e+00    0    1.71e+00
2019 11 05  1600   58792   57600      0    2.45e+00    0    1.72e+00
2019 11 05  1700   58792   61200      0    2.42e+00    0    1.69e+00
2019 11 05  1800   58792   64800      0    2.46e+00    0    1.73e+00
2019 11 05  1900   58792   68400      0    2.43e+00    0    1.69e+00
2019 11 05  2000   58792   72000      0    2.46e+00    0    1.73e+00
2019 11 05  2100   58792   75600      0    2.39e+00    0    1.64e+00
2019 11 05  2200   58792   79200      0    2.45e+00    0    1.72e+00
2019 11 05  2300   58792   82800      0    2.46e+00    0    1.72e+00
2019 11 06  0000   58793       0      0    2.45e+00    0    1.71e+00
2019 11 06  0100   58793    3600      0    2.45e+00    0    1.72e+00
2019 11 06  0200   58793    7200      0    2.45e+00    0    1.72e+00
2019 11 06  0300   58793   10800      0    2.46e+00    0    1.73e+00
2019 11 06  0400   58793   14400      0    2.43e+00    0    1.70e+00
2019 11 06  0500   58793   18000      0    2.46e+00    0    1.72e+00
2019 11 06  0600   58793   21600      0    2.44e+00    0    1.71e+00
2019 11 06  0700   58793   25200      0    2.44e+00    0    1.71e+00
2019 11 06  0800   58793   28800      0    2.47e+00    0    1.73e+00
2019 11 06  0900   58793   32400      0    2.48e+00    0    1.74e+00
2019 11 06  1000   58793   36000      0    2.46e+00    0    1.73e+00
