:Product: 202101_ace_mag_1h.txt
:Issued: 2021 Jan 10 0910 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              Hourly Averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2021 01 01  0000   59215       0    0    -1.2    -2.3     1.2     2.8    24.8   242.4
2021 01 01  0100   59215    3600    0     0.0    -1.4     0.6     1.5    22.8   271.7
2021 01 01  0200   59215    7200    0    -0.1    -2.0     1.4     2.4    34.2   266.9
2021 01 01  0300   59215   10800    0     0.2    -1.9     0.9     2.1    24.8   274.8
2021 01 01  0400   59215   14400    0     0.0    -1.0    -0.6     1.1   -30.8   272.3
2021 01 01  0500   59215   18000    0     0.1    -0.7    -2.7     2.8   -75.8   277.1
2021 01 01  0600   59215   21600    0    -0.9    -0.4    -2.6     2.8   -69.0   204.0
2021 01 01  0700   59215   25200    0    -2.4    -1.2     1.0     2.9    21.3   206.1
2021 01 01  0800   59215   28800    0    -2.0    -1.8     0.5     2.8     9.8   222.0
2021 01 01  0900   59215   32400    0    -1.7    -1.7     1.2     2.6    25.9   225.8
2021 01 01  1000   59215   36000    0    -1.3    -2.2     0.3     2.6     6.6   239.6
2021 01 01  1100   59215   39600    0     0.2    -1.2     0.7     1.4    30.4   277.7
2021 01 01  1200   59215   43200    0     1.9     0.9    -0.5     2.2   -12.3    24.6
2021 01 01  1300   59215   46800    0     1.8     0.0    -1.4     2.2   -37.8     0.8
2021 01 01  1400   59215   50400    0     1.6    -0.7     0.9     1.9    27.9   335.5
2021 01 01  1500   59215   54000    0     1.4    -1.5     2.2     3.0    46.6   313.1
2021 01 01  1600   59215   57600    0     0.9    -1.0     1.7     2.2    51.4   311.8
2021 01 01  1700   59215   61200    0     1.7    -1.5     0.4     2.3    10.5   319.0
2021 01 01  1800   59215   64800    0     0.9    -1.4    -1.3     2.1   -37.5   302.4
2021 01 01  1900   59215   68400    0     2.8    -0.3    -0.8     2.9   -15.3   354.8
2021 01 01  2000   59215   72000    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 01 01  2100   59215   75600    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 01 01  2200   59215   79200    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 01 01  2300   59215   82800    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2021 01 02  0000   59216       0    0     0.6    -0.7     2.4     2.6    68.2   312.6
2021 01 02  0100   59216    3600    0     1.6    -0.3     1.1     1.9    33.2   351.1
2021 01 02  0200   59216    7200    0     1.6     0.3     1.4     2.1    39.5    11.1
2021 01 02  0300   59216   10800    0     1.2    -0.4     2.1     2.4    59.2   340.9
2021 01 02  0400   59216   14400    0     0.3    -2.7     0.7     2.8    15.1   275.6
2021 01 02  0500   59216   18000    0    -0.2    -3.0    -0.0     3.0    -0.2   266.1
2021 01 02  0600   59216   21600    0     1.1    -1.8     1.6     2.7    37.5   301.9
2021 01 02  0700   59216   25200    0     1.6     1.6     1.4     2.7    30.8    45.2
2021 01 02  0800   59216   28800    0     2.4     1.3     0.8     2.8    16.6    28.7
2021 01 02  0900   59216   32400    0     2.7     0.3     0.8     2.8    17.3     6.8
2021 01 02  1000   59216   36000    0     2.7    -0.1     1.1     2.9    21.9   358.0
2021 01 02  1100   59216   39600    0     2.8    -0.2     1.1     3.0    21.6   355.5
2021 01 02  1200   59216   43200    0     2.9    -0.5     0.5     2.9     9.0   349.3
2021 01 02  1300   59216   46800    0     2.4    -0.8    -0.1     2.5    -3.0   342.0
2021 01 02  1400   59216   50400    0     1.6    -1.4     1.2     2.4    28.8   319.5
2021 01 02  1500   59216   54000    0     2.3    -1.5     0.3     2.8     6.1   328.1
2021 01 02  1600   59216   57600    0     1.7    -1.5     1.1     2.5    25.9   317.9
