:Product: 202103_ace_swepam_1h.txt
:Issued: 2021 Mar 05 0910 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   Hourly Averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2021 03 01  0000   59274       0    9    -9999.9    -9999.9    -1.00e+05
2021 03 01  0100   59274    3600    9    -9999.9    -9999.9    -1.00e+05
2021 03 01  0200   59274    7200    9    -9999.9    -9999.9    -1.00e+05
2021 03 01  0300   59274   10800    9    -9999.9    -9999.9    -1.00e+05
2021 03 01  0400   59274   14400    9    -9999.9    -9999.9    -1.00e+05
2021 03 01  0500   59274   18000    9    -9999.9    -9999.9    -1.00e+05
2021 03 01  0600   59274   21600    9    -9999.9    -9999.9    -1.00e+05
2021 03 01  0700   59274   25200    0        4.9      506.6     2.09e+05
2021 03 01  0800   59274   28800    0        4.6      499.7     2.38e+05
2021 03 01  0900   59274   32400    0        5.9      512.2     2.95e+05
2021 03 01  1000   59274   36000    0        5.4      512.8     2.90e+05
2021 03 01  1100   59274   39600    0        5.1      490.4     2.69e+05
2021 03 01  1200   59274   43200    0        5.6      469.5     2.09e+05
2021 03 01  1300   59274   46800    0        5.8      454.1     1.64e+05
2021 03 01  1400   59274   50400    0        5.8      437.2     1.47e+05
2021 03 01  1500   59274   54000    0        5.4      421.2     1.20e+05
2021 03 01  1600   59274   57600    0        3.8      417.4     1.41e+05
2021 03 01  1700   59274   61200    0        5.1      391.3     9.44e+04
2021 03 01  1800   59274   64800    0        4.6      389.3     8.89e+04
2021 03 01  1900   59274   68400    0        4.2      383.9     7.74e+04
2021 03 01  2000   59274   72000    0        5.2      377.3     7.34e+04
2021 03 01  2100   59274   75600    0        5.7      383.0     8.04e+04
2021 03 01  2200   59274   79200    9    -9999.9    -9999.9    -1.00e+05
2021 03 01  2300   59274   82800    9    -9999.9    -9999.9    -1.00e+05
2021 03 02  0000   59275       0    9    -9999.9    -9999.9    -1.00e+05
2021 03 02  0100   59275    3600    0        7.3      382.3     6.42e+04
2021 03 02  0200   59275    7200    0        7.2      394.6     8.60e+04
2021 03 02  0300   59275   10800    0        7.3      407.7     7.42e+04
2021 03 02  0400   59275   14400    0        7.5      423.1     7.21e+04
2021 03 02  0500   59275   18000    0       11.2      436.7     7.13e+04
2021 03 02  0600   59275   21600    0       17.3      440.6     7.75e+04
2021 03 02  0700   59275   25200    0        7.3      484.8     1.46e+05
2021 03 02  0800   59275   28800    0        6.3      556.3     3.76e+05
2021 03 02  0900   59275   32400    0        6.9      565.3     3.77e+05
2021 03 02  1000   59275   36000    0        6.5      561.3     3.81e+05
2021 03 02  1100   59275   39600    0        5.2      579.3     3.27e+05
2021 03 02  1200   59275   43200    0        4.9      563.7     3.26e+05
2021 03 02  1300   59275   46800    0        5.5      565.8     3.09e+05
2021 03 02  1400   59275   50400    0        4.3      553.2     2.69e+05
2021 03 02  1500   59275   54000    3    -9999.9    -9999.9    -1.00e+05
2021 03 02  1600   59275   57600    0        4.2      597.4     3.17e+05
2021 03 02  1700   59275   61200    0        3.1      615.7     3.84e+05
2021 03 02  1800   59275   64800    1        2.6      627.3     3.91e+05
2021 03 02  1900   59275   68400    0        2.2      645.7     3.19e+05
2021 03 02  2000   59275   72000    0        2.5      654.0     3.28e+05
2021 03 02  2100   59275   75600    0        3.0      653.8     3.20e+05
2021 03 02  2200   59275   79200    9    -9999.9    -9999.9    -1.00e+05
2021 03 02  2300   59275   82800    0        4.3      679.6     5.39e+05
2021 03 03  0000   59276       0    0        2.6      647.3     3.21e+05
2021 03 03  0100   59276    3600    0        2.3      653.5     3.02e+05
2021 03 03  0200   59276    7200    0        2.2      656.9     2.80e+05
2021 03 03  0300   59276   10800    0        1.9      672.4     2.40e+05
2021 03 03  0400   59276   14400    0        1.9      657.6     2.45e+05
2021 03 03  0500   59276   18000    0        1.9      636.2     2.22e+05
2021 03 03  0600   59276   21600    0        2.2      647.6     2.42e+05
2021 03 03  0700   59276   25200    0        2.1      640.3     2.96e+05
2021 03 03  0800   59276   28800    1        2.0      650.7     2.58e+05
2021 03 03  0900   59276   32400    0        2.2      655.9     2.61e+05
