:Product: 202106_ace_loc_1h.txt
:Issued: 2021 Jun 02 0010 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: X, Y, and Z position in GSE coordinates in earth radii(Re)
#        Accuracy 0.1 earth radii (about 600 km)
# Range: X 0.0 to 300.0
# Range: Y and Z -200.0 to 200.0
# Missing data values: -999.9
#
#    Predicted ACE Satellite Locations in GSE Coordinates
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the    --- GSE Coordinates ---
# YR MO DA  HHMM    Day      Day       X        Y        Z
#-----------------------------------------------------------
2021 06 01  0000   59366       0     226.7    -29.1     23.3
2021 06 01  0100   59366    3600     226.7    -29.1     23.3
2021 06 01  0200   59366    7200     226.7    -29.0     23.3
2021 06 01  0300   59366   10800     226.7    -29.0     23.3
2021 06 01  0400   59366   14400     226.7    -28.9     23.3
2021 06 01  0500   59366   18000     226.7    -28.9     23.3
2021 06 01  0600   59366   21600     226.7    -28.9     23.3
2021 06 01  0700   59366   25200     226.6    -28.8     23.3
2021 06 01  0800   59366   28800     226.6    -28.8     23.3
2021 06 01  0900   59366   32400     226.6    -28.7     23.3
2021 06 01  1000   59366   36000     226.6    -28.7     23.3
2021 06 01  1100   59366   39600     226.6    -28.6     23.3
2021 06 01  1200   59366   43200     226.6    -28.6     23.3
2021 06 01  1300   59366   46800     226.6    -28.6     23.3
2021 06 01  1400   59366   50400     226.6    -28.5     23.3
2021 06 01  1500   59366   54000     226.6    -28.5     23.3
2021 06 01  1600   59366   57600     226.6    -28.4     23.3
2021 06 01  1700   59366   61200     226.6    -28.4     23.3
2021 06 01  1800   59366   64800     226.6    -28.3     23.3
2021 06 01  1900   59366   68400     226.6    -28.3     23.3
2021 06 01  2000   59366   72000     226.6    -28.3     23.3
2021 06 01  2100   59366   75600     226.6    -28.2     23.3
2021 06 01  2200   59366   79200     226.6    -28.2     23.3
2021 06 01  2300   59366   82800     226.6    -28.1     23.3
2021 06 02  0000   59367       0     226.6    -28.1     23.3
2021 06 02  0100   59367    3600     226.6    -28.0     23.3
2021 06 02  0200   59367    7200     226.6    -28.0     23.3
2021 06 02  0300   59367   10800     226.6    -28.0     23.3
2021 06 02  0400   59367   14400     226.6    -27.9     23.3
2021 06 02  0500   59367   18000     226.6    -27.9     23.3
2021 06 02  0600   59367   21600     226.6    -27.8     23.3
2021 06 02  0700   59367   25200     226.6    -27.8     23.3
2021 06 02  0800   59367   28800     226.6    -27.7     23.3
2021 06 02  0900   59367   32400     226.6    -27.7     23.3
2021 06 02  1000   59367   36000     226.6    -27.6     23.3
2021 06 02  1100   59367   39600     226.6    -27.6     23.3
2021 06 02  1200   59367   43200     226.6    -27.6     23.3
2021 06 02  1300   59367   46800     226.6    -27.5     23.3
2021 06 02  1400   59367   50400     226.6    -27.5     23.3
2021 06 02  1500   59367   54000     226.6    -27.4     23.3
2021 06 02  1600   59367   57600     226.6    -27.4     23.3
2021 06 02  1700   59367   61200     226.6    -27.3     23.3
2021 06 02  1800   59367   64800     226.6    -27.3     23.3
2021 06 02  1900   59367   68400     226.6    -27.2     23.3
2021 06 02  2000   59367   72000     226.6    -27.2     23.3
2021 06 02  2100   59367   75600     226.6    -27.1     23.3
2021 06 02  2200   59367   79200     226.6    -27.1     23.3
2021 06 02  2300   59367   82800     226.6    -27.1     23.3
