:Product: 202202_ace_epam_1h.txt
:Issued: 2022 Feb 10 0910 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Differential Flux particles/cm2-s-ster-MeV
# Units: Anisotropy Index 0.0 - 2.0
# Status(S): 0 = nominal, 4,6,7,8 = bad data, unable to process, 9 = no data
# Missing data values: -1.00e+05, index = -1.00
# Source: ACE Satellite - Electron, Proton, and Alpha Monitor
#
#                      Hourly Averaged Real-time Differential Electron and Proton Flux 
# 
#                Modified Seconds ---------------------------- Differential Flux ---------------------------
# UT Date   Time  Julian  of the  ----- Electron -----   ------------------- Protons keV -------------------  Anis.
# YR MO DA  HHMM    Day    Day    S    38-53   175-315   S    47-68   115-195   310-580   795-1193 1060-1900  Index
#------------------------------------------------------------------------------------------------------------------
2022 02 01  0000   59611       0 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 02 01  0100   59611    3600 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 02 01  0200   59611    7200 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 02 01  0300   59611   10800 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 02 01  0400   59611   14400  0  1.40e+03  3.54e+01  0  9.60e+03  3.73e+02  1.83e+01  4.82e+00  2.13e+00  -1.00
2022 02 01  0500   59611   18000  0  1.90e+03  3.24e+01  0  4.80e+03  1.14e+02  1.81e+01  5.47e+00  1.23e+00  -1.00
2022 02 01  0600   59611   21600  0  1.55e+03  4.04e+01  0  4.43e+03 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 02 01  0700   59611   25200  0  9.88e+02  2.93e+01  0  5.38e+03  1.04e+02  1.71e+01  9.32e+03  1.23e+01  -1.00
2022 02 01  0800   59611   28800  0  6.66e-27  1.89e+04  0  1.95e-09 -1.00e+05 -1.00e+05  2.45e+03  2.35e+05  -1.00
2022 02 01  0900   59611   32400  0  5.56e-27  3.08e+03  0  1.90e+01 -1.00e+05  4.31e-38  5.74e+00  6.64e+01  -1.00
2022 02 01  1000   59611   36000  0  1.51e+03  3.20e+01  0  4.85e+03  1.30e+02  1.91e+01  5.14e+00  1.23e+00  -1.00
2022 02 01  1100   59611   39600  0  1.54e+03  3.31e+01  0  4.94e+03  1.55e+02  2.09e+01  5.63e+00  1.29e+00  -1.00
2022 02 01  1200   59611   43200  0  1.55e+03  3.21e+01  0  5.03e+03  1.64e+02  2.17e+01  5.82e+00  1.19e+00  -1.00
2022 02 01  1300   59611   46800  0  1.58e+03  3.33e+01  0  5.10e+03  1.79e+02  2.15e+01  6.37e+00  1.10e+00  -1.00
2022 02 01  1400   59611   50400  0  1.66e+03  3.28e+01  0  5.25e+03  2.03e+02  2.38e+01  6.81e+00  1.20e+00  -1.00
2022 02 01  1500   59611   54000  0  1.54e+03  3.34e+01  0  5.76e+03  2.45e+02  2.65e+01  6.42e+00  1.26e+00  -1.00
2022 02 01  1600   59611   57600  0  1.58e+03  3.35e+01  0  6.20e+03  2.97e+02  2.82e+01  7.26e+00  1.19e+00  -1.00
2022 02 01  1700   59611   61200  0  1.58e+03  2.83e+01  0  6.04e+03  2.61e+02  2.52e+01  8.06e+00  1.09e+00  -1.00
2022 02 01  1800   59611   64800 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 02 01  1900   59611   68400 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 02 01  2000   59611   72000  0  1.64e+03  3.33e+01  0  6.99e+03  3.10e+02  2.22e+01  6.80e+00  8.94e-01  -1.00
2022 02 01  2100   59611   75600  0  1.78e+03  3.14e+01  0  9.46e+03  5.15e+02  3.07e+01  7.14e+00  1.05e+00  -1.00
2022 02 01  2200   59611   79200  0  2.56e+03  3.36e+01  0  2.91e+04  2.06e+03  7.80e+01  1.11e+01  1.93e+00  -1.00
2022 02 01  2300   59611   82800  0  1.27e+04  5.95e+02  0  4.04e+04  5.71e+03  6.80e+02  2.64e+01  9.27e-01  -1.00
2022 02 02  0000   59612       0  0  2.14e+03  3.23e+01  0  1.86e+04  1.66e+03  8.68e+01  4.64e+02  2.12e+00  -1.00
2022 02 02  0100   59612    3600  0  2.02e+03  3.31e+01  0  1.97e+04  1.76e+03  9.20e+01  1.41e+01  2.29e+00  -1.00
2022 02 02  0200   59612    7200  0  1.92e+03  3.45e+01  0  1.77e+04  1.52e+03  8.06e+01  1.16e+01  2.08e+00  -1.00
2022 02 02  0300   59612   10800  0  2.00e+03  3.20e+01  0  1.63e+04  1.43e+03  8.04e+01  1.18e+01  2.03e+00  -1.00
2022 02 02  0400   59612   14400  0  1.95e+03  3.35e+01  0  1.60e+04  1.38e+03  7.70e+01  1.15e+01  1.83e+00  -1.00
2022 02 02  0500   59612   18000  0  1.80e+03  3.01e+01  0  1.46e+04  1.21e+03  7.13e+01  9.85e+00  1.61e+00  -1.00
2022 02 02  0600   59612   21600  0  1.91e+03  3.21e+01  0  1.59e+04  1.50e+03  8.61e+01  1.23e+01  1.92e+00  -1.00
2022 02 02  0700   59612   25200  0  2.03e+03  3.29e+01  0  1.65e+04  1.84e+03  1.14e+02  1.58e+01  2.65e+00  -1.00
2022 02 02  0800   59612   28800  0  2.09e+03  3.77e+01  0  1.89e+04  1.87e+03  1.19e+02  5.21e+02  2.87e+00  -1.00
2022 02 02  0900   59612   32400  0  1.17e+04  3.25e+01  0  1.59e+04  1.83e+03  1.19e+02  1.73e+01  2.54e+00  -1.00
2022 02 02  1000   59612   36000  0  1.97e+03  3.18e+01  0  1.47e+04  1.71e+03  1.11e+02  1.58e+01  2.48e+00  -1.00
2022 02 02  1100   59612   39600  0  2.00e+03  3.12e+01  0  1.32e+04  1.44e+03  9.45e+01  1.37e+01  2.04e+00  -1.00
2022 02 02  1200   59612   43200  0  1.87e+03  3.19e+01  0  1.29e+04  1.40e+03  9.21e+01  1.33e+01  1.99e+00  -1.00
2022 02 02  1300   59612   46800  0  1.82e+03  3.16e+01  0  1.31e+04  1.46e+03  9.29e+01  1.27e+01  1.95e+00  -1.00
2022 02 02  1400   59612   50400  0  1.75e+03  3.04e+01  0  1.34e+04  1.48e+03  9.01e+01  1.21e+01  1.89e+00  -1.00
2022 02 02  1500   59612   54000  0  1.84e+03  3.23e+01  0  1.20e+04  1.25e+03  7.73e+01  1.04e+01  1.71e+00  -1.00
2022 02 02  1600   59612   57600  0  1.88e+03  3.02e+01  0  6.85e+03  5.21e+02  4.47e+01  7.77e+00  1.50e+00  -1.00
2022 02 02  1700   59612   61200  0  1.93e+03  3.04e+01  0  6.06e+03  3.78e+02  3.62e+01  6.73e+00  1.36e+00  -1.00
2022 02 02  1800   59612   64800  0  2.01e+03  3.26e+01  0  5.39e+03  3.12e+02  3.89e+01  7.73e+00  1.57e+00  -1.00
2022 02 02  1900   59612   68400  0  2.15e+03  3.37e+01  0  5.60e+03  3.95e+02  5.04e+01  9.23e+00  2.00e+00  -1.00
2022 02 02  2000   59612   72000  0  2.41e+03  3.37e+01  0  5.85e+03  4.78e+02  5.71e+01  1.05e+01  2.09e+00  -1.00
2022 02 02  2100   59612   75600  0  2.34e+03  3.46e+01  0  5.75e+03  3.90e+02  3.95e+01  7.36e+00  1.47e+00  -1.00
2022 02 02  2200   59612   79200  0  2.32e+03  3.43e+01  0  5.66e+03  3.65e+02  3.84e+01  7.66e+00  1.51e+00  -1.00
2022 02 02  2300   59612   82800  0  2.25e+03  2.98e+01  0  5.40e+03  1.07e+03  8.47e+01  2.35e+03  2.16e+00  -1.00
2022 02 03  0000   59613       0  0  1.94e+02  2.53e+00  0  5.70e+03  1.42e+02  3.26e+00  1.80e-26  2.62e+00  -1.00
2022 02 03  0100   59613    3600  0  6.82e+04  9.39e+03  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  1.35e+01  -1.00
2022 02 03  0200   59613    7200 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 02 03  0300   59613   10800 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 02 03  0400   59613   14400  9 -1.00e+05  8.24e-29  9 -1.00e+05 -1.00e+05 -1.00e+05  9.42e+03  1.42e+02  -1.00
2022 02 03  0500   59613   18000  0  1.36e-20  8.79e-29  0  6.16e+03  9.87e+02  1.15e-24 -1.00e+05  1.18e-37  -1.00
2022 02 03  0600   59613   21600  0  6.17e+02  3.10e+01  0  2.32e+04  4.09e+02  8.86e+04  1.53e+01  1.37e-38  -1.00
2022 02 03  0700   59613   25200  0  1.36e-30  3.96e-09  0  1.62e+04  2.28e+03 -1.00e+05  3.05e-43  1.54e-43  -1.00
2022 02 03  0800   59613   28800  0  3.86e+03  3.56e+03  0  1.03e+04  2.05e+05 -1.00e+05  1.21e-06  3.27e-36  -1.00
2022 02 03  0900   59613   32400  0  2.35e+03  3.40e+01  0  6.92e+03  6.68e+02  5.44e+01  7.66e+00  1.30e+00  -1.00
2022 02 03  1000   59613   36000  0  2.35e+03  3.48e+01  0  6.35e+03  4.94e+02  4.07e+01  6.56e+00  1.03e+00  -1.00
2022 02 03  1100   59613   39600  0  1.88e+03  3.36e+01  0  6.22e+03  3.33e+02  2.31e+01  3.65e+00  6.13e-01  -1.00
2022 02 03  1200   59613   43200  0  2.00e+03  3.39e+01  0  7.23e+03  3.03e+02  2.08e+01  3.30e+00  6.00e-01  -1.00
2022 02 03  1300   59613   46800  0  2.03e+03  3.57e+01  0  6.58e+03  3.57e+02  2.64e+01  4.42e+00  7.49e-01  -1.00
2022 02 03  1400   59613   50400  0  1.98e+03  3.17e+01  0  6.47e+03  3.48e+02  2.45e+01  4.05e+00  6.06e-01  -1.00
2022 02 03  1500   59613   54000  0  2.09e+03  3.19e+01  0  5.79e+03  2.37e+02  1.80e+01  3.10e+00  5.26e-01  -1.00
2022 02 03  1600   59613   57600 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 02 03  1700   59613   61200  0  1.89e+03  3.17e+01  0  5.31e+03  2.05e+02  1.79e+01  2.89e+00  5.56e-01  -1.00
2022 02 03  1800   59613   64800  0  1.84e+03  3.04e+01  0  5.76e+03  2.28e+02  1.76e+01  2.82e+00  5.03e-01  -1.00
2022 02 03  1900   59613   68400  0  1.78e+03  3.11e+01  0  5.53e+03  2.16e+02  1.65e+01  2.41e+00  4.47e-01  -1.00
2022 02 03  2000   59613   72000  0  1.86e+03  3.22e+01  0  8.79e+03  3.09e+02  1.85e+01  2.55e+00  4.84e-01  -1.00
2022 02 03  2100   59613   75600  0  4.76e+03  3.75e+01  0  7.53e+03  2.55e+02  1.67e+01  2.47e+00  4.65e-01  -1.00
2022 02 03  2200   59613   79200  0  4.02e+03  5.26e+01  0  6.55e+03  2.15e+02  1.54e+01  2.62e+00  4.43e-01  -1.00
2022 02 03  2300   59613   82800 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 02 04  0000   59614       0  0  3.47e+03  3.60e+01  0  5.36e+03  2.00e+02  1.54e+01  2.20e+00  6.08e-01  -1.00
2022 02 04  0100   59614    3600  0  3.78e+03  3.59e+01  0  5.19e+03  1.70e+02  1.29e+01  2.04e+00  4.03e-01  -1.00
2022 02 04  0200   59614    7200  0  4.43e+03  3.58e+01  0  5.37e+03  1.73e+02  1.24e+01  1.82e+00  3.37e-01  -1.00
