:Product: 202207_ace_swepam_1h.txt
:Issued: 2022 Jul 07 0810 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   Hourly Averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2022 07 01  0000   59761       0    0        2.8      348.8     3.89e+04
2022 07 01  0100   59761    3600    0        2.8      344.8     3.99e+04
2022 07 01  0200   59761    7200    0        2.8      343.0     4.07e+04
2022 07 01  0300   59761   10800    9    -9999.9    -9999.9    -1.00e+05
2022 07 01  0400   59761   14400    0        2.5      340.6     4.36e+04
2022 07 01  0500   59761   18000    0        2.4      338.3     3.08e+04
2022 07 01  0600   59761   21600    0        2.6      339.1     2.74e+04
2022 07 01  0700   59761   25200    0        7.1      352.3     9.59e+04
2022 07 01  0800   59761   28800    0        4.9      336.8     3.07e+04
2022 07 01  0900   59761   32400    9    -9999.9    -9999.9    -1.00e+05
2022 07 01  1000   59761   36000    0        4.9      351.0     3.80e+04
2022 07 01  1100   59761   39600    0        6.1      358.6     3.96e+04
2022 07 01  1200   59761   43200    0        7.8      359.8     4.36e+04
2022 07 01  1300   59761   46800    0        6.9      356.5     4.00e+04
2022 07 01  1400   59761   50400    0        6.9      349.9     4.00e+04
2022 07 01  1500   59761   54000    9    -9999.9    -9999.9    -1.00e+05
2022 07 01  1600   59761   57600    0        9.7      355.8     2.93e+04
2022 07 01  1700   59761   61200    0       12.2      357.1     3.24e+04
2022 07 01  1800   59761   64800    0       12.8      356.5     3.15e+04
2022 07 01  1900   59761   68400    0       11.3      355.0     2.51e+04
2022 07 01  2000   59761   72000    0       14.2      354.8     1.86e+04
2022 07 01  2100   59761   75600    9    -9999.9    -9999.9    -1.00e+05
2022 07 01  2200   59761   79200    0       23.6      355.6     1.84e+04
2022 07 01  2300   59761   82800    0       23.7      355.0     1.75e+04
2022 07 02  0000   59762       0    0        7.9      354.5     2.23e+04
2022 07 02  0100   59762    3600    0        3.3      352.2     1.80e+04
2022 07 02  0200   59762    7200    0        3.1      352.1     1.35e+04
2022 07 02  0300   59762   10800    9    -9999.9    -9999.9    -1.00e+05
2022 07 02  0400   59762   14400    0        6.9      346.6     3.34e+04
