:Product: 202302_ace_mag_1h.txt
:Issued: 2023 Feb 09 0910 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              Hourly Averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2023 02 01  0000   59976       0    0     1.3    -3.3     0.2     3.5     2.9   291.5
2023 02 01  0100   59976    3600    0     0.8    -3.2     0.9     3.5    15.4   284.3
2023 02 01  0200   59976    7200    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 02 01  0300   59976   10800    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 02 01  0400   59976   14400    0     0.9    -2.2     0.8     2.5    17.9   291.3
2023 02 01  0500   59976   18000    0     0.9    -1.6     1.4     2.4    37.4   299.7
2023 02 01  0600   59976   21600    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 02 01  0700   59976   25200    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 02 01  0800   59976   28800    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 02 01  0900   59976   32400    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 02 01  1000   59976   36000    0    -0.0    -1.1     2.0     2.3    60.8   269.8
2023 02 01  1100   59976   39600    0     0.4    -0.3     0.8     1.0    56.6   327.1
2023 02 01  1200   59976   43200    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 02 01  1300   59976   46800    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 02 01  1400   59976   50400    0     0.7    -2.3     0.3     2.4     6.3   288.1
2023 02 01  1500   59976   54000    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 02 01  1600   59976   57600    0     3.6    -5.7    -0.6     6.7    -5.1   302.0
2023 02 01  1700   59976   61200    0     3.0    -5.3     3.7     7.1    30.9   299.6
2023 02 01  1800   59976   64800    0     2.6    -8.3     0.4     8.8     2.5   287.4
2023 02 01  1900   59976   68400    0     4.1    -5.4     0.6     6.8     5.4   306.9
2023 02 01  2000   59976   72000    0     3.5    -7.1     1.8     8.1    12.5   296.2
2023 02 01  2100   59976   75600    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 02 01  2200   59976   79200    0    -0.4    -7.1     2.3     7.5    17.8   267.0
2023 02 01  2300   59976   82800    0    -1.4    -6.6     1.2     6.8    10.5   258.2
2023 02 02  0000   59977       0    0     0.6    -5.8     0.2     5.8     2.4   275.9
2023 02 02  0100   59977    3600    0     0.1    -5.5    -2.2     5.9   -21.7   270.8
2023 02 02  0200   59977    7200    0     1.6    -4.3    -2.7     5.3   -30.9   289.9
2023 02 02  0300   59977   10800    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 02 02  0400   59977   14400    0     1.9    -4.4     0.3     4.8     3.4   293.2
2023 02 02  0500   59977   18000    0     3.4    -1.1    -2.0     4.1   -29.4   341.7
2023 02 02  0600   59977   21600    0     2.1    -0.2     3.2     3.8    56.2   354.6
2023 02 02  0700   59977   25200    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 02 02  0800   59977   28800    0     2.7    -3.0     3.0     5.1    36.4   312.4
2023 02 02  0900   59977   32400    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 02 02  1000   59977   36000    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 02 02  1100   59977   39600    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 02 02  1200   59977   43200    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 02 02  1300   59977   46800    0     2.7    -4.0     0.4     4.9     4.2   304.1
2023 02 02  1400   59977   50400    0     3.4    -4.1    -0.4     5.4    -4.6   309.5
2023 02 02  1500   59977   54000    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 02 02  1600   59977   57600    0     2.3    -4.2    -0.0     4.8    -0.2   299.1
2023 02 02  1700   59977   61200    0     1.9    -2.6    -1.3     3.4   -22.8   305.7
2023 02 02  1800   59977   64800    0     1.4    -2.4    -2.2     3.5   -38.5   300.4
2023 02 02  1900   59977   68400    0     2.4    -0.7    -1.4     2.8   -29.9   343.0
2023 02 02  2000   59977   72000    0     1.7    -1.3    -1.5     2.6   -35.0   321.5
2023 02 02  2100   59977   75600    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 02 02  2200   59977   79200    0     2.1    -3.3    -0.2     3.9    -2.3   302.1
2023 02 02  2300   59977   82800    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 02 03  0000   59978       0    0     0.7    -3.7    -2.9     4.8   -37.9   280.6
2023 02 03  0100   59978    3600    0     0.8    -4.7    -0.9     4.9   -10.5   279.0
2023 02 03  0200   59978    7200    0     0.6    -5.2    -2.1     5.6   -22.4   276.6
2023 02 03  0300   59978   10800    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 02 03  0400   59978   14400    0    -0.2     2.3     4.0     4.7    59.7    93.8
2023 02 03  0500   59978   18000    0    -0.4     3.0     4.1     5.1    53.3    96.9
2023 02 03  0600   59978   21600    0     1.4    -0.9     5.6     5.8    73.3   329.2
2023 02 03  0700   59978   25200    0     2.4     0.8     5.1     5.7    63.5    18.4
2023 02 03  0800   59978   28800    0     1.0    -1.8     4.2     4.7    63.5   298.8
2023 02 03  0900   59978   32400    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 02 03  1000   59978   36000    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 02 03  1100   59978   39600    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 02 03  1200   59978   43200    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 02 03  1300   59978   46800    0    -2.0    -9.8    -2.9    10.5   -16.3   258.2
2023 02 03  1400   59978   50400    0    -1.8    -8.9    -4.8    10.2   -27.6   258.4
2023 02 03  1500   59978   54000    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 02 03  1600   59978   57600    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 02 03  1700   59978   61200    0    -2.3    -6.6    -4.8     8.4   -34.6   250.5
2023 02 03  1800   59978   64800    0     4.8    -3.3     6.1     8.4    46.0   325.5
2023 02 03  1900   59978   68400    0     2.6     0.8     5.2     5.9    62.7    18.0
2023 02 03  2000   59978   72000    0     1.0     5.7     3.3     6.6    29.8    79.7
