:Product: 202307_ace_loc_1h.txt
:Issued: 2023 Jul 01 0010 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: X, Y, and Z position in GSE coordinates in earth radii(Re)
#        Accuracy 0.1 earth radii (about 600 km)
# Range: X 0.0 to 300.0
# Range: Y and Z -200.0 to 200.0
# Missing data values: -999.9
#
#    Predicted ACE Satellite Locations in GSE Coordinates
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the    --- GSE Coordinates ---
# YR MO DA  HHMM    Day      Day       X        Y        Z
#-----------------------------------------------------------
2023 07 01  0000   60126       0     232.8     39.3      6.4
2023 07 01  0100   60126    3600     232.8     39.3      6.3
2023 07 01  0200   60126    7200     232.8     39.3      6.3
2023 07 01  0300   60126   10800     232.8     39.4      6.3
2023 07 01  0400   60126   14400     232.8     39.4      6.2
2023 07 01  0500   60126   18000     232.8     39.4      6.2
2023 07 01  0600   60126   21600     232.8     39.4      6.2
2023 07 01  0700   60126   25200     232.9     39.4      6.1
2023 07 01  0800   60126   28800     232.9     39.4      6.1
2023 07 01  0900   60126   32400     232.9     39.4      6.1
2023 07 01  1000   60126   36000     232.9     39.4      6.0
2023 07 01  1100   60126   39600     232.9     39.4      6.0
2023 07 01  1200   60126   43200     232.9     39.4      6.0
2023 07 01  1300   60126   46800     232.9     39.4      5.9
2023 07 01  1400   60126   50400     233.0     39.4      5.9
2023 07 01  1500   60126   54000     233.0     39.4      5.9
2023 07 01  1600   60126   57600     233.0     39.4      5.8
2023 07 01  1700   60126   61200     233.0     39.4      5.8
2023 07 01  1800   60126   64800     233.0     39.4      5.8
2023 07 01  1900   60126   68400     233.0     39.5      5.7
2023 07 01  2000   60126   72000     233.0     39.5      5.7
2023 07 01  2100   60126   75600     233.1     39.5      5.7
2023 07 01  2200   60126   79200     233.1     39.5      5.6
2023 07 01  2300   60126   82800     233.1     39.5      5.6
