:Product: 202309_ace_mag_1h.txt
:Issued: 2023 Sep 02 0810 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              Hourly Averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2023 09 01  0000   60188       0    0     5.1     6.8     1.3     8.6     8.6    53.1
2023 09 01  0100   60188    3600    0     5.1     7.9    -1.3     9.5    -8.1    57.2
2023 09 01  0200   60188    7200    0    -2.5     7.2    -2.9     8.1   -20.8   109.1
2023 09 01  0300   60188   10800    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 09 01  0400   60188   14400    0     2.9     7.4    -4.9     9.3   -31.6    68.8
2023 09 01  0500   60188   18000    0    -1.6     6.4    -4.4     7.9   -33.8   104.0
2023 09 01  0600   60188   21600    0    -6.4     5.7    -3.1     9.1   -20.0   138.0
2023 09 01  0700   60188   25200    0    -2.4     6.8    -3.0     7.8   -22.6   109.4
2023 09 01  0800   60188   28800    0    -1.9     3.7    -1.8     4.5   -23.6   117.0
2023 09 01  0900   60188   32400    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 09 01  1000   60188   36000    0    -3.6     6.8    -3.6     8.5   -25.3   118.3
2023 09 01  1100   60188   39600    0    -0.8     6.0    -4.2     7.4   -34.7    97.4
2023 09 01  1200   60188   43200    0    -7.3     5.1     0.5     8.9     3.2   145.1
2023 09 01  1300   60188   46800    0    -7.1     2.9     0.8     7.8     5.8   157.6
2023 09 01  1400   60188   50400    0    -6.2     3.8     4.1     8.4    29.4   148.7
2023 09 01  1500   60188   54000    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 09 01  1600   60188   57600    0    -5.8     2.9    -0.1     6.5    -0.7   153.1
2023 09 01  1700   60188   61200    0    -4.9     3.9    -3.8     7.3   -31.2   141.3
2023 09 01  1800   60188   64800    0    -5.8     4.1    -1.7     7.3   -13.6   145.3
2023 09 01  1900   60188   68400    0    -7.3     3.0     1.6     8.0    11.6   157.9
2023 09 01  2000   60188   72000    0    -6.5     1.9     0.5     6.8     4.6   163.8
2023 09 01  2100   60188   75600    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 09 01  2200   60188   79200    0    -4.7     1.8     2.7     5.7    28.2   158.4
2023 09 01  2300   60188   82800    0    -3.4     0.0     1.1     3.5    17.5   179.3
2023 09 02  0000   60189       0    0    -4.5     1.9    -2.6     5.5   -28.5   156.7
2023 09 02  0100   60189    3600    0    -4.0    -1.0    -1.9     4.5   -25.1   194.5
2023 09 02  0200   60189    7200    0    -4.4    -1.4    -1.6     4.9   -19.5   197.2
2023 09 02  0300   60189   10800    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2023 09 02  0400   60189   14400    0    -2.3     0.9    -4.5     5.1   -61.1   158.0
2023 09 02  0500   60189   18000    0    -2.0     0.3    -4.5     4.9   -65.6   171.4
2023 09 02  0600   60189   21600    0     0.6    -4.4    -4.6     6.4   -45.9   278.2
2023 09 02  0700   60189   25200    0    -0.2    -2.4    -7.8     8.1   -72.9   265.4
