:Product: 202310_ace_loc_1h.txt
:Issued: 2023 Oct 07 0010 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: X, Y, and Z position in GSE coordinates in earth radii(Re)
#        Accuracy 0.1 earth radii (about 600 km)
# Range: X 0.0 to 300.0
# Range: Y and Z -200.0 to 200.0
# Missing data values: -999.9
#
#    Predicted ACE Satellite Locations in GSE Coordinates
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the    --- GSE Coordinates ---
# YR MO DA  HHMM    Day      Day       X        Y        Z
#-----------------------------------------------------------
2023 10 01  0000   60218       0     234.3    -39.1    -10.0
2023 10 01  0100   60218    3600     234.2    -39.1    -10.0
2023 10 01  0200   60218    7200     234.2    -39.1    -10.0
2023 10 01  0300   60218   10800     234.2    -39.2     -9.9
2023 10 01  0400   60218   14400     234.2    -39.2     -9.9
2023 10 01  0500   60218   18000     234.2    -39.2     -9.9
2023 10 01  0600   60218   21600     234.1    -39.2     -9.8
2023 10 01  0700   60218   25200     234.1    -39.2     -9.8
2023 10 01  0800   60218   28800     234.1    -39.2     -9.7
2023 10 01  0900   60218   32400     234.1    -39.3     -9.7
2023 10 01  1000   60218   36000     234.1    -39.3     -9.7
2023 10 01  1100   60218   39600     234.0    -39.3     -9.6
2023 10 01  1200   60218   43200     234.0    -39.3     -9.6
2023 10 01  1300   60218   46800     234.0    -39.3     -9.6
2023 10 01  1400   60218   50400     234.0    -39.3     -9.5
2023 10 01  1500   60218   54000     234.0    -39.4     -9.5
2023 10 01  1600   60218   57600     234.0    -39.4     -9.5
2023 10 01  1700   60218   61200     233.9    -39.4     -9.4
2023 10 01  1800   60218   64800     233.9    -39.4     -9.4
2023 10 01  1900   60218   68400     233.9    -39.4     -9.4
2023 10 01  2000   60218   72000     233.9    -39.4     -9.3
2023 10 01  2100   60218   75600     233.9    -39.4     -9.3
2023 10 01  2200   60218   79200     233.8    -39.5     -9.3
2023 10 01  2300   60218   82800     233.8    -39.5     -9.2
2023 10 02  0000   60219       0     233.8    -39.5     -9.2
2023 10 02  0100   60219    3600     233.8    -39.5     -9.2
2023 10 02  0200   60219    7200     233.8    -39.5     -9.1
2023 10 02  0300   60219   10800     233.8    -39.5     -9.1
2023 10 02  0400   60219   14400     233.7    -39.5     -9.1
2023 10 02  0500   60219   18000     233.7    -39.6     -9.0
2023 10 02  0600   60219   21600     233.7    -39.6     -9.0
2023 10 02  0700   60219   25200     233.7    -39.6     -9.0
2023 10 02  0800   60219   28800     233.7    -39.6     -8.9
2023 10 02  0900   60219   32400     233.7    -39.6     -8.9
2023 10 02  1000   60219   36000     233.6    -39.6     -8.9
2023 10 02  1100   60219   39600     233.6    -39.6     -8.8
2023 10 02  1200   60219   43200     233.6    -39.7     -8.8
2023 10 02  1300   60219   46800     233.6    -39.7     -8.8
2023 10 02  1400   60219   50400     233.6    -39.7     -8.7
2023 10 02  1500   60219   54000     233.6    -39.7     -8.7
2023 10 02  1600   60219   57600     233.5    -39.7     -8.7
2023 10 02  1700   60219   61200     233.5    -39.7     -8.6
2023 10 02  1800   60219   64800     233.5    -39.7     -8.6
2023 10 02  1900   60219   68400     233.5    -39.7     -8.6
2023 10 02  2000   60219   72000     233.5    -39.7     -8.5
2023 10 02  2100   60219   75600     233.5    -39.8     -8.5
2023 10 02  2200   60219   79200     233.4    -39.8     -8.4
2023 10 02  2300   60219   82800     233.4    -39.8     -8.4
2023 10 03  0000   60220       0     233.4    -39.8     -8.4
2023 10 03  0100   60220    3600     233.4    -39.8     -8.3
2023 10 03  0200   60220    7200     233.4    -39.8     -8.3
2023 10 03  0300   60220   10800     233.4    -39.8     -8.3
