:Product: 202408_ace_swepam_1h.txt
:Issued: 2024 Aug 02 0810 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   Hourly Averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2024 08 01  0000   60523       0    0        2.0      475.6     9.03e+04
2024 08 01  0100   60523    3600    0        4.8      462.4     4.72e+04
2024 08 01  0200   60523    7200    0        1.1      447.7     3.02e+04
2024 08 01  0300   60523   10800    9    -9999.9    -9999.9    -1.00e+05
2024 08 01  0400   60523   14400    0        1.4      439.4     3.44e+04
2024 08 01  0500   60523   18000    0        2.0      431.9     3.33e+04
2024 08 01  0600   60523   21600    0        3.3      431.5     3.06e+04
2024 08 01  0700   60523   25200    0        1.5      422.3     2.80e+04
2024 08 01  0800   60523   28800    0        2.7      420.7     2.82e+04
2024 08 01  0900   60523   32400    9    -9999.9    -9999.9    -1.00e+05
2024 08 01  1000   60523   36000    0        3.7      419.5     3.38e+04
2024 08 01  1100   60523   39600    0        5.5      413.0     1.79e+04
2024 08 01  1200   60523   43200    0        4.8      413.0     2.23e+04
2024 08 01  1300   60523   46800    0        3.9      409.4     3.35e+04
2024 08 01  1400   60523   50400    3    -9999.9    -9999.9    -1.00e+05
2024 08 01  1500   60523   54000    9    -9999.9    -9999.9    -1.00e+05
2024 08 01  1600   60523   57600    0        4.5      412.4     5.42e+04
2024 08 01  1700   60523   61200    0        3.7      437.9     3.37e+04
2024 08 01  1800   60523   64800    0        8.5      435.7     4.15e+04
2024 08 01  1900   60523   68400    0        6.7      426.8     4.61e+04
2024 08 01  2000   60523   72000    0        4.4      427.2     5.29e+04
2024 08 01  2100   60523   75600    9    -9999.9    -9999.9    -1.00e+05
2024 08 01  2200   60523   79200    0        2.8      424.7     6.22e+04
2024 08 01  2300   60523   82800    0        6.4      436.8     7.59e+04
2024 08 02  0000   60524       0    0        9.9      427.5     7.94e+04
2024 08 02  0100   60524    3600    0        8.5      428.0     8.34e+04
2024 08 02  0200   60524    7200    0        8.2      422.6     7.16e+04
2024 08 02  0300   60524   10800    0        7.2      426.8     6.61e+04
2024 08 02  0400   60524   14400    0        5.9      418.2     7.26e+04
2024 08 02  0500   60524   18000    0        4.3      419.7     8.48e+04
2024 08 02  0600   60524   21600    0        1.2      412.5     8.67e+04
2024 08 02  0700   60524   25200    0        1.0      421.0     8.55e+04
